dataset,version,MAE,positive_mean_error
A1,before,32.156677844184436,13.856556872949145
A1,old,28.549598907857654,12.487310174883811
A1,new,28.246597080708305,12.348475570647743
A2,before,64.17162367497713,55.707199357253
A2,old,58.48513445520169,50.78389021126673
A2,new,57.44887033915413,49.84587425157979
B1,before,36.85427183044682,21.773295676643066
B1,old,34.131597220061984,20.47981086488879
B1,new,34.193838180455245,20.5407430826881
B2,before,62.501884013252784,51.86188947141552
B2,old,55.76318953078042,46.438792024166034
B2,new,56.43221778168557,47.20089730897566
