dataset,fold,version,candidate,replay_max_error,test_label_flip_max_change,test_label_flip_RMS_change
A1,1,old,中位数基线,0.0,19.11044322092914,2.0145820979392433
A1,1,new,中位数基线,0.0,0.0,0.0
A1,2,old,中位数基线,0.0,22.581327812064032,1.8606390375668183
A1,2,new,中位数基线,0.0,0.0,0.0
A1,3,old,保守双分量,0.0,32.298542964494374,2.5387658436527696
A1,3,new,中位数基线,0.0,0.0,0.0
A1,4,old,保守双分量,0.0,24.733876988996386,3.986950912372587
A1,4,new,保守双分量,0.0,0.0,0.0
A1,5,old,中位数基线,0.0,21.954224723846565,1.7202267386042038
A1,5,new,中位数基线,0.0,0.0,0.0
A2,1,old,保守双分量,0.0,77.04812591921507,8.044462121417
A2,1,new,保守双分量,0.0,0.0,0.0
A2,2,old,保守双分量,0.0,92.20482307735381,13.977651771436273
A2,2,new,中位数基线,0.0,0.0,0.0
A2,3,old,中位数基线,0.0,59.94856382508084,6.96926544144087
A2,3,new,中位数基线,0.0,0.0,0.0
A2,4,old,保守双分量,0.0,70.19873181271964,6.809383509048025
A2,4,new,保守双分量,0.0,0.0,0.0
A2,5,old,中位数基线,0.0,73.0941715427063,6.022230350206011
A2,5,new,中位数基线,0.0,0.0,0.0
B1,1,old,中位数基线,0.0,29.207483061707066,2.7294289808337124
B1,1,new,中位数基线,0.0,0.0,0.0
B1,2,old,保守双分量,0.0,39.64261655970705,4.597357505973571
B1,2,new,保守双分量,0.0,0.0,0.0
B1,3,old,保守双分量,0.0,41.16376122805315,3.5837298879983424
B1,3,new,保守双分量,0.0,0.0,0.0
B1,4,old,保守双分量,0.0,24.109312699328413,3.2053116624415203
B1,4,new,保守双分量,0.0,0.0,0.0
B1,5,old,中位数基线,0.0,33.573025223766535,3.379622174804315
B1,5,new,中位数基线,0.0,0.0,0.0
B2,1,old,保守双分量,0.0,60.772630036770295,8.10052990372144
B2,1,new,保守双分量,0.0,0.0,0.0
B2,2,old,保守双分量,0.0,72.77652199008674,10.318888457553653
B2,2,new,保守双分量,0.0,0.0,0.0
B2,3,old,中位数基线,0.0,73.30501215221983,9.63764853063149
B2,3,new,保守双分量,0.0,0.0,0.0
B2,4,old,保守双分量,0.0,85.40224800278088,9.783785275631343
B2,4,new,保守双分量,0.0,0.0,0.0
B2,5,old,中位数基线,0.0,53.65542476747237,8.48559796133193
B2,5,new,中位数基线,0.0,0.0,0.0
