dataset,version,n,shared_legacy_proxy_MAE,shared_legacy_positive_mean_error,SNR_proxy_dB,baseline_RMS,trial_PTP_median
A1,before,90,19.66912176275617,7.475916702733247,-14.216732593324435,14.122958294174225,104.41482438942519
A1,old,90,17.70084205341207,6.808063295808296,-13.999388244218864,13.4631372682556,100.15208904612471
A1,new,90,16.952844801939786,6.443653913572561,-14.23070789392294,13.371365434990075,101.56093384813614
A2,before,95,47.60337115807547,46.686490172959815,-9.35228101104063,21.26112946521175,254.67971047684526
A2,old,95,43.6842477180852,42.76736673296955,-9.325554333556271,20.57756670411147,249.60469877406717
A2,new,95,42.82573882171972,41.90885783660407,-9.295321965913041,20.501064245826356,245.6916965969468
B1,before,94,14.973006443053258,11.66670328841883,-22.665994179619492,20.42492568858043,158.6363872548753
B1,old,94,14.157900248769407,11.217993863546958,-22.563442445300865,19.660145320795642,158.42932086319544
B1,new,94,13.987071468640089,11.160649442855869,-22.711566028417483,19.686594270343253,157.691974889811
B2,before,92,39.315888537645094,32.87224401715354,-13.081010212055224,26.97593290832712,272.28753482575996
B2,old,92,35.45510393550361,29.013429236678473,-12.600382057385227,25.556879431807484,267.32421087346347
B2,new,92,36.299992019813516,29.85831732098838,-12.447145700122796,25.851790763112195,269.45170738716575
