dataset,fold,seed,level,version,F3_F4_RMSE,positive_AUC_error,latency_error_sum,latency_count,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
A1,1,2027,0.0,old,2.2476488141289943,151.22821959111965,0.0,4,12.963704685990985,0.13473900098444666,6.19859674266955,0.6070828023126364,0.0,4,0.17326148423296397
A1,1,2027,0.0,input,4.611164221334019e-15,1.8947806286936004e-14,0.0,4,3.969701898539267e-15,4.125932215913902e-17,4.861088017293574e-15,3.700743415417188e-17,0.0,4,6.690595823532296e-17
A1,1,2027,0.5,old,13.415164027325332,733.4644838632012,257.8125,4,21.151731515778273,0.2198417229148213,12.572784290539277,2.922122992216338,64.453125,4,0.31555094803438194
A1,1,2027,0.5,input,13.762922447644687,681.7902596851824,312.5,4,18.824001025846247,0.1956483238540263,11.555843571213119,2.7173095343725593,78.125,4,0.2839439931022393
A1,1,2027,1.0,old,24.642232695728513,1364.897664778876,304.6875,4,34.97829578296312,0.3635489039663097,21.058074905986324,5.435943332873417,76.171875,4,0.5294818385654837
A1,1,2027,1.0,input,27.2381166404943,1396.1467090069218,304.6875,4,37.62195452784108,0.3910259212894193,22.917830305011513,5.561688322329313,76.171875,4,0.5679305302651189
A1,1,2027,2.0,old,48.3571963814178,2596.7927449859417,304.6875,4,65.51864793609525,0.6809717887434521,40.392543845664605,10.359199591839968,76.171875,4,0.9985518174635325
A1,1,2027,2.0,input,55.20090050040591,3137.0799950272844,308.59375,4,75.36692789281875,0.7833304458500134,46.47064340796603,12.533477982111188,77.1484375,4,1.1550954970336604
A1,1,2039,0.0,old,2.2476488141289943,151.22821959111965,0.0,4,12.963704685990985,0.13473900098444666,6.19859674266955,0.6070828023126364,0.0,4,0.17326148423296397
A1,1,2039,0.0,input,4.611164221334019e-15,1.8947806286936004e-14,0.0,4,3.969701898539267e-15,4.125932215913902e-17,4.861088017293574e-15,3.700743415417188e-17,0.0,4,6.690595823532296e-17
A1,1,2039,0.5,old,16.735174259478896,881.7877315496922,347.65625,4,21.415797679206374,0.2225863095832099,15.827830739493207,3.501250480671428,86.9140625,4,0.34123048422405816
A1,1,2039,0.5,input,17.386397330924435,873.3033147730958,246.09375,3,19.86451699319422,0.2064629856613362,14.659887679270607,3.463666848775643,82.03125,3,0.31864699142190583
A1,1,2039,1.0,old,30.965027422291794,1249.4028440277455,246.09375,3,36.393740167906394,0.37826040557760404,27.94652247847451,4.954876266332,82.03125,3,0.5749910778485205
A1,1,2039,1.0,input,34.44363797762119,1282.4720417909823,246.09375,3,39.723109190262214,0.4128643916176096,29.382374625828078,5.083626631158366,82.03125,3,0.6183950435428193
A1,1,2039,2.0,old,60.48208660432014,1666.3686907036429,425.78125,4,69.14243328312551,0.7186358075766309,52.93525596795121,6.61324981670271,106.4453125,4,1.0624637899718676
A1,1,2039,2.0,input,69.53112562948891,1744.6464861986035,425.78125,4,79.72907988118875,0.8286687203087364,59.55975756404623,6.921436973452072,106.4453125,4,1.2101259302258445
A1,1,2053,0.0,old,2.2476488141289943,151.22821959111965,0.0,4,12.963704685990985,0.13473900098444666,6.19859674266955,0.6070828023126364,0.0,4,0.17326148423296397
A1,1,2053,0.0,input,4.611164221334019e-15,1.8947806286936004e-14,0.0,4,3.969701898539267e-15,4.125932215913902e-17,4.861088017293574e-15,3.700743415417188e-17,0.0,4,6.690595823532296e-17
A1,1,2053,0.5,old,17.832695437911976,1013.0658179570067,316.40625,4,24.189764423317264,0.25141769049776275,15.261268343327211,4.034031060594432,79.1015625,4,0.3726550511351793
A1,1,2053,0.5,input,18.08762672922977,953.3679870557356,285.15625,4,20.97813667481101,0.21803745507514588,15.240282132433633,3.794884278992857,71.2890625,4,0.3366801693671304
A1,1,2053,1.0,old,33.13486028013022,1438.2918155888503,347.65625,4,40.4018003188687,0.4199184064120275,27.29070161196808,5.7404433517424565,86.9140625,4,0.6214057590917619
A1,1,2053,1.0,input,36.156146567481386,1453.2092804295864,355.46875,4,42.06869204121694,0.43724334020669736,30.228968014568807,5.800356885862619,88.8671875,4,0.6546229269799564
A1,1,2053,2.0,old,64.10079623481722,1891.2822605750941,316.40625,3,75.04272664669377,0.7799608417839784,52.51430306567033,7.55167609000251,105.46875,3,1.1313548120029389
A1,1,2053,2.0,input,72.89303904340898,1980.8579175028308,382.8125,4,83.84892158497576,0.871488529061568,60.78494859352186,7.9147173866308265,95.703125,4,1.26963650164826
A1,1,2027,0.0,new,2.1469471559160476,235.07783401504346,0.0,4,12.901817921459093,0.13409577738215359,7.567412222116055,0.9442212860560889,0.0,4,0.18323575932748085
A1,1,2027,0.5,new,13.328913321927114,726.7066210292991,257.8125,4,20.99273724826561,0.21818920696465,13.064962060270263,2.894537842691799,64.453125,4,0.31616946306835714
A1,1,2027,1.0,new,24.513239285741676,1349.6000537500183,304.6875,4,34.86271420437224,0.36234760026426144,21.289265546427615,5.374295259517172,76.171875,4,0.5288412386378918
A1,1,2027,2.0,new,48.258925811566186,2613.002333429699,304.6875,4,65.53013049548741,0.6810911333766969,40.493035130855695,10.422188151945868,76.171875,4,0.9998480682141893
A1,1,2039,0.0,new,2.1469471559160476,235.07783401504346,0.0,4,12.901817921459093,0.13409577738215359,7.567412222116055,0.9442212860560889,0.0,4,0.18323575932748085
A1,1,2039,0.5,new,16.310804304380394,845.8477424445665,347.65625,4,21.426434741583805,0.22269686649520845,16.149654839071285,3.3577359618037406,86.9140625,4,0.341521863361857
A1,1,2039,1.0,new,30.668311192444783,1210.28745973939,246.09375,3,36.37565237957054,0.3780724091221599,28.15517446223157,4.799557172158763,82.03125,3,0.574273081687999
A1,1,2039,2.0,new,60.454721721986814,1627.7079150495017,425.78125,4,69.09228237324434,0.7181145612462396,53.35473929101914,6.460743211954839,106.4453125,4,1.0625374194550992
A1,1,2053,0.0,new,2.1469471559160476,235.07783401504346,0.0,4,12.901817921459093,0.13409577738215359,7.567412222116055,0.9442212860560889,0.0,4,0.18323575932748085
A1,1,2053,0.5,new,17.850037725705985,1010.8328719876827,277.34375,4,24.16412901755102,0.2511512474518557,15.290951000699703,4.025849507651031,69.3359375,4,0.37245782684672685
A1,1,2053,1.0,new,32.846007191008084,1409.5481466771591,351.5625,4,40.25053624023506,0.41834623461904036,27.22584741999427,5.626239888784976,87.890625,4,0.618309574255859
A1,1,2053,2.0,new,64.02191568875278,1871.2073274197182,320.3125,3,75.03713408390193,0.7799027151649472,52.45447199367391,7.473201119179019,106.77083333333333,3,1.130170122494741
A1,2,2027,0.0,old,0.622775488123763,24.238289328729536,0.0,2,13.82853539170172,0.14287875019456944,1.6230040813027728,0.09715490740729764,0.0,2,0.15226714639248815
A1,2,2027,0.0,input,9.063036175362841e-15,0.0,0.0,2,9.233673180100474e-15,9.5403862108894e-17,7.077414176530199e-15,7.401486830834377e-17,0.0,2,1.3273111212739164e-16
A1,2,2027,0.5,old,9.137035952397143,309.52706467823265,0.0,2,23.530664895822294,0.24312278172132523,8.619557417329014,1.2393307553727797,0.0,2,0.3004571126867202
A1,2,2027,0.5,input,10.754872018925228,296.4352328065226,0.0,2,19.69651597229973,0.20350771109125004,10.154769694324845,1.1885981437939666,0.0,2,0.26824889973697746
A1,2,2027,1.0,old,18.79822348356292,641.063699886099,128.90625,2,38.018852111142586,0.39281716534723754,17.38892583862452,2.563197576766635,64.453125,2,0.5091332043371476
A1,2,2027,1.0,input,22.35577245634531,613.3523092005317,132.8125,2,38.88532426833768,0.4017697012009418,20.741907167761187,2.458473267294467,66.40625,2,0.534325494152705
A1,2,2027,2.0,old,38.15751141139281,1487.3365379302625,179.6875,2,68.99646791501766,0.7128830945794258,35.07598113011497,5.975559390909022,89.84375,2,0.955829041867676
A1,2,2027,2.0,input,45.19769951794347,1656.236786300692,179.6875,2,77.40054375299746,0.7997154176171564,41.81387317172799,6.658059110789288,89.84375,2,1.0845215827458154
A1,2,2039,0.0,old,0.622775488123763,24.238289328729536,0.0,2,13.82853539170172,0.14287875019456944,1.6230040813027728,0.09715490740729764,0.0,2,0.15226714639248815
A1,2,2039,0.0,input,9.063036175362841e-15,0.0,0.0,2,9.233673180100474e-15,9.5403862108894e-17,7.077414176530199e-15,7.401486830834377e-17,0.0,2,1.3273111212739164e-16
A1,2,2039,0.5,old,5.505357795487114,614.0076991114452,3.90625,1,21.410015256565643,0.22121187348158658,22.74084174765518,2.451459230769552,3.90625,1,0.36402186013202403
A1,2,2039,0.5,input,6.8483403846040805,611.8520459591665,3.90625,1,19.63641786069825,0.20288676730859712,24.249456950778253,2.443569200987851,3.90625,1,0.35340886567284374
A1,2,2039,1.0,old,11.26508410551804,1102.0668676781381,136.71875,1,35.88895171269711,0.37081067670987816,43.571763694995276,4.405313624453069,136.71875,1,0.6414225071846801
A1,2,2039,1.0,input,13.852247720282584,1104.5586855774834,136.71875,1,39.287165193871196,0.4059215891334636,48.62568911250907,4.415776702213704,136.71875,1,0.7027505289998106
A1,2,2039,2.0,old,22.038789669480366,2380.060152669107,136.71875,1,67.30414455445226,0.6953977253892977,83.03249049614054,9.53695618281549,136.71875,1,1.222887977050643
A1,2,2039,2.0,input,26.46155007712364,2504.213657298793,136.71875,1,77.87099019560345,0.8045761492744915,94.71081471980433,10.039670300132501,136.71875,1,1.3975917312649762
A1,2,2053,0.0,old,0.622775488123763,24.238289328729536,0.0,2,13.82853539170172,0.14287875019456944,1.6230040813027728,0.09715490740729764,0.0,2,0.15226714639248815
A1,2,2053,0.0,input,9.063036175362841e-15,0.0,0.0,2,9.233673180100474e-15,9.5403862108894e-17,7.077414176530199e-15,7.401486830834377e-17,0.0,2,1.3273111212739164e-16
A1,2,2053,0.5,old,5.001228030904577,258.7784036266149,0.0,2,23.373166588176545,0.24149548275460397,7.157749493031816,1.0347374995290477,0.0,2,0.289164099345254
A1,2,2053,0.5,input,5.909960348728113,285.1504914629824,0.0,2,18.445095374988025,0.19057782330147488,8.99213638754136,1.1394981228010317,0.0,2,0.2488054409878402
A1,2,2053,1.0,old,9.133500555273809,567.9454801127893,93.75,2,37.52808833598036,0.38774651159759854,13.787625180258512,2.2859936756127337,46.875,2,0.4825938117002951
A1,2,2053,1.0,input,10.65287412130366,573.9251472454239,93.75,2,37.028024905445044,0.3825797722467509,17.168632345539518,2.294646661496412,46.875,2,0.4949830433918554
A1,2,2053,2.0,old,17.32157090214451,1264.1346174853509,140.625,2,68.1951277473493,0.7046035133805472,27.660301493247335,5.0976935717482315,70.3125,2,0.9001691798436217
A1,2,2053,2.0,input,20.54156197192731,1287.5979936359465,140.625,2,74.1407982886536,0.7660351799994144,33.42815985877523,5.200658034779903,70.3125,2,0.9924619332650344
A1,2,2027,0.0,new,0.853403979719501,21.44650299403732,0.0,2,13.748461886368267,0.1420514172889743,1.3879157436427225,0.08588323615238529,0.0,2,0.15010886659228231
A1,2,2027,0.5,new,8.861231150941249,298.44861133186276,0.0,2,23.45857535555015,0.24237794048366487,8.649732687999022,1.195346278272866,0.0,2,0.29941370442666804
A1,2,2027,1.0,new,18.4722650913481,632.2775888156846,128.90625,2,38.01141011862003,0.39274027343059836,17.369846416120623,2.5288882711709904,64.453125,2,0.5086032570139175
A1,2,2027,2.0,new,37.72784629837442,1467.8270629973583,160.15625,2,68.86244164058633,0.7114983126020462,34.880463421192424,5.895534205854567,80.078125,2,0.9526073653348692
A1,2,2039,0.0,new,0.853403979719501,21.44650299403732,0.0,2,13.748461886368267,0.1420514172889743,1.3879157436427225,0.08588323615238529,0.0,2,0.15010886659228231
A1,2,2039,0.5,new,5.34216743495013,605.282746030315,3.90625,1,21.45700007550631,0.2216973285220668,22.4132436020454,2.416579514282953,3.90625,1,0.3624545325530829
A1,2,2039,1.0,new,11.104995762281057,1090.8499720944867,136.71875,1,35.87909309914293,0.37070881585886445,43.412295537144985,4.361068074155086,136.71875,1,0.6400396679819301
A1,2,2039,2.0,new,21.76784507365294,2366.7034932682727,136.71875,1,67.41911724684516,0.6965856425569725,82.6770572867879,9.484293259890126,136.71875,1,1.2216955742464792
A1,2,2053,0.0,new,0.853403979719501,21.44650299403732,0.0,2,13.748461886368267,0.1420514172889743,1.3879157436427225,0.08588323615238529,0.0,2,0.15010886659228231
A1,2,2053,0.5,new,4.994471313080918,267.9483179488447,0.0,2,23.3847307192335,0.24161496529890114,7.345710294437783,1.0718164612350434,0.0,2,0.29063770923361754
A1,2,2053,1.0,new,8.906327743802184,562.9198889666458,93.75,2,37.45621062238037,0.38700385898869155,14.11244394823999,2.26515477030282,46.875,2,0.4833138890541361
A1,2,2053,2.0,new,17.069229560225534,1273.014075445413,191.40625,2,68.2749515327973,0.7054282661383449,27.943766841308495,5.134835293538904,95.703125,2,0.9028420929013224
