dataset,model,n,BA,AUC,balanced_logloss
A1,post_cov6,67,0.4745535714285714,0.42946428571428574,0.7276498129718835
A1,post_minus_pre_cov6,67,0.47857142857142854,0.47767857142857145,0.7110995637497716
A1,pre_cov6,67,0.4459821428571429,0.38035714285714284,0.7089631188491919
A2,post_cov6,70,0.5298570227081582,0.5559293523969723,0.6879102305138289
A2,post_minus_pre_cov6,70,0.5685449957947855,0.5845248107653491,0.6855587733685407
A2,pre_cov6,70,0.5643397813288478,0.5391084945332212,0.7013844088754737
B1,post_cov6,69,0.4789915966386554,0.46638655462184875,0.705423833742278
B1,post_minus_pre_cov6,69,0.5067226890756302,0.5294117647058824,0.7148238321457712
B1,pre_cov6,69,0.4638655462184874,0.43529411764705883,0.7091216807510852
B2,post_cov6,69,0.4890202702702703,0.41385135135135137,0.7312979249262037
B2,post_minus_pre_cov6,69,0.5337837837837838,0.4721283783783784,0.7351468397011914
B2,pre_cov6,69,0.4577702702702703,0.44679054054054057,0.7119119221421044
