iteration,model,n,BA,AUC,balanced_logloss
1,post_cov6,275,0.5152116402116402,0.4903174603174603,0.7168155765158963
1,post_minus_pre_cov6,275,0.5347883597883598,0.5556613756613756,0.7140158754165566
1,pre_cov6,275,0.5333333333333333,0.5749735449735449,0.7581031535980647
2,post_cov6,275,0.5408730158730158,0.5323809523809524,0.7203350909076294
2,post_minus_pre_cov6,275,0.4873015873015873,0.5002116402116402,0.721255181188662
2,pre_cov6,275,0.566137566137566,0.5744973544973545,0.7506421327740727
3,post_cov6,275,0.5312169312169313,0.4739682539682539,0.7334590230266278
3,post_minus_pre_cov6,275,0.446957671957672,0.39925925925925926,0.7090263065247111
3,pre_cov6,275,0.5103174603174603,0.5002116402116401,0.722916463916941
4,post_cov6,275,0.5296296296296297,0.5633862433862433,0.6974875586231439
4,post_minus_pre_cov6,275,0.5486772486772487,0.5684656084656085,0.6968813952431325
4,pre_cov6,275,0.46150793650793653,0.4376719576719576,0.7181358364056538
5,post_cov6,275,0.47314814814814815,0.45121693121693124,0.717522049362262
5,post_minus_pre_cov6,275,0.5276455026455027,0.5355026455026455,0.7199434143996571
5,pre_cov6,275,0.4822751322751323,0.4726984126984127,0.7202878019525784
6,post_cov6,275,0.5305555555555556,0.5664550264550265,0.7152896790222659
6,post_minus_pre_cov6,275,0.49828042328042327,0.5229629629629631,0.7144615528656318
6,pre_cov6,275,0.5066137566137566,0.4419047619047619,0.7242746796127238
7,post_cov6,275,0.43214285714285716,0.37804232804232807,0.7157712604314794
7,post_minus_pre_cov6,275,0.5383597883597884,0.5552910052910053,0.7214623210805783
7,pre_cov6,275,0.5371693121693122,0.5671957671957671,0.7273304912812371
8,post_cov6,275,0.43505291005291,0.41671957671957677,0.7120359309136022
8,post_minus_pre_cov6,275,0.5600529100529101,0.5492063492063493,0.7217693928782052
8,pre_cov6,275,0.553968253968254,0.5212698412698412,0.7200667885918923
9,post_cov6,275,0.5341269841269841,0.4872486772486773,0.7141289439790764
9,post_minus_pre_cov6,275,0.473015873015873,0.4643915343915344,0.7104460873417721
9,pre_cov6,275,0.49563492063492065,0.5077248677248678,0.7126687972433035
10,post_cov6,275,0.4755291005291006,0.4486772486772487,0.7209062675642868
10,post_minus_pre_cov6,275,0.5275132275132275,0.522010582010582,0.7182491729325973
10,pre_cov6,275,0.5260582010582011,0.5533333333333332,0.7423753395292265
11,post_cov6,275,0.5153439153439153,0.5105820105820106,0.7020498474270138
11,post_minus_pre_cov6,275,0.5051587301587301,0.5124867724867725,0.7003868992133798
11,pre_cov6,275,0.4802910052910053,0.4614814814814815,0.7143724403683956
12,post_cov6,275,0.4977513227513228,0.5411640211640212,0.7291338208736794
12,post_minus_pre_cov6,275,0.5124338624338625,0.5111640211640212,0.7145832985180213
12,pre_cov6,275,0.4712962962962963,0.48703703703703705,0.7146708017864121
13,post_cov6,275,0.5375661375661376,0.5248677248677248,0.715962020257342
13,post_minus_pre_cov6,275,0.5162698412698412,0.5104761904761904,0.7074569073196278
13,pre_cov6,275,0.5067460317460317,0.4979365079365079,0.7161073394114907
14,post_cov6,275,0.557010582010582,0.5762962962962963,0.7338420042187968
14,post_minus_pre_cov6,275,0.5280423280423281,0.544074074074074,0.7039404715680346
14,pre_cov6,275,0.5538359788359788,0.5498412698412698,0.7075060359610567
15,post_cov6,275,0.455026455026455,0.4576719576719576,0.713571908109619
15,post_minus_pre_cov6,275,0.5349206349206349,0.5332804232804234,0.7116654906809529
15,pre_cov6,275,0.5440476190476191,0.5479365079365079,0.7226077175517331
16,post_cov6,275,0.5421957671957672,0.5437037037037037,0.7327545799573538
16,post_minus_pre_cov6,275,0.5201058201058201,0.5162962962962964,0.7253415322787854
16,pre_cov6,275,0.514021164021164,0.4757671957671957,0.7160032144220171
17,post_cov6,275,0.5187830687830688,0.4922222222222222,0.7035262804661554
17,post_minus_pre_cov6,275,0.480026455026455,0.48391534391534385,0.7128690918178447
17,pre_cov6,275,0.4556878306878307,0.47391534391534396,0.7085271062315213
18,post_cov6,275,0.4985449735449735,0.46449735449735446,0.7189385806497515
18,post_minus_pre_cov6,275,0.4656084656084656,0.43079365079365084,0.7176564103226983
18,pre_cov6,275,0.4974867724867725,0.49216931216931215,0.7063372153165377
19,post_cov6,275,0.41798941798941797,0.3875132275132275,0.7194510377456121
19,post_minus_pre_cov6,275,0.4981481481481481,0.5174074074074074,0.7197727410068292
19,pre_cov6,275,0.5174603174603174,0.5107407407407407,0.7329553637278834
20,post_cov6,275,0.5481481481481482,0.5532804232804233,0.6981110414936151
20,post_minus_pre_cov6,275,0.518915343915344,0.5088359788359789,0.7124652217173539
20,pre_cov6,275,0.37777777777777777,0.33735449735449735,0.7173799367683258
21,post_cov6,275,0.49470899470899465,0.4758201058201058,0.731208513452533
21,post_minus_pre_cov6,275,0.46164021164021163,0.4462962962962963,0.7127084252375737
21,pre_cov6,275,0.45846560846560847,0.4091005291005291,0.72228127555324
22,post_cov6,275,0.44735449735449734,0.4601058201058201,0.7150669657908143
22,post_minus_pre_cov6,275,0.45052910052910056,0.42560846560846566,0.7172972680348841
22,pre_cov6,275,0.5026455026455027,0.4668783068783068,0.7113684664874123
23,post_cov6,275,0.49034391534391536,0.4792592592592593,0.7109198625596886
23,post_minus_pre_cov6,275,0.537962962962963,0.5219047619047619,0.722315649261107
23,pre_cov6,275,0.5066137566137566,0.4893121693121693,0.7206034156462429
24,post_cov6,275,0.4876984126984127,0.4876719576719577,0.7044957362008716
24,post_minus_pre_cov6,275,0.4835978835978836,0.49470899470899476,0.7077477930049357
24,pre_cov6,275,0.5027777777777778,0.5028571428571429,0.7077629857661891
25,post_cov6,275,0.4624338624338624,0.4401058201058201,0.7100535084674713
25,post_minus_pre_cov6,275,0.462037037037037,0.4348148148148149,0.7172704090255637
25,pre_cov6,275,0.46878306878306875,0.4316931216931217,0.707630997130348
26,post_cov6,275,0.48743386243386244,0.47317460317460314,0.7134627691548419
26,post_minus_pre_cov6,275,0.49484126984126986,0.47354497354497355,0.7164947232351089
26,pre_cov6,275,0.4891534391534392,0.4721164021164021,0.7167237735338265
27,post_cov6,275,0.5412698412698412,0.5492592592592592,0.7025067193626786
27,post_minus_pre_cov6,275,0.5201058201058201,0.5075132275132275,0.7087181169435806
27,pre_cov6,275,0.3876984126984127,0.36756613756613754,0.7158360130961547
28,post_cov6,275,0.5263227513227513,0.4948677248677249,0.706248246528353
28,post_minus_pre_cov6,275,0.49470899470899465,0.5123280423280423,0.7164824911607478
28,pre_cov6,275,0.5607142857142857,0.546984126984127,0.7009077668664576
29,post_cov6,275,0.4985449735449735,0.4902116402116402,0.7270749685196976
29,post_minus_pre_cov6,275,0.4735449735449735,0.44243386243386246,0.7152615775047344
29,pre_cov6,275,0.4630952380952381,0.44338624338624344,0.721894850567073
30,post_cov6,275,0.5091269841269841,0.4955555555555556,0.7145331089734617
30,post_minus_pre_cov6,275,0.4211640211640212,0.40862433862433867,0.7118334642513843
30,pre_cov6,275,0.5115079365079365,0.494973544973545,0.7239401775452252
31,post_cov6,275,0.5277777777777778,0.5244444444444445,0.7376603017724829
31,post_minus_pre_cov6,275,0.516005291005291,0.4988888888888889,0.7235958751352798
31,pre_cov6,275,0.44325396825396823,0.41105820105820107,0.7163129904982568
32,post_cov6,275,0.525,0.49158730158730163,0.7025289458830828
32,post_minus_pre_cov6,275,0.4728835978835979,0.4491005291005291,0.7162319761538203
32,pre_cov6,275,0.42923280423280424,0.40904761904761905,0.7170065086716368
33,post_cov6,275,0.46851851851851856,0.43719576719576725,0.7082249527304456
33,post_minus_pre_cov6,275,0.48333333333333334,0.4538624338624339,0.7145797466325993
33,pre_cov6,275,0.44193121693121695,0.43539682539682545,0.7110133145491498
34,post_cov6,275,0.3923280423280423,0.36111111111111116,0.7179730168096359
34,post_minus_pre_cov6,275,0.43214285714285716,0.3941798941798942,0.7140461340648336
34,pre_cov6,275,0.49378306878306877,0.47423280423280423,0.7059704297770153
35,post_cov6,275,0.5085978835978836,0.4946560846560847,0.7181245088363847
35,post_minus_pre_cov6,275,0.5273809523809524,0.5422751322751322,0.7212231054136495
35,pre_cov6,275,0.4894179894179894,0.4742857142857143,0.7059704990325537
36,post_cov6,275,0.5376984126984127,0.5220634920634921,0.7189163642662244
36,post_minus_pre_cov6,275,0.45436507936507936,0.41783068783068783,0.7183883722062876
36,pre_cov6,275,0.4703703703703704,0.47603174603174603,0.719803773288946
37,post_cov6,275,0.4624338624338624,0.39555555555555555,0.7155522272144538
37,post_minus_pre_cov6,275,0.39616402116402116,0.33132275132275135,0.7264419476170241
37,pre_cov6,275,0.483994708994709,0.45100529100529096,0.7113825892650971
38,post_cov6,275,0.43333333333333335,0.41492063492063497,0.7172204222109066
38,post_minus_pre_cov6,275,0.4981481481481481,0.4792592592592592,0.7157505051731126
38,pre_cov6,275,0.4332010582010582,0.4178306878306878,0.7127341325629843
39,post_cov6,275,0.4722222222222222,0.4548677248677248,0.7074315248906038
39,post_minus_pre_cov6,275,0.5089947089947089,0.5107407407407407,0.7099542221468488
39,pre_cov6,275,0.5154761904761904,0.5212698412698412,0.7207291269117087
40,post_cov6,275,0.5197089947089947,0.5012169312169312,0.7064692646342777
