dataset,trial_id,block,cue,previous_cue,second_previous_cue,previous_action,previous_interval_s,cue_duration_s,action_delay_s,first_action,guard,retained
A1,1,0,-1,0,0,0,,0.203125,2.328125,-1,False,False
A1,2,0,1,-1,0,-1,9.28125,0.203125,2.21484375,1,True,True
A1,3,0,-1,1,-1,1,8.40625,0.20703125,2.21875,-1,True,False
A1,4,0,-1,-1,1,-1,8.44140625,0.203125,2.21484375,-1,True,True
A1,5,0,1,-1,-1,-1,8.609375,0.203125,2.21875,1,True,True
A1,6,0,-1,1,-1,1,8.44140625,0.203125,2.21484375,-1,True,True
A1,7,0,-1,-1,1,-1,8.40625,0.203125,2.21875,-1,True,True
A1,8,0,-1,-1,-1,-1,8.67578125,0.203125,2.21484375,-1,True,True
A1,9,0,1,-1,-1,-1,8.265625,0.203125,2.21484375,1,True,True
A1,10,0,1,1,-1,1,8.39453125,0.203125,2.21484375,1,True,True
A1,11,0,1,1,1,1,8.78125,0.203125,2.21484375,1,True,True
A1,12,0,1,1,1,1,8.40625,0.20703125,2.21875,1,True,True
A1,13,0,-1,1,1,1,8.30078125,0.203125,2.21484375,-1,True,True
A1,14,0,-1,-1,1,-1,8.36328125,0.203125,2.21484375,-1,True,False
A1,15,0,1,-1,-1,-1,8.421875,0.203125,2.21484375,1,True,True
A1,16,0,-1,1,-1,1,8.25390625,0.203125,2.21484375,-1,True,True
A1,17,0,1,-1,1,-1,8.234375,0.203125,2.21875,1,True,True
A1,18,0,-1,1,-1,1,8.64453125,0.203125,2.21484375,-1,False,False
A1,19,0,-1,-1,1,-1,8.484375,0.203125,2.21484375,-1,False,False
A1,20,0,1,-1,-1,-1,8.44140625,0.203125,2.21484375,1,False,False
A1,21,1,-1,1,-1,1,8.34375,0.203125,2.21875,-1,False,False
A1,22,1,-1,-1,1,-1,8.19140625,0.203125,2.21484375,-1,False,False
A1,23,1,1,-1,-1,-1,8.515625,0.203125,2.21484375,1,False,False
A1,24,1,-1,1,-1,1,8.37890625,0.203125,2.21484375,-1,True,True
A1,25,1,-1,-1,1,-1,8.328125,0.203125,2.21484375,-1,True,True
A1,26,1,1,-1,-1,-1,8.51953125,0.203125,2.21484375,1,True,True
A1,27,1,1,1,-1,1,8.1875,0.203125,2.21875,1,True,False
A1,28,1,-1,1,1,1,8.45703125,0.203125,2.21484375,-1,True,True
A1,29,1,-1,-1,1,-1,8.15625,0.203125,2.21875,-1,True,True
A1,30,1,-1,-1,-1,-1,8.58203125,0.203125,2.21484375,-1,True,True
A1,31,1,-1,-1,-1,-1,8.265625,0.203125,2.21875,-1,True,True
A1,32,1,1,-1,-1,-1,8.22265625,0.203125,2.21484375,1,True,True
A1,33,1,1,1,-1,1,8.546875,0.203125,2.21875,1,True,True
A1,34,1,-1,1,1,1,8.41015625,0.203125,2.21484375,-1,True,True
A1,35,1,1,-1,1,-1,8.796875,0.203125,2.21484375,1,True,True
A1,36,1,-1,1,-1,1,8.26953125,0.203125,2.21484375,-1,True,False
A1,37,1,-1,-1,1,-1,8.359375,0.203125,2.21875,-1,True,True
A1,38,1,-1,-1,-1,-1,8.37890625,0.203125,2.21484375,-1,False,False
A1,39,1,-1,-1,-1,-1,8.3125,0.203125,2.21875,-1,False,False
A1,40,1,-1,-1,-1,-1,8.39453125,0.203125,2.21484375,-1,False,False
A1,41,2,-1,-1,-1,-1,8.203125,0.203125,2.21875,-1,False,False
A1,42,2,1,-1,-1,-1,8.20703125,0.203125,2.21875,1,False,False
A1,43,2,-1,1,-1,1,8.375,0.20703125,2.21875,-1,False,False
A1,44,2,1,-1,1,-1,8.51953125,0.203125,2.21484375,1,True,True
A1,45,2,-1,1,-1,1,8.265625,0.20703125,2.21875,-1,True,True
A1,46,2,-1,-1,1,-1,8.20703125,0.203125,2.21484375,-1,True,False
A1,47,2,-1,-1,-1,-1,8.34765625,0.203125,2.21484375,-1,True,True
A1,48,2,1,-1,-1,-1,8.546875,0.203125,2.21484375,1,True,True
A1,49,2,-1,1,-1,1,8.484375,0.20703125,2.21875,-1,True,True
A1,50,2,-1,-1,1,-1,8.33203125,0.203125,2.21484375,-1,True,True
A1,51,2,1,-1,-1,-1,8.23828125,0.203125,2.21484375,1,True,True
A1,52,2,1,1,-1,1,8.390625,0.203125,2.21875,1,True,True
A1,53,2,1,1,1,1,8.45703125,0.203125,2.21484375,1,True,True
A1,54,2,-1,1,1,1,8.265625,0.203125,2.21875,-1,True,True
A1,55,2,1,-1,1,-1,8.41015625,0.203125,2.21484375,1,True,True
A1,56,2,-1,1,-1,1,8.296875,0.203125,2.21875,-1,True,True
A1,57,2,-1,-1,1,-1,8.44140625,0.203125,2.21484375,-1,True,True
A1,58,2,1,-1,-1,-1,8.4375,0.203125,2.21484375,1,False,False
A1,59,2,1,1,-1,1,8.45703125,0.203125,2.21484375,1,False,False
A1,60,2,-1,1,1,1,8.390625,0.203125,2.21484375,-1,False,False
A1,61,3,1,-1,1,-1,8.44140625,0.203125,2.21484375,1,False,False
A1,62,3,-1,1,-1,1,9.0625,0.203125,2.21484375,-1,False,False
A1,63,3,1,-1,1,-1,8.328125,0.20703125,2.21875,1,False,False
A1,64,3,1,1,-1,1,8.41015625,0.203125,2.21484375,1,True,True
A1,65,3,-1,1,1,1,8.1875,0.20703125,2.21875,-1,True,True
A1,66,3,1,-1,1,-1,8.50390625,0.203125,2.21484375,1,True,True
A1,67,3,-1,1,-1,1,8.296875,0.20703125,2.21875,-1,True,True
A1,68,3,-1,-1,1,-1,8.42578125,0.203125,2.21484375,-1,True,True
A1,69,3,1,-1,-1,-1,8.265625,0.20703125,2.21875,1,True,True
A1,70,3,1,1,-1,1,8.39453125,0.203125,2.21484375,1,True,True
A1,71,3,-1,1,1,1,8.31640625,0.203125,2.21484375,-1,True,True
A1,72,3,1,-1,1,-1,8.3125,0.203125,2.21484375,1,True,True
A1,73,3,-1,1,-1,1,8.09765625,0.203125,2.21484375,-1,True,True
A1,74,3,1,-1,1,-1,8.453125,0.203125,2.21484375,1,True,True
A1,75,3,-1,1,-1,1,8.25390625,0.203125,2.21484375,-1,True,True
A1,76,3,1,-1,1,-1,8.3125,0.203125,2.21875,1,True,True
A1,77,3,-1,1,-1,1,8.20703125,0.203125,2.21484375,-1,True,False
A1,78,3,-1,-1,1,-1,8.359375,0.20703125,2.21875,-1,False,False
A1,79,3,-1,-1,-1,-1,8.30078125,0.203125,2.21875,-1,False,False
A1,80,3,-1,-1,-1,-1,8.36328125,0.203125,2.21484375,-1,False,False
A1,81,4,-1,-1,-1,-1,8.46875,0.203125,2.21484375,-1,False,False
A1,82,4,1,-1,-1,-1,8.390625,0.20703125,2.21875,1,False,False
A1,83,4,-1,1,-1,1,8.36328125,0.203125,2.21484375,-1,False,False
A1,84,4,1,-1,1,-1,8.19140625,0.203125,2.21484375,1,True,True
A1,85,4,-1,1,-1,1,8.265625,0.203125,2.21484375,-1,True,True
A1,86,4,1,-1,1,-1,8.26953125,0.203125,2.21484375,1,True,True
A1,87,4,1,1,-1,1,8.28125,0.203125,2.21875,1,True,True
A1,88,4,1,1,1,1,8.50390625,0.203125,2.21484375,1,True,False
A1,89,4,1,1,1,1,8.296875,0.203125,2.21875,1,True,True
A1,90,4,1,1,1,1,8.31640625,0.203125,2.21484375,1,True,True
A1,91,4,-1,1,1,1,8.25,0.20703125,2.21875,-1,True,True
A1,92,4,1,-1,1,-1,8.61328125,0.203125,2.21484375,1,True,True
A1,93,4,1,1,-1,1,8.203125,0.203125,2.21875,1,True,True
A1,94,4,1,1,1,1,8.53515625,0.203125,2.21484375,1,True,True
A1,95,4,-1,1,1,1,8.484375,0.203125,2.21875,-1,True,True
A1,96,4,1,-1,1,-1,8.48828125,0.203125,2.21484375,1,True,True
A1,97,4,1,1,-1,1,8.1875,0.203125,2.21875,1,True,True
A1,98,4,-1,1,1,1,8.14453125,0.203125,2.21484375,-1,True,True
A1,99,4,-1,-1,1,-1,8.40625,0.20703125,2.21875,-1,True,True
A1,100,4,1,-1,-1,-1,8.58203125,0.203125,2.21484375,1,False,False
A2,1,0,1,0,0,0,,0.203125,2.21875,-1,False,False
