dataset,model,n,BA,AUC,recall_left,recall_right,p_raw,p_family,family,BA_low,BA_high,bootstraps,resampling_unit
pooled,past_only,275,0.5242063492063492,0.4858201058201058,0.4928571428571429,0.5555555555555556,0.237,0.513,pooled_3_models,0.4812578777762979,0.5664512417407155,2000,contiguous_time_block
pooled,post_erp,275,0.5128306878306879,0.5025925925925926,0.5071428571428571,0.5185185185185185,0.3775,0.662,pooled_3_models,0.4415968782892177,0.5780740137147046,2000,contiguous_time_block
pooled,post_given_past,275,0.5316137566137566,0.5246560846560847,0.4928571428571429,0.5703703703703704,0.2015,0.404,pooled_3_models,0.47183368583836877,0.5955384594201594,2000,contiguous_time_block
A1,past_only,67,0.5839285714285714,0.5821428571428572,0.625,0.5428571428571428,0.1185,0.7455,four_groups_x_3_models,0.5170008718395815,0.6706349206349207,2000,contiguous_time_block
A1,post_erp,67,0.48125,0.4535714285714286,0.5625,0.4,0.619,1.0,four_groups_x_3_models,0.38362068965517243,0.6150793650793651,2000,contiguous_time_block
A1,post_given_past,67,0.4901785714285714,0.4232142857142857,0.4375,0.5428571428571428,0.583,0.9995,four_groups_x_3_models,0.42657657657657655,0.5815811606391926,2000,contiguous_time_block
A2,past_only,70,0.43145500420521443,0.3700588730025231,0.4146341463414634,0.4482758620689655,0.8045,1.0,four_groups_x_3_models,0.3571428571428571,0.4821428571428571,2000,contiguous_time_block
A2,post_erp,70,0.5096719932716569,0.5079899074852817,0.5365853658536586,0.4827586206896552,0.4425,0.9965,four_groups_x_3_models,0.3258064516129032,0.652876280535855,2000,contiguous_time_block
A2,post_given_past,70,0.4974768713204374,0.47266610597140457,0.5121951219512195,0.4827586206896552,0.5175,0.9995,four_groups_x_3_models,0.3524133277863116,0.6293706293706294,2000,contiguous_time_block
B1,past_only,69,0.5369747899159664,0.44537815126050423,0.4857142857142857,0.5882352941176471,0.2835,0.9745,four_groups_x_3_models,0.4451269451269452,0.6115954664341761,2000,contiguous_time_block
B1,post_erp,69,0.5373949579831933,0.5436974789915966,0.45714285714285713,0.6176470588235294,0.2985,0.972,four_groups_x_3_models,0.41541353383458646,0.6285714285714286,2000,contiguous_time_block
B1,post_given_past,69,0.5516806722689076,0.5966386554621849,0.4857142857142857,0.6176470588235294,0.232,0.9305,four_groups_x_3_models,0.4344183298319328,0.6941964285714286,2000,contiguous_time_block
B2,past_only,69,0.5451858108108107,0.5557432432432432,0.46875,0.6216216216216216,0.284,0.957,four_groups_x_3_models,0.44573643410852715,0.6545814106789717,2000,contiguous_time_block
B2,post_erp,69,0.5181587837837838,0.4839527027027027,0.46875,0.5675675675675675,0.4695,0.994,four_groups_x_3_models,0.40854978354978355,0.5991345397324941,2000,contiguous_time_block
B2,post_given_past,69,0.5764358108108107,0.5464527027027026,0.53125,0.6216216216216216,0.182,0.8245,four_groups_x_3_models,0.47419354838709676,0.6820368885324779,2000,contiguous_time_block
