dataset,model,n,BA,AUC,recall_left,recall_right,balanced_logloss
A1,kernel_all9,67,0.4955357142857143,0.4821428571428571,0.5625,0.42857142857142855,0.8658890793403204
A1,kernel_lateral3,67,0.4799107142857143,0.5455357142857143,0.53125,0.42857142857142855,0.7061832799369089
A1,nested_selected,67,0.5254464285714285,0.5705357142857143,0.59375,0.45714285714285713,0.69637917840747
A1,window_all9,67,0.4928571428571429,0.5151785714285715,0.5,0.4857142857142857,0.9274911842031274
A2,kernel_all9,70,0.5513036164844407,0.5273338940285955,0.5853658536585366,0.5172413793103449,1.0715361350415353
A2,kernel_lateral3,70,0.6101766190075694,0.6156433978132884,0.6341463414634146,0.5862068965517241,0.8035028182447861
A2,nested_selected,70,0.607232968881413,0.6139613120269134,0.7317073170731707,0.4827586206896552,0.8081548758512629
A2,window_all9,70,0.5706476030277544,0.5727502102607234,0.6585365853658537,0.4827586206896552,1.1348267264586536
B1,kernel_all9,69,0.5084033613445378,0.4857142857142857,0.42857142857142855,0.5882352941176471,0.8047447703197295
B1,kernel_lateral3,69,0.5823529411764705,0.5663865546218487,0.4,0.7647058823529411,0.6875929403025575
B1,nested_selected,69,0.5243697478991597,0.4890756302521009,0.34285714285714286,0.7058823529411765,0.715067837301921
B1,window_all9,69,0.4512605042016807,0.4722689075630252,0.3142857142857143,0.5882352941176471,0.8866531537966951
B2,kernel_all9,69,0.5088682432432432,0.535472972972973,0.53125,0.4864864864864865,0.9562762841510333
B2,kernel_lateral3,69,0.4016047297297297,0.4079391891891892,0.34375,0.4594594594594595,0.7592514558640506
B2,nested_selected,69,0.5358952702702703,0.5422297297297297,0.53125,0.5405405405405406,0.7314991747646838
B2,window_all9,69,0.5515202702702703,0.5532094594594594,0.5625,0.5405405405405406,1.0016560938489738
