dataset,fold,model,contrast_MSE,observed_energy,gain,train_cosine
A1,0,zero_direction,2559.007773143215,2559.007773143215,-29.517610287917694,-0.09318218873338735
A1,0,illustrative_forward,2569.279906324819,2559.007773143215,-29.517610287917694,-0.09318218873338735
A1,0,effective_M1,1662.3456204375605,2559.007773143215,-29.517610287917694,-0.09318218873338735
A1,1,zero_direction,268.83902269013544,268.83902269013544,-41.7992934004488,-0.11663278947133748
A1,1,illustrative_forward,387.0392376054768,268.83902269013544,-41.7992934004488,-0.11663278947133748
A1,1,effective_M1,330.69419804234866,268.83902269013544,-41.7992934004488,-0.11663278947133748
A1,2,zero_direction,28857.64635675483,28857.64635675483,-1.4558026766804628,-0.008500369559079506
A1,2,illustrative_forward,28849.72926907905,28857.64635675483,-1.4558026766804628,-0.008500369559079506
A1,2,effective_M1,26269.78317991346,28857.64635675483,-1.4558026766804628,-0.008500369559079506
A1,3,zero_direction,1532.4332174978288,1532.4332174978288,-33.11962276387493,-0.07578567716943868
A1,3,illustrative_forward,1565.8559204002515,1532.4332174978288,-33.11962276387493,-0.07578567716943868
A1,3,effective_M1,2818.6959870305877,1532.4332174978288,-33.11962276387493,-0.07578567716943868
A1,4,zero_direction,10854.09266628018,10854.09266628018,-23.171732490352376,-0.08461746883081628
A1,4,illustrative_forward,10814.071722946313,10854.09266628018,-23.171732490352376,-0.08461746883081628
A1,4,effective_M1,9189.832315418646,10854.09266628018,-23.171732490352376,-0.08461746883081628
A2,0,zero_direction,2688.4530332073414,2688.4530332073414,-40.51547790053321,-0.19738335261358064
A2,0,illustrative_forward,2687.029379625069,2688.4530332073414,-40.51547790053321,-0.19738335261358064
A2,0,effective_M1,1613.6851187619477,2688.4530332073414,-40.51547790053321,-0.19738335261358064
A2,1,zero_direction,2545.648747607843,2545.648747607843,-35.55310767448972,-0.18916338574509053
A2,1,illustrative_forward,2524.657538354806,2545.648747607843,-35.55310767448972,-0.18916338574509053
A2,1,effective_M1,988.0790472838985,2545.648747607843,-35.55310767448972,-0.18916338574509053
A2,2,zero_direction,6565.988739404193,6565.988739404193,-52.88621818846657,-0.14256003449789056
A2,2,illustrative_forward,6729.089193730492,6565.988739404193,-52.88621818846657,-0.14256003449789056
A2,2,effective_M1,16119.59331141853,6565.988739404193,-52.88621818846657,-0.14256003449789056
A2,3,zero_direction,1417.9864907716194,1417.9864907716194,-41.2777802894033,-0.1802551873908596
A2,3,illustrative_forward,1394.143594825275,1417.9864907716194,-41.2777802894033,-0.1802551873908596
A2,3,effective_M1,705.3757146288848,1417.9864907716194,-41.2777802894033,-0.1802551873908596
A2,4,zero_direction,22184.13420248842,22184.13420248842,-10.324661191831721,-0.10709138577956848
A2,4,illustrative_forward,22110.857769516773,22184.13420248842,-10.324661191831721,-0.10709138577956848
A2,4,effective_M1,19265.4869372385,22184.13420248842,-10.324661191831721,-0.10709138577956848
B1,0,zero_direction,2770.9303448558785,2770.9303448558785,-85.18711021528703,-0.4524561527820507
B1,0,illustrative_forward,2946.5391235172606,2770.9303448558785,-85.18711021528703,-0.4524561527820507
B1,0,effective_M1,2715.146499121133,2770.9303448558785,-85.18711021528703,-0.4524561527820507
B1,1,zero_direction,9630.662345732591,9630.662345732591,-69.96406294060048,-0.2325848173869617
B1,1,illustrative_forward,9635.507440686633,9630.662345732591,-69.96406294060048,-0.2325848173869617
B1,1,effective_M1,11153.103601729694,9630.662345732591,-69.96406294060048,-0.2325848173869617
B1,2,zero_direction,31569.005626316484,31569.005626316484,-18.84214088142172,-0.16918802721194515
B1,2,illustrative_forward,31317.905154072618,31569.005626316484,-18.84214088142172,-0.16918802721194515
B1,2,effective_M1,32156.053319276525,31569.005626316484,-18.84214088142172,-0.16918802721194515
B1,3,zero_direction,3217.1279041586836,3217.1279041586836,-78.50803578810256,-0.3281019333627317
B1,3,illustrative_forward,3379.5689129346406,3217.1279041586836,-78.50803578810256,-0.3281019333627317
B1,3,effective_M1,3904.5535398104075,3217.1279041586836,-78.50803578810256,-0.3281019333627317
B1,4,zero_direction,380.9189232899665,380.9189232899665,-76.29217018857177,-0.35156270937449463
B1,4,illustrative_forward,405.2757952350851,380.9189232899665,-76.29217018857177,-0.35156270937449463
B1,4,effective_M1,422.7548919987798,380.9189232899665,-76.29217018857177,-0.35156270937449463
B2,0,zero_direction,1849.7114604083993,1849.7114604083993,-14.552299449234726,-0.023285501584192556
B2,0,illustrative_forward,1867.672198916519,1849.7114604083993,-14.552299449234726,-0.023285501584192556
B2,0,effective_M1,15621.675629104002,1849.7114604083993,-14.552299449234726,-0.023285501584192556
B2,1,zero_direction,14810.067520869356,14810.067520869356,6.9736486908680435,0.014220300267243245
B2,1,illustrative_forward,14833.561836058552,14810.067520869356,6.9736486908680435,0.014220300267243245
B2,1,effective_M1,6975.966851236185,14810.067520869356,6.9736486908680435,0.014220300267243245
B2,2,zero_direction,8589.549533544889,8589.549533544889,-22.033763365274186,-0.04192393977184975
B2,2,illustrative_forward,8669.89696859483,8589.549533544889,-22.033763365274186,-0.04192393977184975
B2,2,effective_M1,3381.946160686754,8589.549533544889,-22.033763365274186,-0.04192393977184975
B2,3,zero_direction,25123.256124781285,25123.256124781285,11.338925052367731,0.022725654007890558
B2,3,illustrative_forward,25175.49993218823,25123.256124781285,11.338925052367731,0.022725654007890558
B2,3,effective_M1,11940.46344058607,25123.256124781285,11.338925052367731,0.022725654007890558
B2,4,zero_direction,4815.052683107518,4815.052683107518,-28.996483107907487,-0.053954268403035396
B2,4,illustrative_forward,4893.064890506571,4815.052683107518,-28.996483107907487,-0.053954268403035396
B2,4,effective_M1,2514.5398003368077,4815.052683107518,-28.996483107907487,-0.053954268403035396
