dataset,model,contrast_MSE,observed_energy,contrast_RMSE,S_delta
A1,effective_M1,8054.2702601685205,8814.403807273238,89.74558629909619,0.08623765869195721
A1,illustrative_forward,8837.195211271182,8814.403807273238,94.00635729178735,-0.0025857000083360226
A1,zero_direction,8814.403807273238,8814.403807273238,93.8850563576187,0.0
A2,effective_M1,7738.444025866353,7080.442242695883,87.96842630095387,-0.09293230007620767
A2,illustrative_forward,7089.155495210483,7080.442242695883,84.19712284401696,-0.001230608515109255
A2,zero_direction,7080.442242695883,7080.442242695883,84.1453637623362,0.0
B1,effective_M1,10070.322370387308,9513.72902887072,100.35099586146272,-0.058504224771120494
B1,illustrative_forward,9536.959285289247,9513.72902887072,97.65735653441193,-0.0024417614111176267
B1,zero_direction,9513.72902887072,9513.72902887072,97.53834645343707,0.0
B2,effective_M1,8086.918376389964,11037.527464542289,89.92729494647308,0.2673251865176385
B2,illustrative_forward,11087.939165252941,11037.527464542289,105.29928378319076,-0.0045673001378794265
B2,zero_direction,11037.527464542289,11037.527464542289,105.05963765662952,0.0
