dataset,model,branch,n,BA,AUC,recall_left,recall_right,TN,FP,FN,TP,BA_low,BA_high,AUC_low,AUC_high
A1,mechanism_selected,baseline,67,0.4799107142857143,0.48392857142857143,0.53125,0.42857142857142855,17,15,20,15,0.4280701754385965,0.5679802955665025,0.37142857142857144,0.657142857142857
A1,mechanism_selected,denoised,67,0.4799107142857143,0.48750000000000004,0.53125,0.42857142857142855,17,15,20,15,0.4280701754385965,0.5679802955665025,0.3678571428571428,0.6561576354679803
A1,window_mean_9,baseline,67,0.45,0.5008928571428571,0.5,0.4,16,16,21,14,0.40064102564102566,0.5507389162561576,0.38235895135566184,0.6363839285714284
A1,window_mean_9,denoised,67,0.45,0.5053571428571428,0.5,0.4,16,16,21,14,0.40064102564102566,0.5507389162561576,0.3784011533463288,0.6461675579322638
A2,mechanism_selected,baseline,70,0.5756938603868798,0.5290159798149705,0.6341463414634146,0.5172413793103449,26,15,14,15,0.45230263157894735,0.7023809523809523,0.3513513513513513,0.6959854770791454
A2,mechanism_selected,denoised,70,0.5462573591253154,0.5046257359125316,0.6097560975609756,0.4827586206896552,25,16,15,14,0.4079391891891892,0.6637209302325582,0.34206081081081086,0.6697674418604652
A2,window_mean_9,baseline,70,0.5441547518923465,0.534062237174096,0.5365853658536586,0.5517241379310345,22,19,13,16,0.42191142191142195,0.6656976744186047,0.3853923853923854,0.7065637065637066
A2,window_mean_9,denoised,70,0.5269133725820017,0.5248107653490328,0.5365853658536586,0.5172413793103449,22,19,14,15,0.3916083916083916,0.6628014842300557,0.3768453768453769,0.7055984555984556
B1,mechanism_selected,baseline,69,0.5100840336134453,0.4680672268907563,0.3142857142857143,0.7058823529411765,11,24,10,24,0.47916666666666663,0.5469924812030075,0.42101042502004815,0.5178571428571428
B1,mechanism_selected,denoised,69,0.4953781512605042,0.4722689075630252,0.3142857142857143,0.6764705882352942,11,24,11,23,0.47166521360069746,0.5308943089430894,0.4051724137931034,0.5283882783882784
B1,window_mean_9,baseline,69,0.48067226890756304,0.48487394957983193,0.3142857142857143,0.6470588235294118,11,24,12,22,0.4127906976744186,0.5375939849624061,0.38787375415282394,0.5714285714285714
B1,window_mean_9,denoised,69,0.49495798319327733,0.49327731092436977,0.34285714285714286,0.6470588235294118,12,23,12,22,0.45,0.5425824175824175,0.3945182724252492,0.5722689075630252
B2,mechanism_selected,baseline,69,0.4641047297297297,0.48057432432432434,0.46875,0.4594594594594595,15,17,20,17,0.4095238095238095,0.5182926829268293,0.42480942480942474,0.55
B2,mechanism_selected,denoised,69,0.46199324324324326,0.47888513513513514,0.4375,0.4864864864864865,14,18,19,18,0.4095238095238095,0.5214285714285714,0.41287878787878785,0.5591397849462366
B2,window_mean_9,baseline,69,0.4641047297297297,0.5118243243243243,0.46875,0.4594594594594595,15,17,20,17,0.4300699300699301,0.5075075075075075,0.4643104643104643,0.5616211745244004
B2,window_mean_9,denoised,69,0.4641047297297297,0.5253378378378378,0.46875,0.4594594594594595,15,17,20,17,0.4300699300699301,0.5075075075075075,0.47807255385274894,0.5665839536807279
