dataset,quantity,channel_or_cue,RMS_before,RMS_after,retention_ratio,waveform_correlation,P300_positive_mean_difference_before,P300_positive_mean_difference_after
A1,left_minus_right_ERP,Fz,8.646592709251774,8.50317815961964,0.9834137498486771,0.9951972359174804,,
A1,left_minus_right_ERP,F3,66.98381926666931,63.415000187411074,0.946721176571755,0.999589878930894,,
A1,left_minus_right_ERP,F4,41.71800475251465,39.204815399409696,0.9397576809338278,0.9983418565833023,,
A1,F3_minus_F4,left,13.457503732205872,13.356175688005337,0.992470517102056,0.9995856081640758,0.0,0.0
A1,F3_minus_F4,right,11.947054376885038,10.995323625773338,0.9203376228911114,0.9997083081220413,11.717681809031795,10.775777786099756
A2,left_minus_right_ERP,Fz,14.237716752832613,12.777972523194297,0.8974734323642158,0.962426553286096,,
A2,left_minus_right_ERP,F3,46.05260049540197,42.039374732802884,0.9128556103362743,0.9948985954542009,,
A2,left_minus_right_ERP,F4,15.788545010445825,14.114506195052877,0.8939713055075372,0.988570234377774,,
A2,F3_minus_F4,left,21.169708558148574,19.848213213731942,0.9375761201063827,0.960464041671923,-21.1500050228025,-19.832752074078858
A2,F3_minus_F4,right,9.449425236189025,8.520737776243815,0.9017202171843562,0.9990666705997105,9.094782324636704,8.112670695165434
B1,left_minus_right_ERP,Fz,8.405814377122317,8.120857522259568,0.9661000300412985,0.9953963352195309,,
B1,left_minus_right_ERP,F3,12.68472270951215,12.217958038135707,0.9632026113565306,0.9891959981995284,,
B1,left_minus_right_ERP,F4,42.48386170960477,40.121062600223944,0.9443836079325443,0.9978814736035639,,
B1,F3_minus_F4,left,53.09500800129255,50.97355368491729,0.960044185014084,0.9994809491069965,-51.35467878649652,-49.03060058888794
B1,F3_minus_F4,right,2.9908476868068785,2.5252849065777414,0.8443375159882212,0.9990294763585322,1.6781796731413952,0.9078003749134727
B2,left_minus_right_ERP,Fz,44.82145368595455,38.745131835003335,0.8644327358606972,0.9980443548280906,,
B2,left_minus_right_ERP,F3,88.77546699513164,77.02818723122978,0.8676742554950888,0.9989652798128235,,
B2,left_minus_right_ERP,F4,89.74297690999983,78.06290768451059,0.8698497684425727,0.9990882951647084,,
B2,F3_minus_F4,left,23.229075104136683,24.32330738526694,1.0471061493505294,0.9996119484930894,-6.6680133553645256,-9.893823409433065
B2,F3_minus_F4,right,24.354443691381285,25.486832675508424,1.0464961958678511,0.9995935932306204,-23.547512848167685,-24.669767566506323
