dataset,branch,fold,model,target,cue,channel,RMSE,R2,positive_peak_latency_ms,positive_peak_amplitude
A1,baseline,0,mechanism,common_baseline,-1,Fz,4.8209741047623345,-0.47875073220882447,320.3125,4.475291219676319
A1,baseline,0,mechanism,common_baseline,-1,F3,90.79906257868855,-7.441732875315706,,
A1,baseline,0,mechanism,common_baseline,-1,F4,103.08451525624446,-9.33590924066645,304.6875,3.972384605382264
A1,baseline,0,mechanism,common_baseline,1,Fz,3.4527141445077647,0.025831942730267565,273.4375,0.6446725691499633
A1,baseline,0,mechanism,common_baseline,1,F3,39.484886061253924,-11.221468596455823,332.03125,20.57166585587906
A1,baseline,0,mechanism,common_baseline,1,F4,52.89583077610924,-13.429968561776958,332.03125,18.84435524773415
A1,baseline,0,training_template,common_baseline,-1,Fz,8.696105174988604,-3.8114385396688952,328.125,12.978871155433158
A1,baseline,0,training_template,common_baseline,-1,F3,63.01860273434479,-3.0663655288907883,,
A1,baseline,0,training_template,common_baseline,-1,F4,89.0078633407595,-6.705814899200473,,
A1,baseline,0,training_template,common_baseline,1,Fz,5.7726270160018585,-1.7230751835084988,351.5625,5.314801830484025
A1,baseline,0,training_template,common_baseline,1,F3,68.43054180146505,-35.70807201120491,355.46875,47.92161000398329
A1,baseline,0,training_template,common_baseline,1,F4,70.67096495661123,-24.757549464608115,355.46875,39.70403891918683
A1,baseline,0,mechanism,branch_output,-1,Fz,4.8209741047623345,-0.47875073220882447,320.3125,4.475291219676319
A1,baseline,0,mechanism,branch_output,-1,F3,90.79906257868855,-7.441732875315706,,
A1,baseline,0,mechanism,branch_output,-1,F4,103.08451525624446,-9.33590924066645,304.6875,3.972384605382264
A1,baseline,0,mechanism,branch_output,1,Fz,3.4527141445077647,0.025831942730267565,273.4375,0.6446725691499633
A1,baseline,0,mechanism,branch_output,1,F3,39.484886061253924,-11.221468596455823,332.03125,20.57166585587906
A1,baseline,0,mechanism,branch_output,1,F4,52.89583077610924,-13.429968561776958,332.03125,18.84435524773415
A1,baseline,0,training_template,branch_output,-1,Fz,8.696105174988604,-3.8114385396688952,328.125,12.978871155433158
A1,baseline,0,training_template,branch_output,-1,F3,63.01860273434479,-3.0663655288907883,,
A1,baseline,0,training_template,branch_output,-1,F4,89.0078633407595,-6.705814899200473,,
A1,baseline,0,training_template,branch_output,1,Fz,5.7726270160018585,-1.7230751835084988,351.5625,5.314801830484025
A1,baseline,0,training_template,branch_output,1,F3,68.43054180146505,-35.70807201120491,355.46875,47.92161000398329
A1,baseline,0,training_template,branch_output,1,F4,70.67096495661123,-24.757549464608115,355.46875,39.70403891918683
A1,denoised,0,mechanism,common_baseline,-1,Fz,4.765525284774266,-0.44493041065087646,328.125,4.278135415028611
A1,denoised,0,mechanism,common_baseline,-1,F3,90.41762827538535,-7.370956744158319,,
A1,denoised,0,mechanism,common_baseline,-1,F4,102.26331781028827,-9.171888210457873,300.78125,2.651820513686511
A1,denoised,0,mechanism,common_baseline,1,Fz,3.4446668876378315,0.030367646888364574,281.25,0.6017251106951079
A1,denoised,0,mechanism,common_baseline,1,F3,37.10630227450146,-9.793367738913986,335.9375,16.723691464309667
A1,denoised,0,mechanism,common_baseline,1,F4,50.86125456280099,-12.341253512873083,335.9375,15.57261999258367
A1,denoised,0,training_template,common_baseline,-1,Fz,8.460416452780597,-3.554166008597912,328.125,12.664383926993498
A1,denoised,0,training_template,common_baseline,-1,F3,65.81902557307039,-3.435798121946714,,
A1,denoised,0,training_template,common_baseline,-1,F4,89.84141959944226,-6.850820220863574,,
A1,denoised,0,training_template,common_baseline,1,Fz,5.601205491365268,-1.5637498562846388,351.5625,5.550075925673602
A1,denoised,0,training_template,common_baseline,1,F3,61.75744617928169,-28.897871778638393,355.46875,41.04881305283556
A1,denoised,0,training_template,common_baseline,1,F4,65.77552051040105,-21.312646603785975,355.46875,35.228891388453974
A1,denoised,0,mechanism,branch_output,-1,Fz,4.375817983121533,-0.270787354099306,328.125,4.278135415028611
A1,denoised,0,mechanism,branch_output,-1,F3,77.11342517944132,-7.3669832316049195,,
A1,denoised,0,mechanism,branch_output,-1,F4,88.25099885532488,-9.398702373753157,300.78125,2.651820513686511
A1,denoised,0,mechanism,branch_output,1,Fz,3.405163313505282,0.0485607444020254,281.25,0.6017251106951079
A1,denoised,0,mechanism,branch_output,1,F3,33.494573402635254,-12.23757894252184,335.9375,16.723691464309667
A1,denoised,0,mechanism,branch_output,1,F4,44.104701675723426,-14.832638747930993,335.9375,15.57261999258367
A1,denoised,0,training_template,branch_output,-1,Fz,7.974533551094398,-3.220510315417836,328.125,12.664383926993498
A1,denoised,0,training_template,branch_output,-1,F3,52.52087606468964,-2.8812608743925434,,
A1,denoised,0,training_template,branch_output,-1,F4,75.83524896784847,-6.678601384624328,,
A1,denoised,0,training_template,branch_output,1,Fz,5.955354284451137,-1.9101835410919472,351.5625,5.550075925673602
A1,denoised,0,training_template,branch_output,1,F3,58.169264680484424,-38.925173228788545,355.46875,41.04881305283556
A1,denoised,0,training_template,branch_output,1,F4,59.08035099419601,-27.409896951911964,355.46875,35.228891388453974
A1,baseline,1,mechanism,common_baseline,-1,Fz,10.704640760542508,-0.111859332565029,433.59375,3.8118894683183244
A1,baseline,1,mechanism,common_baseline,-1,F3,12.798079595026739,-0.38312894242866147,,
A1,baseline,1,mechanism,common_baseline,-1,F4,27.227475494557318,-1.4520831846504727,,
A1,baseline,1,mechanism,common_baseline,1,Fz,11.394803790684639,-0.0285237748530065,,
A1,baseline,1,mechanism,common_baseline,1,F3,19.696137504782552,-1.6849354886854826,390.625,4.581107976495709
A1,baseline,1,mechanism,common_baseline,1,F4,15.103195678415828,-0.09651373502999139,378.90625,2.268767802003609
A1,baseline,1,training_template,common_baseline,-1,Fz,14.089957687780474,-0.9263048984146098,335.9375,11.53918417756613
A1,baseline,1,training_template,common_baseline,-1,F3,42.21485266853296,-14.04886032347111,,
A1,baseline,1,training_template,common_baseline,-1,F4,11.200314132671139,0.5850642500876009,,
A1,baseline,1,training_template,common_baseline,1,Fz,11.883911778813816,-0.1187150240227679,351.5625,3.6025472273540817
A1,baseline,1,training_template,common_baseline,1,F3,46.93342808730569,-14.245310498741807,355.46875,37.33866104857988
A1,baseline,1,training_template,common_baseline,1,F4,24.70288316963805,-1.9334025589985884,351.5625,24.98496972238114
A1,baseline,1,mechanism,branch_output,-1,Fz,10.704640760542508,-0.111859332565029,433.59375,3.8118894683183244
A1,baseline,1,mechanism,branch_output,-1,F3,12.798079595026739,-0.38312894242866147,,
A1,baseline,1,mechanism,branch_output,-1,F4,27.227475494557318,-1.4520831846504727,,
A1,baseline,1,mechanism,branch_output,1,Fz,11.394803790684639,-0.0285237748530065,,
A1,baseline,1,mechanism,branch_output,1,F3,19.696137504782552,-1.6849354886854826,390.625,4.581107976495709
A1,baseline,1,mechanism,branch_output,1,F4,15.103195678415828,-0.09651373502999139,378.90625,2.268767802003609
A1,baseline,1,training_template,branch_output,-1,Fz,14.089957687780474,-0.9263048984146098,335.9375,11.53918417756613
A1,baseline,1,training_template,branch_output,-1,F3,42.21485266853296,-14.04886032347111,,
A1,baseline,1,training_template,branch_output,-1,F4,11.200314132671139,0.5850642500876009,,
A1,baseline,1,training_template,branch_output,1,Fz,11.883911778813816,-0.1187150240227679,351.5625,3.6025472273540817
A1,baseline,1,training_template,branch_output,1,F3,46.93342808730569,-14.245310498741807,355.46875,37.33866104857988
A1,baseline,1,training_template,branch_output,1,F4,24.70288316963805,-1.9334025589985884,351.5625,24.98496972238114
A1,denoised,1,mechanism,common_baseline,-1,Fz,10.731151525333862,-0.11737334127519272,433.59375,3.987645180089624
A1,denoised,1,mechanism,common_baseline,-1,F3,11.533234043820295,-0.12324699648827675,,
A1,denoised,1,mechanism,common_baseline,-1,F4,28.564438869444395,-1.6988070845116163,,
A1,denoised,1,mechanism,common_baseline,1,Fz,11.384075475634146,-0.026587956942541346,,
A1,denoised,1,mechanism,common_baseline,1,F3,19.55640129514723,-1.6469735458767643,394.53125,3.780183049916544
A1,denoised,1,mechanism,common_baseline,1,F4,15.361021913886605,-0.1342703902281459,386.71875,2.276509878330588
A1,denoised,1,training_template,common_baseline,-1,Fz,14.093595850498497,-0.927299807783964,335.9375,11.770383248643519
A1,denoised,1,training_template,common_baseline,-1,F3,35.41978129974437,-9.594118004188882,,
A1,denoised,1,training_template,common_baseline,-1,F4,14.355471309403542,0.3183595436470702,,
A1,denoised,1,training_template,common_baseline,1,Fz,11.878551997685296,-0.11770614485272302,351.5625,3.74386809409616
A1,denoised,1,training_template,common_baseline,1,F3,42.99191218627733,-11.792200102422505,355.46875,31.60633662733209
A1,denoised,1,training_template,common_baseline,1,F4,23.622952836018552,-1.6825309625638436,351.5625,21.736626898364243
A1,denoised,1,mechanism,branch_output,-1,Fz,9.475124997325507,-0.13301026011329453,433.59375,3.987645180089624
A1,denoised,1,mechanism,branch_output,-1,F3,11.439955966533697,-0.5066065823813051,,
A1,denoised,1,mechanism,branch_output,-1,F4,25.521999463069914,-1.870164382924012,,
A1,denoised,1,mechanism,branch_output,1,Fz,10.90342827167924,-0.019874215007745777,,
A1,denoised,1,mechanism,branch_output,1,F3,19.515666396099345,-1.8064200049765642,394.53125,3.780183049916544
A1,denoised,1,mechanism,branch_output,1,F4,15.057104440188713,-0.16428111922564348,386.71875,2.276509878330588
A1,denoised,1,training_template,branch_output,-1,Fz,13.01251988446963,-1.136912596436169,335.9375,11.770383248643519
A1,denoised,1,training_template,branch_output,-1,F3,36.541780347331354,-14.372006533275771,,
A1,denoised,1,training_template,branch_output,-1,F4,11.169614060539175,0.4502645860364989,,
A1,denoised,1,training_template,branch_output,1,Fz,11.302143683197832,-0.095827306706181,351.5625,3.74386809409616
A1,denoised,1,training_template,branch_output,1,F3,43.08467195514099,-12.67827961510376,355.46875,31.60633662733209
A1,denoised,1,training_template,branch_output,1,F4,23.591172811938502,-1.858077447335854,351.5625,21.736626898364243
A1,baseline,2,mechanism,common_baseline,-1,Fz,7.998911856364421,-1.0919400580887961,363.28125,7.432747333869189
A1,baseline,2,mechanism,common_baseline,-1,F3,74.8160434342698,-65.92251038647714,,
A1,baseline,2,mechanism,common_baseline,-1,F4,138.62987920151366,-29.214652226770806,,
A1,baseline,2,mechanism,common_baseline,1,Fz,39.26846693068318,-8.520512612169387,359.375,5.687163968599856
