dataset,branch,fold,model,target,contrast_RMSE,S_delta,delta_energy,weighted_MSE
A1,baseline,0,mechanism,common_baseline,41.8567764577195,0.34995608872180284,1455400.8440333232,3686.606235354633
A1,baseline,0,training_template,common_baseline,14.108031642379684,0.9261511073566289,1455400.8440333232,3450.5356471735
A1,baseline,0,mechanism,branch_output,41.8567764577195,0.34995608872180284,1455400.8440333232,3686.606235354633
A1,baseline,0,training_template,branch_output,14.108031642379684,0.9261511073566289,1455400.8440333232,3450.5356471735
A1,denoised,0,mechanism,common_baseline,43.069460250446255,0.31174401644084737,1455400.8440333232,3585.800379023893
A1,denoised,0,training_template,common_baseline,16.50477320873337,0.8989281396353497,1455400.8440333232,3282.5638069713964
A1,denoised,0,mechanism,branch_output,36.23731966046146,0.3508202650930312,1092297.5000688054,2670.780062519681
A1,denoised,0,training_template,branch_output,13.344774596276105,0.9119609585596716,1092297.5000688054,2467.589930155028
A1,baseline,1,mechanism,common_baseline,18.53051223523175,-0.24350389079618262,149115.04384543333,280.26644492205793
A1,baseline,1,training_template,common_baseline,52.59739899569206,-9.018456939522581,149115.04384543333,805.6002508568648
A1,baseline,1,mechanism,branch_output,18.53051223523175,-0.24350389079618262,149115.04384543333,280.26644492205793
A1,baseline,1,training_template,branch_output,52.59739899569206,-9.018456939522581,149115.04384543333,805.6002508568648
A1,denoised,1,mechanism,common_baseline,17.712593158247483,-0.13615241012162982,149115.04384543333,287.37413683028086
A1,denoised,1,training_template,common_baseline,45.91729777664181,-6.635279564005017,149115.04384543333,668.9144825100408
A1,denoised,1,mechanism,branch_output,17.39786419792563,-0.3175012392138543,124060.80662834106,253.56324058356134
A1,denoised,1,training_template,branch_output,46.965088042770724,-8.600844614814177,124060.80662834106,661.8550478653975
A1,baseline,2,mechanism,common_baseline,165.53926563990598,0.09122109239804976,16283117.983109202,33066.04893163006
A1,baseline,2,training_template,common_baseline,148.19126109170733,0.27171497873843187,16283117.983109202,34807.99144967297
A1,baseline,2,mechanism,branch_output,165.53926563990598,0.09122109239804976,16283117.983109202,33066.04893163006
A1,baseline,2,training_template,branch_output,148.19126109170733,0.27171497873843187,16283117.983109202,34807.99144967297
A1,denoised,2,mechanism,common_baseline,165.53926563990598,0.09122109239804976,16283117.983109202,33066.04893163006
A1,denoised,2,training_template,common_baseline,148.19126109170733,0.27171497873843187,16283117.983109202,34807.99144967297
A1,denoised,2,mechanism,branch_output,165.53926563990598,0.09122109239804976,16283117.983109202,33066.04893163006
