dataset,feature,r2_from_past
A1,common_50_250,0.5297700706350077
A1,common_250_500,0.6100613466367821
A1,common_500_750,0.688264556651671
A1,midline_50_250,0.5158408240945935
A1,midline_250_500,0.5712289828708343
A1,midline_500_750,0.6419582172113584
A1,lateral_50_250,0.6804606160351754
A1,lateral_250_500,0.6666788274647838
A1,lateral_500_750,0.655413740998059
A2,common_50_250,0.4423762922320257
A2,common_250_500,0.4503584250083549
A2,common_500_750,0.3802295677917512
A2,midline_50_250,0.8051701036266496
A2,midline_250_500,0.7545345832209839
A2,midline_500_750,0.6951567897309587
A2,lateral_50_250,0.6879758010555443
A2,lateral_250_500,0.6508713102798025
A2,lateral_500_750,0.5530397384841653
B1,common_50_250,0.5374016098467371
B1,common_250_500,0.5336055566813582
B1,common_500_750,0.416685112272593
B1,midline_50_250,0.5808774400972242
B1,midline_250_500,0.6114026863973112
B1,midline_500_750,0.626792666338877
B1,lateral_50_250,0.536517927728118
B1,lateral_250_500,0.5620747242779537
B1,lateral_500_750,0.5227760879305201
B2,common_50_250,0.6564349235301503
B2,common_250_500,0.6760059125868572
B2,common_500_750,0.670142751037409
B2,midline_50_250,0.6672528048179104
B2,midline_250_500,0.6299197932272941
B2,midline_500_750,0.5868497238846256
B2,lateral_50_250,0.4288111029966204
B2,lateral_250_500,0.44517525836541505
B2,lateral_500_750,0.41804525815509264
