dataset,feature,beta
A1,common_50_250,0.2125510053298771
A1,common_250_500,0.21476630796920165
A1,common_500_750,0.20311026941022597
A1,midline_50_250,-0.21780217244023406
A1,midline_250_500,-0.20186069763438344
A1,midline_500_750,-0.20278498390511288
A1,lateral_50_250,-0.07248393413980297
A1,lateral_250_500,-0.007846528356185833
A1,lateral_500_750,0.028611438789141182
A2,common_50_250,0.07941641635720995
A2,common_250_500,0.09770393737696953
A2,common_500_750,0.11927136922730339
A2,midline_50_250,-0.03075636389396493
A2,midline_250_500,-0.08155911764278377
A2,midline_500_750,-0.11850611228753535
A2,lateral_50_250,0.15307187795359223
A2,lateral_250_500,0.16065605187908624
A2,lateral_500_750,0.14623388232254658
B1,common_50_250,-0.03134997663915308
B1,common_250_500,-0.13620841945293904
B1,common_500_750,-0.11798433128619533
B1,midline_50_250,-0.02660307040171444
B1,midline_250_500,-0.03373260268309942
B1,midline_500_750,-0.024229882231013057
B1,lateral_50_250,0.05399665941107179
B1,lateral_250_500,0.02721184224203884
B1,lateral_500_750,0.008136503884277885
B2,common_50_250,0.17433122742136556
B2,common_250_500,0.22312519655459137
B2,common_500_750,0.2783921959944057
B2,midline_50_250,-0.22879959214379744
B2,midline_250_500,-0.2537009868608923
B2,midline_500_750,-0.2703219592439285
B2,lateral_50_250,0.090398193357886
B2,lateral_250_500,0.05245966548717183
B2,lateral_500_750,-0.03287816269497749
