dataset,model,n,BA,AUC,balanced_logloss
A1,post_given_pre,67,0.4459821428571429,0.4526785714285715,0.6977229121931645
A1,post_lateral_early,67,0.5084821428571429,0.5044642857142858,0.6862043664252384
A1,pre_lateral_3,67,0.5995535714285714,0.6107142857142857,0.6610586196299278
A2,post_given_pre,70,0.5735912531539109,0.5794785534062237,0.6873350347746414
A2,post_lateral_early,70,0.6202691337258199,0.6105971404541631,0.6789618679805045
A2,pre_lateral_3,70,0.4903280067283432,0.5222876366694701,0.7290930326931835
B1,post_given_pre,69,0.5088235294117647,0.5563025210084034,0.6885130129404321
B1,post_lateral_early,69,0.596218487394958,0.6420168067226891,0.6733909969742189
B1,pre_lateral_3,69,0.5659663865546218,0.6352941176470588,0.6753960600409873
B2,post_given_pre,69,0.5266047297297297,0.49408783783783783,0.6966923199117785
B2,post_lateral_early,69,0.5494087837837838,0.5160472972972974,0.6986775783293093
B2,pre_lateral_3,69,0.5097128378378378,0.46621621621621623,0.7248616006255295
