iteration,model,n,BA,AUC,balanced_logloss
1,post_given_pre,275,0.46944444444444444,0.5256084656084656,0.6878081950062165
1,post_lateral_early,275,0.5316137566137566,0.5577248677248677,0.685651764715645
1,pre_lateral_3,275,0.4921957671957672,0.506984126984127,0.7048897951367568
2,post_given_pre,275,0.5054232804232803,0.4729100529100529,0.6967857280089454
2,post_lateral_early,275,0.3845238095238095,0.3484656084656085,0.6986996889939577
2,pre_lateral_3,275,0.5818783068783069,0.5808465608465607,0.6963529210689431
3,post_given_pre,275,0.39642857142857146,0.39751322751322754,0.6962014748481347
3,post_lateral_early,275,0.4579365079365079,0.41941798941798936,0.6966988942343646
3,pre_lateral_3,275,0.5059523809523809,0.5303703703703704,0.6970799285892513
4,post_given_pre,275,0.5305555555555556,0.5308465608465609,0.6942597879772131
4,post_lateral_early,275,0.5228835978835978,0.514973544973545,0.6956616339664814
4,pre_lateral_3,275,0.4472222222222222,0.4545502645502646,0.7032460723786778
5,post_given_pre,275,0.5596560846560847,0.5475132275132275,0.69525837853332
5,post_lateral_early,275,0.501058201058201,0.4943915343915344,0.694767494015194
5,pre_lateral_3,275,0.46111111111111114,0.4247619047619048,0.7059099252840579
6,post_given_pre,275,0.4985449735449735,0.5113227513227514,0.6951794264206357
6,post_lateral_early,275,0.5716931216931217,0.5583068783068783,0.6944098644790326
6,pre_lateral_3,275,0.5193121693121693,0.5347089947089947,0.6944171709471915
7,post_given_pre,275,0.41468253968253965,0.39783068783068787,0.6991418933801101
7,post_lateral_early,275,0.48478835978835977,0.4844973544973545,0.6956299636512878
7,pre_lateral_3,275,0.5456349206349207,0.528994708994709,0.7013868063149598
8,post_given_pre,275,0.4985449735449735,0.4840740740740741,0.6962644076735816
8,post_lateral_early,275,0.5388888888888889,0.547883597883598,0.687149369881082
8,pre_lateral_3,275,0.5465608465608466,0.5401587301587302,0.6982724283816827
9,post_given_pre,275,0.5523809523809524,0.5301587301587302,0.6930392574285265
9,post_lateral_early,275,0.4899470899470899,0.4624867724867725,0.6973877799704794
9,pre_lateral_3,275,0.44735449735449734,0.37783068783068785,0.7079807526890622
10,post_given_pre,275,0.49417989417989416,0.5149206349206349,0.6946878913547585
10,post_lateral_early,275,0.501058201058201,0.5071957671957672,0.6911536920749727
10,pre_lateral_3,275,0.47883597883597884,0.45962962962962967,0.7049933552359706
11,post_given_pre,275,0.5203703703703704,0.5005291005291005,0.695436516721044
11,post_lateral_early,275,0.5207671957671958,0.5186772486772487,0.6945929778544979
11,pre_lateral_3,275,0.48293650793650794,0.46539682539682536,0.7006069903647443
