dataset,fold,model,contrast_MSE,zero_MSE,lambda_gain
A1,0,neural_mass,2273.3127930682112,2559.007773143215,1.0
A1,1,neural_mass,602.7171328849707,268.83902269013544,0.1
A1,2,neural_mass,28164.30082376485,28857.64635675483,1.0
A1,3,neural_mass,2361.4369543242265,1532.4332174978288,0.1
A1,4,neural_mass,10733.936158388775,10854.09266628018,10.0
A1,0,ocular_step,1144.1991490961436,2559.007773143215,1.0
A1,1,ocular_step,1741.8500932310483,268.83902269013544,0.1
A1,2,ocular_step,28249.29363951409,28857.64635675483,10.0
A1,3,ocular_step,8359.444284580208,1532.4332174978288,0.01
A1,4,ocular_step,10266.982094844234,10854.09266628018,10.0
A2,0,neural_mass,2669.757268805986,2688.4530332073414,10.0
A2,1,neural_mass,2528.485993722133,2545.648747607843,10.0
A2,2,neural_mass,7292.459977162336,6565.988739404193,0.1
A2,3,neural_mass,1417.9334780557854,1417.9864907716194,10.0
A2,4,neural_mass,22153.670349864056,22184.13420248842,10.0
A2,0,ocular_step,2519.1546298421695,2688.4530332073414,10.0
A2,1,ocular_step,2367.480203845181,2545.648747607843,10.0
A2,2,ocular_step,14869.227331607712,6565.988739404193,0.01
A2,3,ocular_step,1292.4647968539623,1417.9864907716194,10.0
A2,4,ocular_step,21911.386169095942,22184.13420248842,10.0
B1,0,neural_mass,2770.138889983217,2770.9303448558785,10.0
B1,1,neural_mass,9693.546052714179,9630.662345732591,10.0
B1,2,neural_mass,31599.355109379034,31569.005626316484,10.0
B1,3,neural_mass,3248.64739849199,3217.1279041586836,10.0
B1,4,neural_mass,389.63335039515687,380.9189232899665,10.0
B1,0,ocular_step,2744.378512311511,2770.9303448558785,10.0
B1,1,ocular_step,10078.607186064377,9630.662345732591,10.0
B1,2,ocular_step,31754.293623728387,31569.005626316484,10.0
B1,3,ocular_step,3418.509097807098,3217.1279041586836,10.0
B1,4,ocular_step,383.8810006937074,380.9189232899665,10.0
B2,0,neural_mass,2962.913741180382,1849.7114604083993,0.1
B2,1,neural_mass,14398.820365210928,14810.067520869356,1.0
B2,2,neural_mass,7775.763855090942,8589.549533544889,1.0
B2,3,neural_mass,24515.87648094569,25123.256124781285,1.0
B2,4,neural_mass,4138.698161427342,4815.052683107518,1.0
B2,0,ocular_step,13739.525029931685,1849.7114604083993,0.01
B2,1,ocular_step,9742.148187131774,14810.067520869356,1.0
B2,2,ocular_step,3674.123032903632,8589.549533544889,0.1
B2,3,ocular_step,18330.28525212464,25123.256124781285,1.0
B2,4,ocular_step,1924.689719128409,4815.052683107518,0.1
