dataset,model,held_block,n_train,n_test,selected_lambda,MSE,zero_MSE
A1,visual_neural_mass,0,53,14,1.0,1829.2292526646577,2559.007773143215
A1,visual_neural_mass,1,55,12,0.1,1015.3375318834892,268.83902269013544
A1,visual_neural_mass,2,54,13,10.0,28397.178493225187,28857.64635675483
A1,visual_neural_mass,3,54,13,0.1,3827.4779389498326,1532.4332174978288
A1,visual_neural_mass,4,52,15,10.0,10429.847343741463,10854.09266628018
A1,ocular_step,0,53,14,3.0,1061.7465391445132,2559.007773143215
A1,ocular_step,1,55,12,0.3,1951.073649099117,268.83902269013544
A1,ocular_step,2,54,13,100.0,28679.357158978662,28857.64635675483
A1,ocular_step,3,54,13,0.1,9284.278179678964,1532.4332174978288
A1,ocular_step,4,52,15,30.0,10309.90883760666,10854.09266628018
A1,slow_ramp,0,53,14,1.0,723.3366798041922,2559.007773143215
A1,slow_ramp,1,55,12,0.3,1698.6405989460707,268.83902269013544
A1,slow_ramp,2,54,13,100.0,28748.937990225426,28857.64635675483
A1,slow_ramp,3,54,13,0.1,9240.617182189591,1532.4332174978288
A1,slow_ramp,4,52,15,30.0,10520.062354748594,10854.09266628018
A2,visual_neural_mass,0,54,16,100.0,2676.90149072497,2688.4530332073414
A2,visual_neural_mass,1,58,12,100.0,2534.4872034168125,2545.648747607843
A2,visual_neural_mass,2,57,13,0.1,8972.833250525673,6565.988739404193
A2,visual_neural_mass,3,56,14,10.0,1407.917737290938,1417.9864907716194
A2,visual_neural_mass,4,55,15,100.0,22167.720657611866,22184.13420248842
A2,ocular_step,0,54,16,100.0,2640.449801886384,2688.4530332073414
A2,ocular_step,1,58,12,100.0,2493.4680492723387,2545.648747607843
A2,ocular_step,2,57,13,0.1,16375.41222976892,6565.988739404193
A2,ocular_step,3,56,14,100.0,1379.0662760662726,1417.9864907716194
A2,ocular_step,4,55,15,100.0,22106.71470286428,22184.13420248842
A2,slow_ramp,0,54,16,100.0,2665.1348821841952,2688.4530332073414
A2,slow_ramp,1,58,12,100.0,2515.690188120682,2545.648747607843
A2,slow_ramp,2,57,13,0.1,16694.625433542693,6565.988739404193
A2,slow_ramp,3,56,14,100.0,1397.3199100350548,1417.9864907716194
A2,slow_ramp,4,55,15,100.0,22140.47160765403,22184.13420248842
B1,visual_neural_mass,0,54,15,100.0,2769.7310596277534,2770.9303448558785
B1,visual_neural_mass,1,56,13,10.0,9887.143451623118,9630.662345732591
B1,visual_neural_mass,2,56,13,100.0,31582.14926168097,31569.005626316484
B1,visual_neural_mass,3,55,14,100.0,3232.0572884812113,3217.1279041586836
B1,visual_neural_mass,4,55,14,100.0,383.68599040150485,380.9189232899665
B1,ocular_step,0,54,15,100.0,2762.32946320516,2770.9303448558785
B1,ocular_step,1,56,13,10.0,10770.034959993229,9630.662345732591
B1,ocular_step,2,56,13,100.0,31623.543489225183,31569.005626316484
B1,ocular_step,3,55,14,100.0,3273.8393412814603,3217.1279041586836
B1,ocular_step,4,55,14,100.0,379.9071378309827,380.9189232899665
B1,slow_ramp,0,54,15,100.0,2766.4310873445497,2770.9303448558785
B1,slow_ramp,1,56,13,3.0,11597.016357189777,9630.662345732591
B1,slow_ramp,2,56,13,100.0,31601.102347386495,31569.005626316484
B1,slow_ramp,3,55,14,100.0,3250.394031484348,3217.1279041586836
B1,slow_ramp,4,55,14,100.0,382.5203454258435,380.9189232899665
B2,visual_neural_mass,0,55,14,0.1,5264.3086525701465,1849.7114604083993
B2,visual_neural_mass,1,55,14,0.3,13075.26889466668,14810.067520869356
B2,visual_neural_mass,2,58,11,0.3,5925.761864131008,8589.549533544889
B2,visual_neural_mass,3,55,14,1.0,23107.230644142735,25123.256124781285
B2,visual_neural_mass,4,53,16,0.1,2629.6154021805396,4815.052683107518
B2,ocular_step,0,55,14,0.1,15510.923295096436,1849.7114604083993
B2,ocular_step,1,55,14,1.0,7118.254963177654,14810.067520869356
B2,ocular_step,2,58,11,1.0,3460.1413096647098,8589.549533544889
B2,ocular_step,3,55,14,1.0,14575.530045980113,25123.256124781285
B2,ocular_step,4,53,16,1.0,1588.284497612548,4815.052683107518
B2,slow_ramp,0,55,14,0.1,15691.874063699897,1849.7114604083993
B2,slow_ramp,1,55,14,1.0,8174.994545616576,14810.067520869356
B2,slow_ramp,2,58,11,0.3,3373.9751024347047,8589.549533544889
B2,slow_ramp,3,55,14,1.0,16272.542670934492,25123.256124781285
B2,slow_ramp,4,53,16,1.0,1781.1087837857401,4815.052683107518
