dataset,model,MSE,zero_MSE,S_delta,RMSE
A1,ocular_step,10257.272872901583,8814.403807273238,-0.16369445933912807,101.27819544651052
A1,slow_ramp,10186.318961182775,8814.403807273238,-0.1556446906570692,100.92729542191634
A1,visual_neural_mass,9099.814112092925,8814.403807273238,-0.03237998973727296,95.39294581934728
A2,ocular_step,8999.022211971638,7080.442242695883,-0.2709689456551876,94.8631762696761
A2,slow_ramp,9082.648404307332,7080.442242695883,-0.2827798169919269,95.3029296732652
A2,visual_neural_mass,7551.972067914052,7080.442242695883,-0.06659609796331512,86.9020832196447
B1,ocular_step,9761.930878307203,9513.72902887072,-0.026088807940953362,98.80248417072924
B1,slow_ramp,9919.492833766202,9513.72902887072,-0.0426503428533791,99.5966507156049
B1,visual_neural_mass,9570.95341036291,9513.72902887072,-0.006014926567546208,97.8312496616644
B2,ocular_step,8450.62682230629,11037.527464542289,0.23437320093167013,91.92729095489702
B2,slow_ramp,9058.899033294281,11037.527464542289,0.1792637379706904,95.17824874042536
B2,visual_neural_mass,10000.437091538222,11037.527464542289,0.0939603888946765,100.00218543381051
