dataset,model,n,BA,AUC
A1,all_9windows,67,0.4642857142857143,0.5044642857142857
A1,early_lateral,67,0.5084821428571429,0.5044642857142858
A1,lateral_3windows,67,0.48125,0.51875
A2,all_9windows,70,0.6000841042893188,0.5853658536585366
A2,early_lateral,70,0.6202691337258199,0.6105971404541631
A2,lateral_3windows,70,0.6030277544154752,0.624053826745164
B1,all_9windows,69,0.5361344537815126,0.5394957983193278
B1,early_lateral,69,0.596218487394958,0.6420168067226891
B1,lateral_3windows,69,0.5676470588235294,0.5966386554621849
B2,all_9windows,69,0.5557432432432432,0.5760135135135136
B2,early_lateral,69,0.5494087837837838,0.5160472972972974
B2,lateral_3windows,69,0.5067567567567568,0.4898648648648649
