period,feature,beta,p_two_sided,p_maxT_nine,n
post,common_50_250,0.09549126666915064,0.1101,0.3883,275
post,common_250_500,0.09474140855535426,0.1118,0.3961,275
post,common_500_750,0.10395306943990394,0.0822,0.3096,275
post,midline_50_250,-0.08618864820675241,0.1543,0.4887,275
post,midline_250_500,-0.1028148569453667,0.0898,0.3214,275
post,midline_500_750,-0.11439081962562618,0.0596,0.2242,275
post,lateral_50_250,0.13861371891421173,0.0253,0.0975,275
post,lateral_250_500,0.12913416482455692,0.0363,0.1387,275
post,lateral_500_750,0.11116870338531037,0.0718,0.2507,275
pre_past_only,common_50_250,-0.008141540660725368,0.7096,0.9661,275
pre_past_only,common_250_500,0.0007516076284610025,0.8001,1.0,275
pre_past_only,common_500_750,0.010402381525592377,0.1904,0.9178,275
pre_past_only,midline_50_250,-0.0018564001256533222,0.9099,1.0,275
pre_past_only,midline_250_500,0.0018099839832166475,0.1805,1.0,275
pre_past_only,midline_500_750,0.000288459499003389,0.9738,1.0,275
pre_past_only,lateral_50_250,-0.035662394638397356,0.0339,0.1309,275
pre_past_only,lateral_250_500,0.002181368081341142,0.4784,1.0,275
pre_past_only,lateral_500_750,0.013377951659480735,0.102,0.8278,275
