excluded,feature,beta,n
A1,common_50_250,0.052919132103884145,208
A1,common_250_500,0.05299607452599978,208
A1,common_500_750,0.07029275233509068,208
A1,midline_50_250,-0.03524103405686712,208
A1,midline_250_500,-0.06114813261229875,208
A1,midline_500_750,-0.07951655461756349,208
A1,lateral_50_250,0.14058909061299435,208
A1,lateral_250_500,0.11507719743906387,208
A1,lateral_500_750,0.08242257133669277,208
A2,common_50_250,0.10183966749856936,205
A2,common_250_500,0.08953204745939104,205
A2,common_500_750,0.09551022568704531,205
A2,midline_50_250,-0.10647837100461724,205
A2,midline_250_500,-0.11101004821789005,205
A2,midline_500_750,-0.11505339557462499,205
A2,lateral_50_250,0.12772888205333904,205
A2,lateral_250_500,0.11509231623584774,205
A2,lateral_500_750,0.09459051998933193,205
B1,common_50_250,0.14154764457007601,206
B1,common_250_500,0.15921722174215158,206
B1,common_500_750,0.16753996760826695,206
B1,midline_50_250,-0.1426468222665026,206
B1,midline_250_500,-0.1612317638251553,206
B1,midline_500_750,-0.17510970076720359,206
B1,lateral_50_250,0.11881493596524205,206
B1,lateral_250_500,0.1105554463518848,206
B1,lateral_500_750,0.09582232505140059,206
B2,common_50_250,0.08614717388283989,206
B2,common_250_500,0.07779795939829337,206
B2,common_500_750,0.08296591846565687,206
B2,midline_50_250,-0.060833838004236154,206
B2,midline_250_500,-0.07830876637922078,206
B2,midline_500_750,-0.08830296304169377,206
B2,lateral_50_250,0.16743703817596026,206
B2,lateral_250_500,0.17619188361334284,206
B2,lateral_500_750,0.17245586594812184,206
