dataset,feature,beta,n
A1,common_50_250,0.22728352981138086,67
A1,common_250_500,0.2239741121427776,67
A1,common_500_750,0.20815666210983352,67
A1,midline_50_250,-0.24390921916418526,67
A1,midline_250_500,-0.2318042053455457,67
A1,midline_500_750,-0.22235247947118073,67
A1,lateral_50_250,0.1324984815790823,67
A1,lateral_250_500,0.1726508821225929,67
A1,lateral_500_750,0.2001592564303923,67
A2,common_50_250,0.07612656220774379,70
A2,common_250_500,0.11063166828637318,70
A2,common_500_750,0.12970651168165886,70
A2,midline_50_250,-0.02429833974295931,70
A2,midline_250_500,-0.07781683598523664,70
A2,midline_500_750,-0.11236974569215008,70
A2,lateral_50_250,0.171816040976905,70
A2,lateral_250_500,0.171966407986033,70
A2,lateral_500_750,0.16173759948942157,70
B1,common_50_250,-0.03978468976222761,69
B1,common_250_500,-0.09463577855860761,69
B1,common_500_750,-0.08281321263146868,69
B1,midline_50_250,0.0796392749254418,69
B1,midline_250_500,0.06876622064014161,69
B1,midline_500_750,0.0639515749399923,69
B1,lateral_50_250,0.19676634449324867,69
B1,lateral_250_500,0.1837032391895981,69
B1,lateral_500_750,0.15624380701901852,69
B2,common_50_250,0.12279620602208956,69
B2,common_250_500,0.1442528873305787,69
B2,common_500_750,0.1652808941573899,69
B2,midline_50_250,-0.1602794744343378,69
B2,midline_250_500,-0.17442558813015768,69
B2,midline_500_750,-0.19062372507322772,69
B2,lateral_50_250,0.05438735233259612,69
B2,lateral_250_500,-0.008376044780581755,69
B2,lateral_500_750,-0.0679222255214417,69
