iteration,model,n,BA,AUC
1,all_9windows,275,0.5408730158730158,0.5334391534391534
1,early_lateral,275,0.5251322751322751,0.5486772486772487
1,lateral_3windows,275,0.525,0.5278306878306879
2,all_9windows,275,0.525,0.5248677248677249
2,early_lateral,275,0.5185185185185185,0.5016931216931217
2,lateral_3windows,275,0.46798941798941796,0.438994708994709
3,all_9windows,275,0.5653439153439153,0.5889947089947091
3,early_lateral,275,0.4894179894179894,0.5076719576719577
3,lateral_3windows,275,0.4275132275132275,0.43296296296296294
4,all_9windows,275,0.502910052910053,0.4766137566137567
4,early_lateral,275,0.5396825396825397,0.5282539682539683
4,lateral_3windows,275,0.5322751322751322,0.5195767195767196
5,all_9windows,275,0.4511904761904762,0.4107936507936508
5,early_lateral,275,0.4568783068783069,0.4288888888888889
5,lateral_3windows,275,0.41388888888888886,0.3840740740740741
6,all_9windows,275,0.5374338624338625,0.5634391534391534
6,early_lateral,275,0.5185185185185185,0.5165608465608466
6,lateral_3windows,275,0.4720899470899471,0.482962962962963
7,all_9windows,275,0.444047619047619,0.418941798941799
7,early_lateral,275,0.5030423280423281,0.4394708994708995
7,lateral_3windows,275,0.44047619047619047,0.41269841269841273
8,all_9windows,275,0.4718253968253968,0.4932804232804233
8,early_lateral,275,0.503968253968254,0.5312169312169313
8,lateral_3windows,275,0.5224867724867726,0.5398412698412698
9,all_9windows,275,0.5304232804232805,0.5401058201058202
9,early_lateral,275,0.3603174603174603,0.3313227513227513
9,lateral_3windows,275,0.43333333333333335,0.41354497354497355
10,all_9windows,275,0.4793650793650793,0.45322751322751326
10,early_lateral,275,0.533068783068783,0.523068783068783
10,lateral_3windows,275,0.5083333333333333,0.5146031746031745
11,all_9windows,275,0.5665343915343914,0.5789417989417989
11,early_lateral,275,0.5615079365079365,0.5608465608465608
11,lateral_3windows,275,0.532010582010582,0.5594708994708995
12,all_9windows,275,0.5363756613756614,0.5544973544973545
12,early_lateral,275,0.4455026455026455,0.42222222222222217
12,lateral_3windows,275,0.5496031746031746,0.49428571428571433
13,all_9windows,275,0.5182539682539683,0.512010582010582
13,early_lateral,275,0.47870370370370374,0.45851851851851855
13,lateral_3windows,275,0.48584656084656086,0.5135449735449735
14,all_9windows,275,0.5629629629629629,0.5471428571428572
14,early_lateral,275,0.5687830687830688,0.5578835978835979
14,lateral_3windows,275,0.5314814814814814,0.5528042328042329
15,all_9windows,275,0.4212962962962963,0.4113756613756614
15,early_lateral,275,0.48214285714285715,0.4822222222222222
15,lateral_3windows,275,0.5043650793650793,0.4686772486772487
16,all_9windows,275,0.4256613756613757,0.37216931216931215
16,early_lateral,275,0.49603174603174605,0.48645502645502636
16,lateral_3windows,275,0.48743386243386244,0.4254497354497354
17,all_9windows,275,0.41415343915343916,0.3683068783068783
17,early_lateral,275,0.5324074074074074,0.5311111111111112
17,lateral_3windows,275,0.48505291005291007,0.4386772486772487
18,all_9windows,275,0.5025132275132276,0.48089947089947094
18,early_lateral,275,0.5257936507936507,0.5336507936507937
18,lateral_3windows,275,0.48624338624338626,0.47275132275132276
19,all_9windows,275,0.49484126984126986,0.4939153439153439
19,early_lateral,275,0.5033068783068783,0.5088359788359789
19,lateral_3windows,275,0.53505291005291,0.5423280423280423
20,all_9windows,275,0.5767195767195767,0.6008994708994709
20,early_lateral,275,0.5396825396825397,0.5438624338624338
20,lateral_3windows,275,0.5675925925925926,0.5860846560846561
21,all_9windows,275,0.5607142857142857,0.5462433862433862
21,early_lateral,275,0.5396825396825397,0.5557671957671958
21,lateral_3windows,275,0.5720899470899471,0.5648148148148149
22,all_9windows,275,0.4546296296296296,0.43238095238095237
22,early_lateral,275,0.4534391534391534,0.3967724867724867
22,lateral_3windows,275,0.44047619047619047,0.4113227513227512
23,all_9windows,275,0.4587301587301587,0.4366137566137567
23,early_lateral,275,0.4675925925925926,0.4777777777777778
23,lateral_3windows,275,0.46851851851851856,0.45582010582010585
24,all_9windows,275,0.42843915343915345,0.4115873015873016
24,early_lateral,275,0.4894179894179894,0.504021164021164
24,lateral_3windows,275,0.46124338624338623,0.42793650793650795
25,all_9windows,275,0.5001322751322751,0.5022222222222222
25,early_lateral,275,0.5251322751322751,0.5255026455026455
25,lateral_3windows,275,0.5650793650793651,0.547989417989418
26,all_9windows,275,0.516005291005291,0.4914814814814814
26,early_lateral,275,0.44087301587301586,0.40534391534391534
26,lateral_3windows,275,0.5313492063492063,0.5576190476190477
27,all_9windows,275,0.5767195767195767,0.5525925925925926
27,early_lateral,275,0.5212962962962963,0.4947089947089947
27,lateral_3windows,275,0.5128306878306879,0.48518518518518516
28,all_9windows,275,0.5607142857142857,0.5725396825396827
28,early_lateral,275,0.5185185185185185,0.5024338624338625
28,lateral_3windows,275,0.557010582010582,0.5766666666666668
29,all_9windows,275,0.5346560846560846,0.546984126984127
29,early_lateral,275,0.5396825396825397,0.568042328042328
29,lateral_3windows,275,0.5642857142857143,0.563968253968254
30,all_9windows,275,0.5231481481481481,0.5402645502645502
30,early_lateral,275,0.5251322751322751,0.4946031746031746
30,lateral_3windows,275,0.47764550264550265,0.4686243386243387
31,all_9windows,275,0.5235449735449735,0.510899470899471
31,early_lateral,275,0.5396825396825397,0.5538095238095239
31,lateral_3windows,275,0.5248677248677248,0.5486772486772487
32,all_9windows,275,0.49669312169312174,0.5085714285714286
32,early_lateral,275,0.503968253968254,0.513915343915344
32,lateral_3windows,275,0.4928571428571429,0.508888888888889
33,all_9windows,275,0.4297619047619048,0.3932804232804233
33,early_lateral,275,0.4664021164021164,0.4427513227513227
