dataset,model,n,BA,AUC,balanced_logloss
A1,post_9,67,0.4642857142857143,0.5044642857142857,0.7305029209133578
A1,post_residual_9,67,0.5357142857142857,0.525,0.821548165137793
A1,pre_9,67,0.6308035714285714,0.6651785714285715,0.6798007119249851
A2,post_9,70,0.6000841042893188,0.5853658536585366,0.8859135963215358
A2,post_residual_9,70,0.5025231286795626,0.5559293523969722,0.7592027667483181
A2,pre_9,70,0.571488645920942,0.5534062237174097,0.7583924839885874
B1,post_9,69,0.5361344537815126,0.5394957983193278,0.8172215915624861
B1,post_residual_9,69,0.5218487394957982,0.4773109243697479,0.8954035578528885
B1,pre_9,69,0.5512605042016807,0.6016806722689075,0.729795791763292
B2,post_9,69,0.5557432432432432,0.5760135135135136,0.8007059014744369
B2,post_residual_9,69,0.6119087837837838,0.6300675675675675,0.7259313625794124
B2,pre_9,69,0.5181587837837838,0.5650337837837838,0.7036949091676414
