dataset,trial_id,block,onset_sample,epoch_start,epoch_end_exclusive,cue,duration_ms,filter_start,filter_end_exclusive,guard_seconds,retained,reason,saturated_samples,PTP,max_jump
A1,1,0,5162,5098,5367,-1,203.125,0,47511,24,False,filter_boundary_buffer,,,
A1,2,0,7538,7474,7743,1,203.125,0,47511,24,True,retained,0.0,239.32063186095752,6.533851247983989
A1,3,0,9690,9626,9895,-1,207.03125,0,47511,24,False,quality,21.0,1055.6204330632472,15.681871291435982
A1,4,0,11851,11787,12056,-1,203.125,0,47511,24,True,retained,0.0,305.7535161662006,8.022197761657907
A1,5,0,14055,13991,14260,1,203.125,0,47511,24,True,retained,0.0,247.60156145406782,7.15737170226123
A1,6,0,16216,16152,16421,-1,203.125,0,47511,24,True,retained,0.0,694.619952981167,8.216583935661617
A1,7,0,18368,18304,18573,-1,203.125,0,47511,24,True,retained,0.0,63.00258185268116,6.220806882969477
A1,8,0,20589,20525,20794,-1,203.125,0,47511,24,True,retained,0.0,149.60690673457475,6.056787388087567
A1,9,0,22705,22641,22910,1,203.125,0,47511,24,True,retained,0.0,46.87461258386858,6.32878035278919
A1,10,0,24854,24790,25059,1,203.125,0,47511,24,True,retained,0.0,94.35153928973864,5.928984484885348
A1,11,0,27102,27038,27307,1,203.125,0,47511,24,True,retained,0.0,434.3669431868337,7.0874381668920705
A1,12,0,29254,29190,29459,1,207.03125,0,47511,24,True,retained,0.0,76.49685108986222,7.771283375198905
A1,13,0,31379,31315,31584,-1,203.125,0,47511,24,True,retained,0.0,61.088933262061786,6.091473222998793
A1,14,0,33520,33456,33725,-1,203.125,0,47511,24,False,quality,269.0,345.700941207391,7.193390572971907
A1,15,0,35676,35612,35881,1,203.125,0,47511,24,True,retained,0.0,133.86569825402486,5.487487430270249
A1,16,0,37789,37725,37994,-1,203.125,0,47511,24,True,retained,0.0,163.03532279156235,9.469287710428944
A1,17,0,39897,39833,40102,1,203.125,0,47511,24,True,retained,0.0,114.99819925697253,6.433012628867402
A1,18,0,42110,42046,42315,-1,203.125,0,47511,24,False,filter_boundary_buffer,,,
A1,19,0,44282,44218,44487,-1,203.125,0,47511,24,False,filter_boundary_buffer,,,
A1,20,0,46443,46379,46648,1,203.125,0,47511,24,False,filter_boundary_buffer,,,
A1,21,1,48579,48515,48784,-1,203.125,47511,90403,24,False,filter_boundary_buffer,,,
A1,22,1,50676,50612,50881,-1,203.125,47511,90403,24,False,filter_boundary_buffer,,,
A1,23,1,52856,52792,53061,1,203.125,47511,90403,24,False,filter_boundary_buffer,,,
A1,24,1,55001,54937,55206,-1,203.125,47511,90403,24,True,retained,0.0,113.69377588877595,6.749145554013694
A1,25,1,57133,57069,57338,-1,203.125,47511,90403,24,True,retained,0.0,475.1985631940847,10.134883402373191
A1,26,1,59314,59250,59519,1,203.125,47511,90403,24,True,retained,0.0,117.22495357988038,10.142760068730475
A1,27,1,61410,61346,61615,1,203.125,47511,90403,24,False,quality,15.0,1093.2555155594537,16.23519552570633
A1,28,1,63575,63511,63780,-1,203.125,47511,90403,24,True,retained,0.0,242.53827233259415,16.690347017441695
A1,29,1,65663,65599,65868,-1,203.125,47511,90403,24,True,retained,0.0,170.91783376634845,5.348666913368739
A1,30,1,67860,67796,68065,-1,203.125,47511,90403,24,True,retained,0.0,60.9298129337523,6.0057640491406605
A1,31,1,69976,69912,70181,-1,203.125,47511,90403,24,True,retained,0.0,160.68178691474432,7.423302559484341
A1,32,1,72081,72017,72286,1,203.125,47511,90403,24,True,retained,0.0,93.29792663469665,9.151961488091473
A1,33,1,74269,74205,74474,1,203.125,47511,90403,24,True,retained,0.0,53.26552013438696,7.927425311337074
A1,34,1,76422,76358,76627,-1,203.125,47511,90403,24,True,retained,0.0,85.31520845647854,8.811000026340679
A1,35,1,78674,78610,78879,1,203.125,47511,90403,24,True,retained,0.0,75.6984821625413,6.144321857338506
A1,36,1,80791,80727,80996,-1,203.125,47511,90403,24,False,quality,307.0,943.6266537766901,14.067963522702158
A1,37,1,82931,82867,83136,-1,203.125,47511,90403,24,True,retained,0.0,112.11263197049803,30.237004628373327
A1,38,1,85076,85012,85281,-1,203.125,47511,90403,24,False,filter_boundary_buffer,,,
A1,39,1,87204,87140,87409,-1,203.125,47511,90403,24,False,filter_boundary_buffer,,,
A1,40,1,89353,89289,89558,-1,203.125,47511,90403,24,False,filter_boundary_buffer,,,
A1,41,2,91453,91389,91658,-1,203.125,90403,133255,24,False,filter_boundary_buffer,,,
A1,42,2,93554,93490,93759,1,203.125,90403,133255,24,False,filter_boundary_buffer,,,
A1,43,2,95698,95634,95903,-1,207.03125,90403,133255,24,False,filter_boundary_buffer,,,
A1,44,2,97879,97815,98084,1,203.125,90403,133255,24,True,retained,0.0,150.44515417836323,8.803323659564569
A1,45,2,99995,99931,100200,-1,207.03125,90403,133255,24,True,retained,0.0,293.79137821191694,5.2247024714506125
A1,46,2,102096,102032,102301,-1,203.125,90403,133255,24,False,quality,410.0,324.54524725351393,7.816112868031269
A1,47,2,104233,104169,104438,-1,203.125,90403,133255,24,True,retained,0.0,59.98927931191628,5.791665245070641
A1,48,2,106421,106357,106626,1,203.125,90403,133255,24,True,retained,0.0,131.56591530940284,11.208393771815466
A1,49,2,108593,108529,108798,-1,207.03125,90403,133255,24,True,retained,0.0,112.25558743340949,5.684805155570272
A1,50,2,110726,110662,110931,-1,203.125,90403,133255,24,True,retained,0.0,118.76760108498937,7.864266017827113
A1,51,2,112835,112771,113040,1,203.125,90403,133255,24,True,retained,0.0,381.44606672954484,8.79008524356098
A1,52,2,114983,114919,115188,1,203.125,90403,133255,24,True,retained,0.0,1282.090713259723,9.99731135936105
A1,53,2,117148,117084,117353,1,203.125,90403,133255,24,True,retained,6.0,1158.7085752788041,16.084245040677757
A1,54,2,119264,119200,119469,-1,203.125,90403,133255,24,True,retained,0.0,1014.9189403573116,10.897381584919799
A1,55,2,121417,121353,121622,1,203.125,90403,133255,24,True,retained,0.0,109.09400441946063,8.085952311597438
A1,56,2,123541,123477,123746,-1,203.125,90403,133255,24,True,retained,0.0,190.52981906814932,8.15519027317761
A1,57,2,125702,125638,125907,-1,203.125,90403,133255,24,True,retained,0.0,161.18600950477685,9.73160774191399
A1,58,2,127862,127798,128067,1,203.125,90403,133255,24,False,filter_boundary_buffer,,,
A1,59,2,130027,129963,130232,1,203.125,90403,133255,24,False,filter_boundary_buffer,,,
A1,60,2,132175,132111,132380,-1,203.125,90403,133255,24,False,filter_boundary_buffer,,,
A1,61,3,134336,134272,134541,1,203.125,133255,176086,24,False,filter_boundary_buffer,,,
A1,62,3,136656,136592,136861,-1,203.125,133255,176086,24,False,filter_boundary_buffer,,,
A1,63,3,138788,138724,138993,1,207.03125,133255,176086,24,False,filter_boundary_buffer,,,
A1,64,3,140941,140877,141146,1,203.125,133255,176086,24,True,retained,0.0,391.8606493096521,13.297707503712303
A1,65,3,143037,142973,143242,-1,207.03125,133255,176086,24,True,retained,0.0,78.39868175570521,7.73873333200396
A1,66,3,145214,145150,145419,1,203.125,133255,176086,24,True,retained,0.0,181.33738779979927,11.821178202391184
A1,67,3,147338,147274,147543,-1,207.03125,133255,176086,24,True,retained,0.0,143.93778845862715,7.2758349365215675
