dataset,trial_id,block,onset_sample,epoch_start,epoch_end_exclusive,cue,duration_ms,filter_start,filter_end_exclusive,guard_seconds,retained,reason,saturated_samples,PTP,max_jump
B1,1,0,5154,5090,5359,-1,207.03125,0,47236,32,False,filter_boundary_buffer,,,
B1,2,0,7486,7422,7691,-1,207.03125,0,47236,32,False,filter_boundary_buffer,,,
B1,3,0,9647,9583,9852,1,203.125,0,47236,32,True,retained,0.0,116.78282811452601,6.150343757253296
B1,4,0,11776,11712,11981,-1,203.125,0,47236,32,True,retained,0.0,195.61647367058796,7.721520949509852
B1,5,0,13888,13824,14093,1,203.125,0,47236,32,True,retained,0.0,766.769724936941,11.883315964243309
B1,6,0,16049,15985,16254,1,203.125,0,47236,32,True,retained,0.0,501.9262591920678,10.840203550234776
B1,7,0,18233,18169,18438,1,203.125,0,47236,32,True,retained,0.0,67.01525322921785,7.6577559148371535
B1,8,0,20378,20314,20583,-1,203.125,0,47236,32,True,retained,0.0,137.72851987572363,7.393311160939357
B1,9,0,22478,22414,22683,-1,203.125,0,47236,32,True,retained,0.0,66.3618068560714,9.215681698298413
B1,10,0,24782,24718,24987,-1,207.03125,0,47236,32,True,retained,0.0,107.59549434556523,8.714171475079873
B1,11,0,26963,26899,27168,1,203.125,0,47236,32,True,retained,0.0,118.66680570270974,7.030496078820036
B1,12,0,29103,29039,29308,-1,207.03125,0,47236,32,True,retained,0.0,79.02970068134911,8.362753898738273
B1,13,0,31236,31172,31441,1,203.125,0,47236,32,True,retained,0.0,161.2819567235528,11.790958793846102
B1,14,0,33360,33296,33565,1,207.03125,0,47236,32,False,quality,135.0,886.7720850730572,12.929223114799584
B1,15,0,35553,35489,35758,-1,203.125,0,47236,32,True,retained,0.0,83.92171648980583,10.52699066379526
B1,16,0,37666,37602,37871,1,203.125,0,47236,32,True,retained,0.0,90.27536488754649,8.457754376059086
B1,17,0,39798,39734,40003,-1,203.125,0,47236,32,False,filter_boundary_buffer,,,
B1,18,0,41899,41835,42104,-1,203.125,0,47236,32,False,filter_boundary_buffer,,,
B1,19,0,44055,43991,44260,1,203.125,0,47236,32,False,filter_boundary_buffer,,,
B1,20,0,46168,46104,46373,-1,203.125,0,47236,32,False,filter_boundary_buffer,,,
B1,21,1,48304,48240,48509,1,203.125,47236,90008,32,False,filter_boundary_buffer,,,
B1,22,1,50461,50397,50666,1,203.125,47236,90008,32,False,filter_boundary_buffer,,,
B1,23,1,52617,52553,52822,1,203.125,47236,90008,32,False,filter_boundary_buffer,,,
B1,24,1,54762,54698,54967,1,203.125,47236,90008,32,False,filter_boundary_buffer,,,
B1,25,1,56882,56818,57087,1,207.03125,47236,90008,32,True,retained,9.0,1287.3042895875421,14.63990340109541
B1,26,1,58975,58911,59180,1,203.125,47236,90008,32,True,retained,0.0,87.08831298375063,6.852199944024477
B1,27,1,61072,61008,61277,1,203.125,47236,90008,32,True,retained,0.0,143.47262932600995,11.935569559257878
B1,28,1,63176,63112,63381,1,203.125,47236,90008,32,True,retained,0.0,295.4769533460674,11.554447301779192
