dataset,block_i,block_j,mode,weighted_cosine
A1,0,1,common,0.8272569271423802
A1,0,1,midline,0.9754586083836854
A1,0,1,lateral,-0.8585071297635622
A1,0,2,common,0.9894546669048526
A1,0,2,midline,0.9992652380523458
A1,0,2,lateral,0.8662156158390432
A1,0,3,common,-0.9304516302555143
A1,0,3,midline,-0.9393829375688415
A1,0,3,lateral,0.5597729552547466
A1,0,4,common,0.9793838400006989
A1,0,4,midline,0.9913438505787019
A1,0,4,lateral,0.8212139198768826
A1,1,2,common,0.8119904205735591
A1,1,2,midline,0.9780456030106341
A1,1,2,lateral,-0.9812767956438031
A1,1,3,common,-0.7818239296517879
A1,1,3,midline,-0.8820834109112404
A1,1,3,lateral,-0.5294074401145086
A1,1,4,common,0.7995964577195395
A1,1,4,midline,0.9578193811446541
A1,1,4,lateral,-0.9347021999664537
A1,2,3,common,-0.8856545872462582
A1,2,3,midline,-0.9292033558426976
A1,2,3,lateral,0.5823461612524575
A1,2,4,common,0.9596209570580073
A1,2,4,midline,0.9877471034699726
A1,2,4,lateral,0.9725292200720128
A1,3,4,common,-0.9632913489422273
A1,3,4,midline,-0.973827024264213
A1,3,4,lateral,0.7218659249770323
A2,0,1,common,0.628896255447607
A2,0,1,midline,0.9360529525732878
A2,0,1,lateral,0.9844247744201423
A2,0,2,common,-0.6957088937846397
A2,0,2,midline,-0.9903120308888486
A2,0,2,lateral,-0.9903627442594138
A2,0,3,common,0.46973835451283963
A2,0,3,midline,0.5138962542440199
A2,0,3,lateral,0.9539574875142138
A2,0,4,common,0.6757684433955167
A2,0,4,midline,0.9586978309337197
A2,0,4,lateral,0.9549160977478405
A2,1,2,common,-0.9501545066364443
A2,1,2,midline,-0.9684159758742967
A2,1,2,lateral,-0.9929009677848035
A2,1,3,common,0.8223667170690505
A2,1,3,midline,0.7595888237701072
A2,1,3,lateral,0.9449572193231083
A2,1,4,common,0.9426257890328095
A2,1,4,midline,0.9960577393567683
A2,1,4,lateral,0.9557630603125891
A2,2,3,common,-0.9145498648156273
A2,2,3,midline,-0.6095016294997568
A2,2,3,lateral,-0.9386804237960091
A2,2,4,common,-0.9869380271340447
A2,2,4,midline,-0.982499342465183
A2,2,4,lateral,-0.9506473708379922
A2,3,4,common,0.9338625313489289
A2,3,4,midline,0.7254439626632193
A2,3,4,lateral,0.9734775589944136
B1,0,1,common,0.43119794629119507
B1,0,1,midline,-0.9538040373393873
B1,0,1,lateral,0.614406236158401
B1,0,2,common,0.93309132094509
B1,0,2,midline,0.9868618940607065
B1,0,2,lateral,0.4537545867232998
B1,0,3,common,-0.9314595711243229
B1,0,3,midline,0.9613519442567992
B1,0,3,lateral,-0.6180810016797809
B1,0,4,common,0.1883431787917738
B1,0,4,midline,-0.750124632037899
B1,0,4,lateral,0.3038740705325235
B1,1,2,common,0.21851038356428165
B1,1,2,midline,-0.9875105286321548
B1,1,2,lateral,0.9470615137016942
B1,1,3,common,-0.35111539897059957
B1,1,3,midline,-0.947709289566912
B1,1,3,lateral,-0.9599374605373446
B1,1,4,common,-0.4812427879068746
B1,1,4,midline,0.5183883749324868
B1,1,4,lateral,0.7486914650488912
B1,2,3,common,-0.9663510691903126
B1,2,3,midline,0.9764727584656591
B1,2,3,lateral,-0.846217383040331
B1,2,4,common,0.40347227418321885
B1,2,4,midline,-0.6398694966874489
B1,2,4,lateral,0.9055190726925522
B1,3,4,common,-0.297759762418031
B1,3,4,midline,-0.6564315686638329
B1,3,4,lateral,-0.5720755336349919
B2,0,1,common,-0.9809290540427786
B2,0,1,midline,-0.9788202530391433
B2,0,1,lateral,-0.8178854287217263
B2,0,2,common,-0.8209204630108317
B2,0,2,midline,0.6750804558782942
B2,0,2,lateral,0.9708278906279545
B2,0,3,common,-0.9658424757278278
B2,0,3,midline,-0.9738468267990539
B2,0,3,lateral,-0.948702164320323
B2,0,4,common,-0.7337004775820447
B2,0,4,midline,-0.8199938411679768
B2,0,4,lateral,0.9394391325237107
B2,1,2,common,0.8497429960827786
B2,1,2,midline,-0.527499903401804
B2,1,2,lateral,-0.8498094849687926
B2,1,3,common,0.9878044397627975
B2,1,3,midline,0.9994461022320199
B2,1,3,lateral,0.9494773349381973
B2,1,4,common,0.8018627173033738
B2,1,4,midline,0.8985149503447085
B2,1,4,lateral,-0.9070311089167598
B2,2,3,common,0.8035053790572659
B2,2,3,midline,-0.5086148227428787
B2,2,3,lateral,-0.9650945547298259
B2,2,4,common,0.9353029465871494
B2,2,4,midline,-0.24275326407811074
B2,2,4,lateral,0.9716174226873244
B2,3,4,common,0.7930398423667232
B2,3,4,midline,0.9101519322138406
B2,3,4,lateral,-0.9710896621066761
