dataset,block,n_left,n_right,observed_delta_energy,estimated_sampling_noise_energy,noise_to_observed_energy
A1,0,6,8,2559.007773143215,3608.0525730945665,1.4099420138387526
A1,1,8,4,268.83902269013544,759.4609453592752,2.8249654300917166
A1,2,7,6,28857.64635675483,16835.120293681994,0.5833850787952888
A1,3,6,7,1532.4332174978288,1016.7152807971735,0.6634646581580081
A1,4,5,10,10854.09266628018,3089.424797585929,0.28463224818263044
A2,0,9,7,2688.4530332073414,2505.395252126526,0.9319096228129281
A2,1,6,6,2545.648747607843,2752.6687133886917,1.081323067833057
A2,2,7,6,6565.988739404193,7666.650930146803,1.167630837399591
A2,3,7,7,1417.9864907716194,4169.854355306052,2.9406869405624314
A2,4,12,3,22184.13420248842,10884.836985955346,0.49065863407616694
B1,0,8,7,2770.9303448558785,3505.5983538380133,1.2651340587994269
B1,1,5,8,9630.662345732591,9979.274999908941,1.0361982012930628
B1,2,5,8,31569.005626316484,22450.524529348197,0.7111571645650138
B1,3,9,5,3217.1279041586836,6883.092971787585,2.1395148644509967
B1,4,8,6,380.9189232899665,972.5745510535522,2.5532324376366056
B2,0,5,9,1849.7114604083993,14543.199085419119,7.862414974824297
B2,1,7,7,14810.067520869356,9298.400337825558,0.6278432103515311
B2,2,6,5,8589.549533544889,19556.650496643906,2.276795822676037
B2,3,5,9,25123.256124781285,9436.542144639656,0.37560983726673713
B2,4,9,7,4815.052683107518,21107.22409233749,4.383591516326962
