dataset,variant,n,BA,AUC,recall_left,recall_right,TN,FP,FN,TP
A1,early_window_only,67,0.496875,0.5169642857142858,0.59375,0.4,19,13,21,14
A1,full_epoch_detrended_kernel,67,0.49955357142857143,0.5133928571428571,0.65625,0.34285714285714286,21,11,23,12
A1,full_epoch_detrended_windows,67,0.48392857142857143,0.5294642857142857,0.625,0.34285714285714286,20,12,23,12
A1,original,67,0.4799107142857143,0.48392857142857143,0.53125,0.42857142857142855,17,15,20,15
A1,prestim_detrended_windows,67,0.5241071428571429,0.4973214285714286,0.5625,0.4857142857142857,18,14,18,17
A1,projection_no_ridge,67,0.4955357142857143,0.5053571428571428,0.5625,0.42857142857142855,18,14,20,15
A1,window_means,67,0.45,0.5008928571428571,0.5,0.4,16,16,21,14
A2,early_window_only,70,0.5664423885618166,0.5677039529015979,0.5121951219512195,0.6206896551724138,21,20,11,18
A2,full_epoch_detrended_kernel,70,0.44365012615643395,0.46341463414634143,0.43902439024390244,0.4482758620689655,18,23,16,13
A2,full_epoch_detrended_windows,70,0.468040370058873,0.4297729184188393,0.4878048780487805,0.4482758620689655,20,21,16,13
A2,original,70,0.5756938603868798,0.5290159798149705,0.6341463414634146,0.5172413793103449,26,15,14,15
A2,prestim_detrended_windows,70,0.5786375105130361,0.6114381833473507,0.5365853658536586,0.6206896551724138,22,19,11,18
A2,projection_no_ridge,70,0.5634987384356602,0.5424726661059714,0.6097560975609756,0.5172413793103449,25,16,14,15
A2,window_means,70,0.5441547518923465,0.534062237174096,0.5365853658536586,0.5517241379310345,22,19,13,16
B1,early_window_only,69,0.47983193277310926,0.492436974789916,0.37142857142857144,0.5882352941176471,13,22,14,20
B1,full_epoch_detrended_kernel,69,0.5521008403361345,0.5344537815126051,0.45714285714285713,0.6470588235294118,16,19,12,22
B1,full_epoch_detrended_windows,69,0.5508403361344538,0.5932773109243697,0.5428571428571428,0.5588235294117647,19,16,15,19
B1,original,69,0.5100840336134453,0.4680672268907563,0.3142857142857143,0.7058823529411765,11,24,10,24
B1,prestim_detrended_windows,69,0.4050420168067227,0.4260504201680672,0.45714285714285713,0.35294117647058826,16,19,22,12
B1,projection_no_ridge,69,0.49495798319327733,0.42689075630252105,0.34285714285714286,0.6470588235294118,12,23,12,22
B1,window_means,69,0.48067226890756304,0.48487394957983193,0.3142857142857143,0.6470588235294118,11,24,12,22
B2,early_window_only,69,0.5337837837837838,0.5278716216216217,0.5,0.5675675675675675,16,16,16,21
B2,full_epoch_detrended_kernel,69,0.3141891891891892,0.3327702702702703,0.25,0.3783783783783784,8,24,23,14
B2,full_epoch_detrended_windows,69,0.40371621621621623,0.379222972972973,0.375,0.43243243243243246,12,20,21,16
B2,original,69,0.4641047297297297,0.48057432432432434,0.46875,0.4594594594594595,15,17,20,17
B2,prestim_detrended_windows,69,0.5223817567567568,0.5363175675675675,0.53125,0.5135135135135135,17,15,18,19
B2,projection_no_ridge,69,0.49324324324324326,0.5236486486486487,0.5,0.4864864864864865,16,16,19,18
B2,window_means,69,0.4641047297297297,0.5118243243243243,0.46875,0.4594594594594595,15,17,20,17
