dataset,fold,max_error
A1,0,6.217248937900877e-15
A1,1,9.769962616701378e-15
A1,2,2.842170943040401e-14
A1,3,7.105427357601002e-15
A1,4,1.0658141036401503e-14
A2,0,2.2737367544323206e-13
A2,1,2.2026824808563106e-13
A2,2,2.2666313270747196e-12
A2,3,1.1368683772161603e-13
A2,4,2.0889956431346945e-12
B1,0,2.842170943040401e-14
B1,1,2.1316282072803006e-14
B1,2,1.7763568394002505e-14
B1,3,2.842170943040401e-14
B1,4,2.842170943040401e-14
B2,0,3.126388037344441e-13
B2,1,7.105427357601002e-14
B2,2,6.092903959142859e-13
B2,3,4.405364961712621e-13
B2,4,5.968558980384842e-13
