fold,split,contrast_RMSE,S_delta,delta_energy,weighted_MSE,dataset,stage,variant,negative_R2,mean_R2,weighted_contrast_MSE
0,train,38.202589992876014,0.3817627041580004,1274747.5146983974,362.4832665036904,A1,independent,original,6,-4.314719079945378,1396.150515907
0,test,41.8567764577195,0.34995608872180306,1455400.8440333232,3686.606235354633,A1,independent,original,5,-6.980333010615581,1662.3456204375605
0,train,13.829131645019,0.9189861246097212,1274747.5146983974,60.65042008205226,A1,independent,same_kernel_no_ridge,2,-0.03927587955166604,205.87309223885237
0,test,18.24228816815266,0.8765276365984823,1455400.8440333232,3433.143454952967,A1,independent,same_kernel_no_ridge,6,-11.867336560336696,331.5289344873491
0,train,20.60284101891751,0.8201858731204046,1274747.5146983974,117.32086327729549,A1,independent,same_kernel_equal_direction_penalty,6,-0.8361273298276733,415.50090300142074
0,test,25.082893759879862,0.76656476224243,1455400.8440333232,3421.206825853045,A1,independent,same_kernel_equal_direction_penalty,6,-9.591282511576965,600.7479824311962
0,train,29.548948333664015,0.6301261369163371,1274747.5146983974,219.51152676758704,A1,independent,same_kernel_plus_affine,6,-2.269144563398486,833.5967225359151
0,test,33.795972175208114,0.5762194452662442,1455400.8440333232,3618.1372264485594,A1,independent,same_kernel_plus_affine,5,-7.999054784585142,1080.3326794781387
0,train,35.43549445933532,0.46807968113409193,1274747.5146983974,319.9749704834954,A1,independent,affine_only,6,-3.8653264813771226,1196.8193070611508
0,test,39.378327619709786,0.4246585372404559,1455400.8440333232,3651.2473995889286,A1,independent,affine_only,6,-7.258394460298452,1467.794451104275
0,oracle_not_prediction,12.993517407000086,0.9373581460660743,1455400.8440333232,305.34406066880825,A1,independent,test_oracle_same_span,0,0.2047892115634844,179.0210999452432
0,oracle_not_prediction,3.6359724264834066,0.9950948499227638,1455400.8440333232,10.818669984297218,A1,independent,test_oracle_span_plus_affine,0,0.7777216786193962,13.155706532842222
1,train,42.69815366511723,0.3971744779216566,1633128.36003887,461.93630012265106,A1,independent,original,6,-5.9397838719466565,1763.9394681525855
1,test,18.53051223523175,-0.24350389079618284,149115.04384543333,280.26644492205793,A1,independent,original,6,-0.6261740763687743,330.69419804234866
1,train,19.29595500284264,0.8768864102574597,1633128.36003887,112.16837721127744,A1,independent,same_kernel_no_ridge,4,-0.6997948623327067,412.4518477408813
1,test,49.85519883630231,-8.001050631317732,149115.04384543333,721.5802527956138,A1,independent,same_kernel_no_ridge,4,-4.506379109649888,2319.8376237107514
1,train,23.437914366828416,0.818360053387964,1633128.36003887,164.53832080269208,A1,independent,same_kernel_equal_direction_penalty,6,-1.1981388976883773,574.3475508727485
1,test,38.95454138507313,-4.495263106322975,149115.04384543333,553.3591257370755,A1,independent,same_kernel_equal_direction_penalty,6,-2.961733376543769,1423.064921302422
1,train,32.98615298666667,0.64022019924368,1633128.36003887,275.58611203454126,A1,independent,same_kernel_plus_affine,6,-3.5914825671076307,1049.8622503064803
1,test,23.809889010496256,-1.052990979576046,149115.04384543333,309.99602159939417,A1,independent,same_kernel_plus_affine,6,-1.0105524042712737,541.117094371416
1,train,40.122535784230855,0.46770769814564483,1633128.36003887,399.961628595062,A1,independent,affine_only,6,-5.463587465942028,1532.5206111892085
1,test,18.806587595676557,-0.2808323898872058,149115.04384543333,273.0511346453158,A1,independent,affine_only,6,-0.6099300827611981,344.0327750511671
1,oracle_not_prediction,9.112936222946118,0.6992615472630299,149115.04384543333,48.06467897234315,A1,independent,test_oracle_same_span,0,0.738846099847504,88.16735049234455
1,oracle_not_prediction,5.508000945000137,0.8901347593174597,149115.04384543333,21.105858187941283,A1,independent,test_oracle_span_plus_affine,0,0.8653379868368284,30.845940182316884
2,train,18.66871082910482,0.4975891880398371,374596.2628410155,276.48920072376035,A1,independent,original,4,-0.07408182209913056,334.9569091426611
2,test,165.53926563990598,0.09122109239804965,16283117.983109202,33066.04893163005,A1,independent,original,6,-23.889598333870794,26269.783179913462
2,train,6.453761266008336,0.939957867043629,374596.2628410155,116.58263768713267,A1,independent,same_kernel_no_ridge,0,0.5273139680933939,47.67594889442203
2,test,149.61125837561843,0.2576909733003433,16283117.983109202,34122.336925815216,A1,independent,same_kernel_no_ridge,6,-32.32068439366819,21569.69017194732
2,train,9.78416864285254,0.8620002883501792,374596.2628410155,217.26448295476345,A1,independent,same_kernel_equal_direction_penalty,2,0.0604149863757138,98.05803806667286
2,test,154.03838614881835,0.21310984829498048,16283117.983109202,32204.473087266564,A1,independent,same_kernel_equal_direction_penalty,6,-26.667308707062073,22823.47980245946
2,train,14.966305219402068,0.677106341852914,374596.2628410155,105.24901750392208,A1,independent,same_kernel_plus_affine,0,0.43496918289894043,214.45176085402537
2,test,161.89989883207738,0.13074070179468045,16283117.983109202,34253.00941999507,A1,independent,same_kernel_plus_affine,6,-26.844141297255216,25117.081101164058
2,train,19.356959177613998,0.45986217931935547,374596.2628410155,179.21923004266628,A1,independent,affine_only,3,0.1468162073949618,354.8421237082743
2,test,166.66864304913517,0.07877866103323816,16283117.983109202,33430.019520666705,A1,independent,affine_only,6,-23.605976354956468,26581.325087701505
2,oracle_not_prediction,42.31095313235337,0.9406307165073898,16283117.983109202,1786.9043089150798,A1,independent,test_oracle_same_span,1,0.22010843073972644,2049.002985539848
2,oracle_not_prediction,3.975335022579774,0.9994759126709395,16283117.983109202,10.120099448140765,A1,independent,test_oracle_span_plus_affine,0,0.9233656644367333,15.483465902201464
3,train,52.34084497610589,0.3939668286557002,2441062.0713010896,670.3219719935654,A1,independent,original,6,-3.9999722666226822,2624.2473192457874
3,test,55.03978956517459,-0.8368607974882021,890576.1162421486,2301.2223916645194,A1,independent,original,6,-3.9725436977332547,2818.6959870305877
3,train,21.351225423082617,0.8991535653638147,2441062.0713010896,130.32854886964606,A1,independent,same_kernel_no_ridge,3,-0.0705257379762777,498.27072794255645
3,test,101.78051560529698,-5.281335767592311,890576.1162421486,3985.0780534536766,A1,independent,same_kernel_no_ridge,6,-9.222363042145341,9625.624480127424
3,train,28.313424203406083,0.8226628483743718,2441062.0713010896,217.2378622961215,A1,independent,same_kernel_equal_direction_penalty,6,-0.6894545524877559,811.9108804560072
3,test,85.53216194004406,-3.435898650397146,890576.1162421486,3299.68232532725,A1,independent,same_kernel_equal_direction_penalty,6,-5.821026957034268,6812.535721681502
3,train,40.56296510555099,0.6360226783870055,2441062.0713010896,403.9860796949126,A1,independent,same_kernel_plus_affine,6,-2.1045940368595724,1569.1850776595738
3,test,65.95532346505222,-1.6376819359776205,890576.1162421486,2628.777619661106,A1,independent,same_kernel_plus_affine,6,-4.01161306002562,4061.9838690804954
3,train,49.15132170079913,0.46557675660831965,2441062.0713010896,587.9838870274492,A1,independent,affine_only,6,-3.5589244412990637,2284.8012365393492
3,test,57.43169085838685,-0.9999812363444269,890576.1162421486,2375.396840554218,A1,independent,affine_only,6,-3.906126123832946,3084.1914083580036
3,oracle_not_prediction,11.915592952937274,0.9139097371593995,890576.1162421486,189.019723618612,A1,independent,test_oracle_same_span,3,-0.11610401638931596,136.80357646495165
3,oracle_not_prediction,5.482994821506576,0.9817711871015115,890576.1162421486,22.304777368388997,A1,independent,test_oracle_span_plus_affine,0,0.6588949755498362,29.382478788454126
4,train,32.268660927762205,0.404599538364661,944379.345313067,265.40774093983714,A1,independent,original,5,-3.563827768873079,1002.5790482983263
4,test,98.8640374765974,0.15144338833249626,6219989.092963563,6813.819616266855,A1,independent,original,6,-7.20155796404075,9189.832315418646
4,train,9.640120962893794,0.9468611383488643,944379.345313067,31.88784969597113,A1,independent,same_kernel_no_ridge,0,0.40535592646415813,101.56489053304132
4,test,71.74029476464564,0.5531822161360611,6219989.092963563,5884.0943631702785,A1,independent,same_kernel_no_ridge,6,-13.34192439390622,4846.4907101002145
4,train,15.540379730868553,0.861907359765745,944379.345313067,73.96366314573699,A1,independent,same_kernel_equal_direction_penalty,5,-0.4010701871814734,236.80273712192414
4,test,82.48923544076129,0.4092568515109688,6219989.092963563,6110.527985500949,A1,independent,same_kernel_equal_direction_penalty,6,-10.400101846815017,6376.66579235502
4,train,25.01616037806559,0.6421602474575876,944379.345313067,161.77828857300105,A1,independent,same_kernel_plus_affine,4,-1.8367372519574774,602.8767054773562
4,test,91.5757348358825,0.2719437050270507,6219989.092963563,6576.524730843314,A1,independent,same_kernel_plus_affine,6,-8.301862263764887,7874.341348369039
4,train,30.679534281418494,0.46179862220211665,944379.345313067,255.00391726131156,A1,independent,affine_only,6,-3.4083400049514796,907.1601830804475
4,test,96.24017785603975,0.19588720888760758,6219989.092963563,6674.73040336832,A1,independent,affine_only,6,-6.954698595084071,8710.883458807319
4,oracle_not_prediction,33.72347646833574,0.9012655266784387,6219989.092963563,585.099444986501,A1,independent,test_oracle_same_span,0,0.2869001887891552,1143.0734698895035
4,oracle_not_prediction,4.565076947006834,0.998190742668655,6219989.092963563,23.597559677347746,A1,independent,test_oracle_span_plus_affine,0,0.7168447081473728,20.136060722341792
0,train,10.894727014448458,0.8828482776839557,547113.9489997287,202.2322196427302,A2,independent,original,0,0.9234574288710801,115.24118323658924
0,test,39.96821323224957,0.41858310537125387,1483664.0717143994,900.3989958369234,A2,independent,original,2,0.18081194854635121,1613.6851187619461
0,train,6.6081630991125255,0.9568999792508912,547113.9489997287,160.4187261717947,A2,independent,same_kernel_no_ridge,0,0.937830301079195,44.29325678032046
0,test,40.820441789078835,0.3935240531892993,1483664.0717143994,1044.2116406913115,A2,independent,same_kernel_no_ridge,3,0.020736494868022388,1664.848371034362
0,train,6.818225511085202,0.9541162721756533,547113.9489997287,185.17849881860243,A2,independent,same_kernel_equal_direction_penalty,0,0.9270250374927098,47.02629994008003
0,test,40.52754021639237,0.4021962009160013,1483664.0717143994,908.3123676520764,A2,independent,same_kernel_equal_direction_penalty,2,0.15651730415158396,1645.3386060225566
0,train,5.366346039362701,0.971576777144706,547113.9489997287,68.37194229066522,A2,independent,same_kernel_plus_affine,0,0.9687856899386472,27.96978234774954
0,test,39.80544608785672,0.42330900439741326,1483664.0717143994,1009.5654277129089,A2,independent,same_kernel_plus_affine,3,0.06515455649155742,1578.2077007777814
0,train,6.337460395321794,0.9603588277336395,547113.9489997287,301.6717308445823,A2,independent,affine_only,0,0.866933968446212,38.23270926754491
0,test,38.60051744442939,0.4576939708203436,1483664.0717143994,1028.1774512893546,A2,independent,affine_only,3,0.06585149265670281,1490.2781552542747
0,oracle_not_prediction,20.131924079215636,0.8524875256984501,1483664.0717143994,155.772686765148,A2,independent,test_oracle_same_span,0,0.8894737073227447,453.4559305091404
0,oracle_not_prediction,10.875724110315936,0.9569498623869777,1483664.0717143994,53.991254498410605,A2,independent,test_oracle_span_plus_affine,0,0.9521831166731882,117.44224395174592
1,train,9.218094482450654,0.898350839072012,451411.1396521621,167.45420817315824,A2,independent,original,0,0.9243573449760277,88.96938990569318
1,test,32.59683987516446,0.6114301324762317,1476643.4344843868,709.2024051392067,A2,independent,original,0,0.8081558997579608,988.0790472838981
1,train,6.622392729698029,0.9475372137026093,451411.1396521621,140.022221723135,A2,independent,same_kernel_no_ridge,0,0.9375299723376189,48.64560560961609
1,test,29.438570488659817,0.6830786074852682,1476643.4344843868,606.6552874186453,A2,independent,same_kernel_no_ridge,0,0.8292612062064434,806.7130201213804
1,train,6.71105612268003,0.9461230218401534,451411.1396521621,157.72979092395533,A2,independent,same_kernel_equal_direction_penalty,0,0.9278233243694758,50.071720908881225
1,test,29.901869848677947,0.6730247995108438,1476643.4344843868,670.1958477241886,A2,independent,same_kernel_equal_direction_penalty,0,0.8110949457820245,832.0528176238203
1,train,4.390343940177632,0.9769421623908754,451411.1396521621,50.20543812730162,A2,independent,same_kernel_plus_affine,0,0.9734123692488946,19.17783364504605
1,test,29.463159712694463,0.6825489550212352,1476643.4344843868,609.7770506773904,A2,independent,same_kernel_plus_affine,0,0.820830454645959,807.4977711486184
1,train,4.9043950170593416,0.9712265211908129,451411.1396521621,216.8620251633583,A2,independent,affine_only,0,0.8801499514811314,24.16427232632401
1,test,29.445718978555327,0.6829246744376871,1476643.4344843868,877.0961170155057,A2,independent,affine_only,0,0.7108900754723385,808.0631103300424
1,oracle_not_prediction,19.264053813361897,0.8642894887451351,1476643.4344843868,247.94092640987012,A2,independent,test_oracle_same_span,0,0.9120023893920802,346.8057182439481
1,oracle_not_prediction,10.564703149380325,0.9591837860006538,1476643.4344843868,154.08619625964133,A2,independent,test_oracle_span_plus_affine,0,0.9379294225697393,115.28007695916718
2,train,17.320421425846845,0.9090527625215638,1781234.7423706492,188.42446057275518,A2,independent,original,0,0.9259896048553592,300.227436032893
