dataset,stage,cue,channel,RMSE,R2,positive_peak_latency_ms,positive_peak_amplitude
A1,before,-1,Fz,5.580367364859844,-0.8127046836005225,421.875,3.1288075018651864
A1,before,-1,F3,30.89782056150173,-3.7540874647641393,,
A1,before,-1,F4,21.203636661506657,-4.3311344941186505,,
A1,before,1,Fz,4.8858594925073575,-0.586022847362043,,
A1,before,1,F3,23.21965937560303,-15.34103023138551,371.09375,1.3760225635765644
A1,before,1,F4,16.9505583049151,-12.464335641898955,367.1875,1.1631792465438484
A1,v7,-1,Fz,5.536853622813057,-0.7783247167540555,406.25,3.379451507040105
A1,v7,-1,F3,27.83078988264487,-4.068553501921054,,
A1,v7,-1,F4,18.74159953173254,-4.874410713785952,,
A1,v7,1,Fz,4.916682072996483,-0.625839296567575,339.84375,0.1568134634595755
A1,v7,1,F3,20.490336964199223,-14.523895958697308,351.5625,1.1917961721564958
A1,v7,1,F4,15.041740435803911,-10.69756905494874,367.1875,2.071516217816252
A2,before,-1,Fz,10.523554429423125,0.9286423979611905,359.375,18.425559208388584
A2,before,-1,F3,8.79403798021391,0.9320866514610878,359.375,19.621922332703832
A2,before,-1,F4,14.608869173084853,0.9089901110603529,359.375,39.04198327761672
A2,before,1,Fz,17.295705820901524,0.8853650768745963,367.1875,57.289737644413805
A2,before,1,F3,24.928884114264008,0.829174838611158,371.09375,112.46460474071746
A2,before,1,F4,24.098025181886346,0.8693133292347165,367.1875,86.65548818174358
A2,v7,-1,Fz,8.246869500549163,0.952508448117066,363.28125,16.072042960466053
A2,v7,-1,F3,7.724731810744852,0.9427745047810001,359.375,16.62843058523281
A2,v7,-1,F4,11.818463122926357,0.9346952953384752,359.375,35.50790800579798
A2,v7,1,Fz,15.252525274978352,0.9061466004690205,367.1875,53.7213457468737
A2,v7,1,F3,23.45552675432087,0.8322346907274919,375.0,105.8585443570148
A2,v7,1,F4,21.45432065170403,0.8886338355047811,367.1875,80.46777685632809
B1,before,-1,Fz,7.0582534152241525,-0.25231789078801525,,
B1,before,-1,F3,19.788228589565982,0.01583417380777008,,
B1,before,-1,F4,34.41743817589028,-0.6523146590746565,464.84375,37.93456012702315
B1,before,1,Fz,17.524076243695042,-0.7019783161341833,468.75,17.475507035625753
B1,before,1,F3,10.090989057957636,-0.37143527085595585,,
B1,before,1,F4,15.99856575649256,-0.9579593004363423,,
B1,v7,-1,Fz,7.0043588545797,-0.1424806733507975,,
B1,v7,-1,F3,18.421015379710937,0.04956458262063346,,
B1,v7,-1,F4,32.75785605952236,-0.6482080521296072,464.84375,36.60698475903885
B1,v7,1,Fz,17.361314436741228,-0.661985844982903,472.65625,17.43133043313789
B1,v7,1,F3,9.636121045857884,-0.20540571106477223,,
B1,v7,1,F4,15.628702678119744,-0.7937801631675241,,
B2,before,-1,Fz,11.541585976645633,0.9360181949138178,363.28125,44.257175289813546
B2,before,-1,F3,7.326227679619512,0.9186694155960362,355.46875,14.691904527264262
B2,before,-1,F4,12.366603293559674,0.9392443518963541,250.0,39.72761015826632
B2,before,1,Fz,17.745355563747008,0.8914416158770664,367.1875,67.12240232576893
B2,before,1,F3,16.974245755880727,0.8406361211313536,367.1875,64.24149948814267
B2,before,1,F4,23.98103792730004,0.8857241720921039,367.1875,90.07621741541816
B2,v7,-1,Fz,11.743264790042382,0.9335581675442322,363.28125,44.319711682464
B2,v7,-1,F3,7.384938840712607,0.9104795415962398,355.46875,13.036202895408108
B2,v7,-1,F4,12.727414320498513,0.9339089800231974,250.0,39.474300666758886
B2,v7,1,Fz,16.31552232832651,0.9017554410533712,367.1875,62.068729553722804
B2,v7,1,F3,14.815815350066957,0.8589589284507347,367.1875,53.62911646505596
B2,v7,1,F4,21.752435629661637,0.8967728024229173,367.1875,81.11435852941194
