parameter,value_ms,objective,success,theta
0,20.0,3505.378081332697,True,"[20.0, 55.46492969595886, 121.5794787049604, 600.0]"
0,33.0,3330.90580543095,True,"[33.0, 52.91478482023761, 117.9815157512592, 600.0]"
0,46.0,3166.0253485529533,True,"[46.0, 50.35861971827282, 114.33058957869603, 599.9999999999999]"
0,59.0,3009.6330460167496,True,"[59.0, 47.74926079454305, 110.59657591847161, 600.0]"
0,72.0,2861.4498969427214,True,"[72.0, 45.05940731763806, 106.76196005372944, 599.9999999999998]"
0,85.0,2723.144930095513,True,"[85.0, 42.31374262568363, 102.85305173135906, 600.0]"
0,98.0,2595.540615972015,True,"[98.0, 39.51193882334608, 98.88257314129763, 600.0]"
0,111.0,2479.0935701647572,True,"[111.0, 36.6405393663426, 94.8237715699254, 600.0]"
0,124.0,2375.350456345297,True,"[124.0, 33.72308315145959, 90.72160098424422, 600.0]"
0,137.0,2284.8645603282007,True,"[137.0, 30.74940545061878, 86.58544846924123, 600.0]"
0,150.0,2207.7423581167113,True,"[150.0, 27.706291515858762, 82.41806981585766, 600.0]"
1,20.0,2233.47593233629,True,"[150.0, 20.0, 83.27662407830469, 600.0]"
1,28.0,2207.790978198639,True,"[150.0, 28.0, 82.41805898786636, 600.0]"
1,36.0,2253.021997938408,True,"[150.0, 36.0, 83.59548896515201, 600.0]"
1,44.0,2390.6199355721424,True,"[149.3873709399595, 44.0, 87.84665243225697, 600.0]"
1,52.0,2579.239600634988,True,"[135.24157777330424, 52.0, 96.4506665761235, 600.0]"
1,60.0,2783.383829947041,True,"[126.99789936159456, 60.0, 104.70746010184826, 600.0]"
1,68.0,2978.2391351732927,True,"[126.77954000482922, 68.0, 112.48875295534773, 600.0]"
1,76.0,3119.043244880224,True,"[149.99999999999997, 76.0, 118.37191622686333, 600.0]"
1,84.0,3168.2705127169747,True,"[150.0, 84.0, 126.68380228677093, 600.0]"
1,92.0,3154.5832051558373,True,"[150.0, 92.0, 134.83927543879545, 600.0]"
1,100.0,3095.5527234436813,True,"[149.99999999999997, 100.0, 142.77488497505342, 600.0]"
2,70.0,2334.487288675371,True,"[150.0, 28.027964788354346, 70.0, 599.9999999999999]"
2,88.0,2230.6241755566775,True,"[150.0, 27.745995694137523, 88.0, 600.0]"
2,106.0,2527.430229536724,True,"[129.57913863150543, 37.114246584711346, 106.0, 600.0]"
2,124.0,2950.7976026960046,True,"[103.71620863413665, 52.28924024982197, 124.0, 600.0]"
2,142.0,3095.6574559841824,True,"[149.9999999999999, 100.0, 142.0, 600.0]"
2,160.0,3135.3318040831705,True,"[150.0, 100.0, 160.0, 600.0]"
2,178.0,3223.167722553963,True,"[149.99999999999972, 99.99999999999875, 178.0, 599.9999999999966]"
2,196.0,3314.889720960596,True,"[150.0, 100.0, 196.0, 600.0]"
2,214.0,2907.088372160098,True,"[149.99999999997223, 27.125211417483094, 214.0, 223.99999999843226]"
2,232.0,2563.8931556841826,True,"[150.0, 26.494492097527825, 232.0, 242.00000000024227]"
2,250.0,2304.56518997554,True,"[150.0, 25.781941396930993, 250.0, 259.9999999999984]"
3,150.0,6966.869900667828,True,"[150.0, 100.0, 110.00000000015984, 150.0]"
3,195.0,7421.059352320567,True,"[149.99999999999994, 31.74994499872778, 70.0, 195.0]"
3,240.0,5398.430052314012,True,"[149.9999999999999, 29.73260409567505, 71.15201734026613, 240.0]"
3,285.0,4287.456889430662,True,"[149.99999999999991, 29.882997033841875, 74.48623481113745, 285.0]"
3,330.0,3604.576560718593,True,"[149.99999999999997, 29.759922275279507, 76.83299558410717, 330.0]"
3,375.0,3154.7441219023085,True,"[149.99999999999997, 29.499086694276595, 78.51536240422911, 375.0]"
3,420.0,2841.8333539426003,True,"[149.99999999999997, 29.16635399493478, 79.76979693905531, 420.0]"
3,465.0,2614.611225553509,True,"[149.99999999999997, 28.80349498365612, 80.6980852038733, 465.0]"
3,510.0,2443.8644628304637,True,"[150.0, 28.428458702652605, 81.42097832294026, 510.0]"
3,555.0,2311.9621289331403,True,"[150.0, 28.060425221581674, 81.97974664905075, 555.0]"
3,600.0,2207.7423581167086,True,"[150.0, 27.7062915158573, 82.41806981585182, 600.0]"
