parameter,value_ms,objective,success,theta
0,20.0,3276.5381573937325,True,"[20.0, 100.0, 250.0]"
0,33.0,3228.143423700396,True,"[33.0, 100.0, 250.0]"
0,46.0,3181.66531374644,True,"[46.0, 100.0, 250.0]"
0,59.0,3136.9933440114537,True,"[59.0, 100.0, 250.0]"
0,72.0,3094.090464098381,True,"[72.0, 100.0, 250.0]"
0,85.0,3053.1763212465744,True,"[85.0, 100.0, 250.0]"
0,98.0,3014.202373051746,True,"[98.0, 100.0, 250.0]"
0,111.0,2977.0008675151466,True,"[111.0, 100.0, 250.0]"
0,124.0,2941.6352798698927,True,"[124.0, 100.0, 250.0]"
0,137.0,2907.8472980418774,True,"[137.0, 100.0, 250.0]"
0,150.0,2875.1913427955988,True,"[150.0, 100.0, 250.0]"
1,20.0,2943.5335101146256,True,"[150.0, 20.0, 250.0]"
1,28.0,2950.7263917736573,True,"[150.0, 28.0, 250.0]"
1,36.0,2954.622113814621,True,"[150.0, 36.0, 250.0]"
1,44.0,2954.713145011261,True,"[150.0, 44.0, 250.0]"
1,52.0,2951.319236410095,True,"[150.0, 52.0, 250.0]"
1,60.0,2944.9830914825443,True,"[150.0, 60.0, 250.0]"
1,68.0,2936.051846768984,True,"[150.0, 68.0, 250.0]"
1,76.0,2924.6145944116174,True,"[150.0, 76.0, 250.0]"
1,84.0,2910.637315469258,True,"[150.0, 84.0, 250.0]"
1,92.0,2894.1199353842394,True,"[150.0, 92.0, 250.0]"
1,100.0,2875.1913427955988,True,"[150.0, 100.0, 250.0]"
2,70.0,4513.2950150648085,True,"[150.0, 60.0, 70.0]"
2,88.0,4176.897432137918,True,"[150.0, 78.0, 88.0]"
2,106.0,3838.3650514491437,True,"[150.0, 96.0, 106.0]"
2,124.0,3629.4303099037984,True,"[150.0, 100.0, 124.0]"
2,142.0,3461.89382695507,True,"[150.0, 100.0, 142.0]"
2,160.0,3314.9803140245426,True,"[150.0, 100.0, 160.0]"
2,178.0,3191.1586092204907,True,"[150.0, 100.0, 178.0]"
2,196.0,3088.5091804162957,True,"[150.0, 100.0, 196.0]"
2,214.0,3003.7548313741813,True,"[150.0, 100.0, 214.0]"
2,232.0,2933.5997534105863,True,"[150.0, 100.0, 232.0]"
2,250.0,2875.1913427955988,True,"[150.0, 100.0, 250.0]"
