dataset,rank,n_refits,kind,spatial_mode,kernel,low,median,high
A1,2,198,A,0,0,-9.314573440553266,0.42466952859049384,10.368970730866375
A1,2,198,A,0,1,-25.078626224143413,-6.275937904947458,12.916834402581117
A1,2,198,A,1,0,-5.7008774448555055,0.9955001781111674,8.320780761160709
A1,2,198,A,1,1,-11.554885982324913,3.8789431531641676,18.521724753116388
A1,2,198,A,2,0,-4.697214887537697,0.06302367584395874,3.3751779936849604
A1,2,198,A,2,1,-8.043310209966048,0.1827794298236853,6.2684164590295826
A1,2,198,D,0,0,-0.585816390221634,3.1910326960383886,9.04898601036609
A1,2,198,D,0,1,-0.706595240203506,3.9341051407970795,18.03214856099004
A1,2,198,D,1,0,-7.7927316664002975,-2.88730489996692,0.3510131671688347
A1,2,198,D,1,1,-15.453715223497701,-3.5490981629998055,0.3622789253573077
A1,2,198,D,2,0,-0.11096820237055381,0.9586988229087199,2.460330330073089
A1,2,198,D,2,1,-0.02287555081708977,1.2961033418987955,3.4667335865004323
A1,3,2,A,0,0,1.3524378564799102,3.276165454505535,5.19989305253116
A1,3,2,A,0,1,-13.823247797028811,-12.097017367559525,-10.370786938090239
A1,3,2,A,0,2,-23.587748406596937,-20.715215560435468,-17.842682714273995
A1,3,2,A,1,0,-0.11071633415212169,0.2632942971454223,0.6373049284429663
A1,3,2,A,1,1,8.19899951453721,9.499713436021931,10.800427357506651
A1,3,2,A,1,2,13.638744174604726,15.828206082636271,18.017667990667817
A1,3,2,A,2,0,-1.3902876101663046,-0.6280100153820867,0.1342675794021311
A1,3,2,A,2,1,1.2588569785380923,1.3250046224553536,1.3911522663726148
A1,3,2,A,2,2,1.6820237232615605,2.002065101570589,2.322106479879617
A1,3,2,D,0,0,5.600236213940279,6.6074792272676355,7.614722240594992
A1,3,2,D,0,1,10.886146469263801,13.25435441921962,15.62256236917544
A1,3,2,D,0,2,12.280743344610134,15.069279967404064,17.857816590197995
A1,3,2,D,1,0,-5.672465646099053,-5.451762288249624,-5.231058930400195
A1,3,2,D,1,1,-12.264552202811174,-10.755004084009215,-9.245455965207254
A1,3,2,D,1,2,-14.109418025316982,-12.164650125732138,-10.219882226147293
A1,3,2,D,2,0,0.043674892604810805,0.5633339649386718,1.082993037272533
A1,3,2,D,2,1,1.1745644687981969,2.088918969970411,3.003273471142625
A1,3,2,D,2,2,1.554029928155202,2.536201743600258,3.5183735590453136
