dataset,rank,n_refits,parameter,low_ms,median_ms,high_ms,interpretation
A1,2,198,delay,21.622497685940445,150.0,150.0,conditional_on_selected_rank_and_original_time_blocks
A1,2,198,tau_E,45.62453422243299,100.0,100.0,conditional_on_selected_rank_and_original_time_blocks
A1,2,198,tau_I,250.0,250.0,250.0,conditional_on_selected_rank_and_original_time_blocks
A1,3,2,delay,20.824947462847014,36.49894925694031,52.1729510510336,conditional_on_selected_rank_and_original_time_blocks
A1,3,2,tau_E,100.0,100.0,100.0,conditional_on_selected_rank_and_original_time_blocks
A1,3,2,tau_I,250.0,250.0,250.0,conditional_on_selected_rank_and_original_time_blocks
A1,3,2,tau_S,600.0,600.0,600.0,conditional_on_selected_rank_and_original_time_blocks
A2,2,8,delay,149.99999999999986,150.0,150.0,conditional_on_selected_rank_and_original_time_blocks
A2,2,8,tau_E,88.99269338651233,91.4936654999486,95.5590417315159,conditional_on_selected_rank_and_original_time_blocks
A2,2,8,tau_I,249.99999999999997,250.0,250.0,conditional_on_selected_rank_and_original_time_blocks
A2,3,192,delay,112.43238296930625,150.0,150.0,conditional_on_selected_rank_and_original_time_blocks
A2,3,192,tau_E,20.000000000000032,28.375361708648313,100.0,conditional_on_selected_rank_and_original_time_blocks
A2,3,192,tau_I,78.42627418768333,84.12940718930514,250.0,conditional_on_selected_rank_and_original_time_blocks
A2,3,192,tau_S,260.0000000000026,600.0,600.0,conditional_on_selected_rank_and_original_time_blocks
B1,2,198,delay,99.71606846967612,150.0,150.0,conditional_on_selected_rank_and_original_time_blocks
B1,2,198,tau_E,99.69429586934794,100.0,100.0,conditional_on_selected_rank_and_original_time_blocks
B1,2,198,tau_I,250.0,250.0,250.0,conditional_on_selected_rank_and_original_time_blocks
B1,3,2,delay,149.99999999999997,150.0,150.0,conditional_on_selected_rank_and_original_time_blocks
B1,3,2,tau_E,100.0,100.0,100.0,conditional_on_selected_rank_and_original_time_blocks
B1,3,2,tau_I,250.0,250.0,250.0,conditional_on_selected_rank_and_original_time_blocks
B1,3,2,tau_S,600.0,600.0,600.0,conditional_on_selected_rank_and_original_time_blocks
B2,2,72,delay,149.92363254483595,150.0,150.0,conditional_on_selected_rank_and_original_time_blocks
B2,2,72,tau_E,56.619150143340605,100.0,100.0,conditional_on_selected_rank_and_original_time_blocks
B2,2,72,tau_I,249.99999999999997,250.0,250.0,conditional_on_selected_rank_and_original_time_blocks
B2,3,128,delay,77.16731283141081,150.0,150.0,conditional_on_selected_rank_and_original_time_blocks
B2,3,128,tau_E,20.0,100.0,100.0,conditional_on_selected_rank_and_original_time_blocks
B2,3,128,tau_I,87.88278806883646,250.0,250.0,conditional_on_selected_rank_and_original_time_blocks
B2,3,128,tau_S,260.0000000000012,600.0,600.0,conditional_on_selected_rank_and_original_time_blocks
