dataset,fold,lambda_gain,MSE,zero_MSE
A1,0,1.0,2273.593375318946,2559.007773143215
A1,1,0.1,603.1351538713429,268.83902269013544
A1,2,1.0,28164.000623543154,28857.64635675483
A1,3,0.1,2359.7492140829117,1532.4332174978288
A1,4,10.0,10733.906436766907,10854.09266628018
A2,0,10.0,2670.036805546299,2688.4530332073414
A2,1,10.0,2528.6591187156896,2545.648747607843
A2,2,0.1,7290.968025810696,6565.988739404193
A2,3,10.0,1417.9704431225466,1417.9864907716194
A2,4,10.0,22154.00763654432,22184.13420248842
B1,0,10.0,2770.222256688902,2770.9303448558785
B1,1,10.0,9693.457794474436,9630.662345732591
B1,2,10.0,31599.394767676946,31569.005626316484
B1,3,10.0,3248.513681768983,3217.1279041586836
B1,4,10.0,389.6375668968291,380.9189232899665
B2,0,0.1,2959.803110816292,1849.7114604083993
B2,1,1.0,14400.064361842045,14810.067520869356
B2,2,1.0,7777.098940980107,8589.549533544889
B2,3,1.0,24519.318387192307,25123.256124781285
B2,4,1.0,4139.644310753167,4815.052683107518
