dataset,level,stage,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms
VisualCogA_Task-1,0.0,未校正,6.99255373542101e-15,6.122825123198149e-17,7.744925335948343e-15,8.081498433417285e-16,0.0
VisualCogA_Task-1,0.0,V7,15.272789722963493,0.1276620553998605,7.570877899201691,1.5968649461792959,2.1484375
VisualCogA_Task-1,0.5,未校正,19.59358374171818,0.17364614900723427,15.351014333414778,3.6262318190860006,39.817708333333336
VisualCogA_Task-1,0.5,V7,24.063212438771068,0.20884166377257463,17.093986415551633,3.926171141660166,39.296875
VisualCogA_Task-1,1.0,未校正,39.10088977666268,0.3466017258309037,30.678253679816443,6.948922378007169,70.32986111111111
VisualCogA_Task-1,1.0,V7,38.3168169870327,0.3373805466461255,29.65113015616714,6.815510526445186,67.30034722222223
VisualCogA_Task-1,2.0,未校正,78.00137456755122,0.6913560165371607,60.62857266469968,13.466727677649809,84.56163194444444
VisualCogA_Task-1,2.0,V7,69.95424519642997,0.6198059030770828,54.88208730629858,12.399983352736362,82.91232638888889
VisualCogA_Task-2,0.0,未校正,1.258139452611267e-14,7.767014437107331e-17,1.2894080337028058e-14,4.150383740390377e-15,0.0
VisualCogA_Task-2,0.0,V7,17.80875999229147,0.10752590103728085,9.911719668737442,5.873990169325109,0.13020833333333334
VisualCogA_Task-2,0.5,未校正,60.66944112492938,0.36529303906440513,47.666302430106164,16.857441698245232,63.072916666666664
VisualCogA_Task-2,0.5,V7,57.41881449369613,0.3461021625154255,44.871647098654776,14.898889204530555,53.676215277777786
VisualCogA_Task-2,1.0,未校正,121.02490565087034,0.7287740643039677,95.23596737956927,32.084133155305175,90.75954861111111
VisualCogA_Task-2,1.0,V7,108.12409260591795,0.651929269457349,86.21199794670214,27.579067135607644,84.76128472222221
VisualCogA_Task-2,2.0,未校正,241.83088207761648,1.4563284929221223,189.65200715914514,59.273913708587465,104.92621527777779
VisualCogA_Task-2,2.0,V7,211.20837090345222,1.272944371783486,167.92977737802684,50.67239646236658,102.80815972222221
VisualCogB_Task-1,0.0,未校正,1.0746791655469635e-14,7.406734857302898e-17,1.0383107731596793e-14,2.7552034727780968e-15,0.0
VisualCogB_Task-1,0.0,V7,13.081515686822335,0.08935405629395804,5.60195978837299,1.440738186610934,7.1875
VisualCogB_Task-1,0.5,未校正,36.12608367244014,0.2527718740102537,27.31041842143363,7.7755836876656685,47.08767361111111
VisualCogB_Task-1,0.5,V7,36.338168870795094,0.25244060584606803,26.80855898304643,7.572313392003612,46.38888888888889
VisualCogB_Task-1,1.0,未校正,71.95854747118427,0.5035236145219818,54.20628771796473,14.553362671507013,69.87847222222221
VisualCogB_Task-1,1.0,V7,66.59359757529518,0.46392653560498154,50.20898723671613,13.79605854881234,60.80295138888889
VisualCogB_Task-1,2.0,未校正,143.69125943728866,1.0055966038891806,107.50721286340314,29.04602249424538,83.28559027777779
VisualCogB_Task-1,2.0,V7,128.62778143759564,0.8972330993138863,97.35595168119055,26.470549459689174,83.22916666666667
VisualCogB_Task-2,0.0,未校正,1.641145330598406e-14,7.725154584085072e-17,1.387365007225258e-14,4.5907722068250225e-15,0.0
VisualCogB_Task-2,0.0,V7,22.98891157949705,0.10547192358637561,10.107906051196132,4.806633940958847,5.78125
VisualCogB_Task-2,0.5,未校正,70.91429376124879,0.32652152826136066,51.614984621823915,18.885805082213775,43.03819444444444
VisualCogB_Task-2,0.5,V7,68.83923085928082,0.31707781462775775,50.535343963457144,18.515642231970343,44.26215277777778
VisualCogB_Task-2,1.0,未校正,141.21266756694774,0.6501629040722932,102.86398840448791,36.6180284971146,59.78732638888889
VisualCogB_Task-2,1.0,V7,128.94401591827807,0.5941251510583688,95.6065336677703,34.44232120212687,63.21180555555556
VisualCogB_Task-2,2.0,未校正,282.18524991769686,1.2991724765339145,205.5844791521527,66.26461008481895,77.86024305555557
VisualCogB_Task-2,2.0,V7,251.5597958449743,1.158947772704842,187.6330027337178,61.01885166397406,83.92795138888889
