cue,channel,metric,stage,point,low,high,n_trials,n_boot
-1,Fz,proxy_MAE,预处理,1.4378799080561742,1.4025733927909974,7.322227069225022,47,400
-1,Fz,proxy_MAE,V7,1.4517844978121173,1.4230253530736883,6.8615043530713935,47,400
-1,Fz,proxy_MAE,V7减预处理,0.013904589755943109,-0.364050337343565,0.12869368916808718,47,400
-1,Fz,positive_mean,预处理,6.010622705544299,1.8459603251577414,12.968391788074504,47,400
-1,Fz,positive_mean,V7,6.073983101607694,1.9720649487468742,12.555698614232746,47,400
-1,Fz,positive_mean,V7减预处理,0.06336039606339483,-0.2375913676851113,0.3527709678410686,47,400
-1,F3,proxy_MAE,预处理,36.908337153697616,6.701397710330171,74.53415840374392,47,400
-1,F3,proxy_MAE,V7,31.67724868402319,5.768592138858224,63.97571219368094,47,400
-1,F3,proxy_MAE,V7减预处理,-5.231088469674425,-10.746173052945423,-0.9059016175687776,47,400
-1,F3,positive_mean,预处理,0.0,0.0,0.0,47,400
-1,F3,positive_mean,V7,0.0,0.0,0.0,47,400
-1,F3,positive_mean,V7减预处理,0.0,0.0,0.0,47,400
-1,F4,proxy_MAE,预处理,29.87176992186616,2.915118779680474,77.95032321809475,47,400
-1,F4,proxy_MAE,V7,24.994973159461534,3.1003750837936863,67.81587024478888,47,400
-1,F4,proxy_MAE,V7减预处理,-4.876796762404627,-10.62662859697546,1.401383998337134,47,400
-1,F4,positive_mean,预处理,0.0,0.0,9.766611507052142,47,400
-1,F4,positive_mean,V7,0.0,0.0,11.698244382634616,47,400
-1,F4,positive_mean,V7减预处理,0.0,0.0,1.6624442906518326,47,400
1,Fz,proxy_MAE,预处理,7.3843450044566605,2.2621948046901657,15.280839459405016,43,400
1,Fz,proxy_MAE,V7,7.247367289907905,2.18960420823038,15.329350052687616,43,400
1,Fz,proxy_MAE,V7减预处理,-0.13697771454875518,-0.3312026564520485,0.06888876864169961,43,400
1,Fz,positive_mean,预处理,0.9629380783770266,0.0,5.486239352229545,43,400
1,Fz,positive_mean,V7,1.0185210998378835,0.0,5.686524846838735,43,400
1,Fz,positive_mean,V7减预处理,0.05558302146085692,-0.011528867143867636,0.23318255424146758,43,400
1,F3,proxy_MAE,预处理,25.800856291263774,2.622844753021107,88.4299627496205,43,400
1,F3,proxy_MAE,V7,21.839678571073062,2.561282231618887,74.96153632003481,43,400
1,F3,proxy_MAE,V7减预处理,-3.9611777201907117,-13.253323934477137,0.07013892262620733,43,400
1,F3,positive_mean,预处理,24.900090747211014,0.0,87.52919720556777,43,400
1,F3,positive_mean,V7,20.938913027020305,0.0,74.06077077598204,43,400
1,F3,positive_mean,V7减预处理,-3.961177720190708,-13.253323934477153,0.011454856419255678,43,400
1,F4,proxy_MAE,预处理,15.071725561091206,3.8707416891564335,70.92740859870027,43,400
1,F4,proxy_MAE,V7,12.958269963842051,3.566139764792706,61.416806733343385,43,400
1,F4,proxy_MAE,V7减预处理,-2.113455597249155,-9.809489752516747,0.013198533314863588,43,400
1,F4,positive_mean,预处理,19.483218318279405,0.0,75.33890135588844,43,400
1,F4,positive_mean,V7,17.36976272103025,0.0,65.82829949053158,43,400
1,F4,positive_mean,V7减预处理,-2.113455597249157,-9.80948975251679,0.4372554601814314,43,400
