stage,cue,channel,MAE_before,MAE_after,RMSE_before,RMSE_after,corr_before,corr_after,shape_distance_before,shape_distance_after,baseline_RMS_before,baseline_RMS_after,trial_PTP_median_before,trial_PTP_median_after,SNR_proxy_dB_before,SNR_proxy_dB_after,edge_band_ratio_before,edge_band_ratio_after,amp_error_before,amp_error_after,latency_error_before_ms,latency_error_after_ms,P300_positive_mean_before,P300_positive_mean_after,P300_positive_mean_ref,P300_positive_mean_error_before,P300_positive_mean_error_after,P300_AUC_before_unit_ms,P300_AUC_after_unit_ms,P300_AUC_ref_unit_ms,P300_AUC_error_before_unit_ms,P300_AUC_error_after_unit_ms,P300_amp_before,P300_amp_after,P300_lat_before_ms,P300_lat_after_ms,n_trials,positive_peak_valid,reference_positive_peak_valid,latency_error_valid
预处理,-1,Fz,1.4378799080561742,1.4378799080561742,1.743869515220039,1.743869515220039,0.902681658832948,0.902681658832948,0.367481034751723,0.367481034751723,8.280571765521293,8.280571765521293,56.721496401171585,56.721496401171585,-12.091375535806485,-12.091375535806485,0.3292373128055921,0.3292373128055921,3.0456390503078588,3.0456390503078588,3.90625,3.90625,6.010622705544299,6.010622705544299,6.442878727223672,0.4322560216793727,0.4322560216793727,1509.2383328552264,1509.2383328552264,1614.1430258130813,104.90469295785488,104.90469295785488,10.77290687788351,10.77290687788351,332.03125,332.03125,47,True,True,True
预处理,-1,F3,36.908337153697616,36.908337153697616,37.60726766621129,37.60726766621129,0.2791512126085574,0.2791512126085574,0.9213129819753977,0.9213129819753977,15.903744380298956,15.903744380298956,119.75340174967883,119.75340174967883,-8.225959913513034,-8.225959913513034,0.4578360635621094,0.4578360635621094,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,47,False,False,False
预处理,-1,F4,29.87176992186616,29.87176992186616,30.379638879018124,30.379638879018124,0.4386027722357231,0.4386027722357231,0.7644252052011856,0.7644252052011856,17.5112076781341,17.5112076781341,130.3100902082072,130.3100902082072,-13.924512213777525,-13.924512213777525,0.4779969440533812,0.4779969440533812,,,,,0.0,0.0,1.4260137671668154,1.4260137671668154,1.4260137671668154,0.0,0.0,361.0998131442914,361.0998131442914,361.0998131442914,,,,,47,False,True,False
预处理,1,Fz,7.3843450044566605,7.3843450044566605,7.6661815978904535,7.6661815978904535,0.8923971394470832,0.8923971394470832,0.3887541004741959,0.3887541004741959,8.61306126828685,8.61306126828685,62.15997295261426,62.15997295261426,-16.087896199287357,-16.087896199287357,0.26581367559723224,0.26581367559723224,11.65687008818778,11.65687008818778,3.90625,3.90625,0.9629380783770266,0.9629380783770266,6.136678979004757,5.17374090062773,5.17374090062773,244.49599646291693,244.49599646291693,1549.1037440079608,1304.6077475450438,1304.6077475450438,3.9976811704353983,3.9976811704353983,355.46875,355.46875,43,True,True,True
预处理,1,F3,25.800856291263774,25.800856291263774,25.990610907556835,25.990610907556835,0.6947537328432428,0.6947537328432428,0.603119098416055,0.603119098416055,17.21720754913732,17.21720754913732,123.67387133058631,123.67387133058631,-17.19254599983222,-17.19254599983222,0.4610984349399919,0.4610984349399919,22.680227120206034,22.680227120206034,7.8125,7.8125,24.900090747211014,24.900090747211014,1.3626254665568855,23.53746528065413,23.53746528065413,6238.96991403474,6238.96991403474,345.9791223679593,5892.990791666781,5892.990791666781,28.721425259512962,28.721425259512962,355.46875,355.46875,43,True,True,True
预处理,1,F4,15.071725561091206,15.071725561091206,15.570110490049336,15.570110490049336,0.49940412423367353,0.49940412423367353,0.8687882251571856,0.8687882251571856,17.211957123666835,17.211957123666835,133.87011369429297,133.87011369429297,-17.778105697729988,-17.778105697729988,0.45717803402618656,0.45717803402618656,9.84496639075756,9.84496639075756,27.34375,27.34375,19.483218318279405,19.483218318279405,4.789210624742282,14.694007693537124,14.694007693537124,4889.113515447951,4889.113515447951,1199.8700085262785,3689.243506921672,3689.243506921672,24.083519290915582,24.083519290915582,355.46875,355.46875,43,True,True,True
V7,-1,Fz,1.4378799080561742,1.4517844978121173,1.743869515220039,1.7814161483145112,0.902681658832948,0.8951422211948183,0.367481034751723,0.38146078926182436,8.280571765521293,8.155244860802567,56.721496401171585,55.862821099053086,-12.091375535806485,-11.748997953105684,0.3292373128055921,0.31301557829524096,3.0456390503078588,2.9353966808698306,3.90625,3.90625,6.010622705544299,6.073983101607694,6.442878727223672,0.4322560216793727,0.3688956256159779,1509.2383328552264,1525.6020665623246,1614.1430258130813,104.90469295785488,88.54095925075671,10.77290687788351,10.883149247321539,332.03125,332.03125,47,True,True,True
V7,-1,F3,36.908337153697616,31.67724868402319,37.60726766621129,32.294661305656916,0.2791512126085574,0.2985729087673568,0.9213129819753977,0.9122227857493598,15.903744380298956,14.926149341337357,119.75340174967883,117.82253308806722,-8.225959913513034,-8.040490456237887,0.4578360635621094,0.4318643243928686,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,47,False,False,False
V7,-1,F4,29.87176992186616,24.994973159461534,30.379638879018124,25.446997072865333,0.4386027722357231,0.47735349015429074,0.7644252052011856,0.7370851519245991,17.5112076781341,16.495876210519842,130.3100902082072,126.41334178824181,-13.924512213777525,-14.471375617466242,0.4779969440533812,0.459272328122145,,,,,0.0,0.0,1.4260137671668154,1.4260137671668154,1.4260137671668154,0.0,0.0,361.0998131442914,361.0998131442914,361.0998131442914,,,,,47,False,True,False
V7,1,Fz,7.3843450044566605,7.247367289907905,7.6661815978904535,7.531254389306183,0.8923971394470832,0.8938977031496792,0.3887541004741959,0.3873726154151172,8.61306126828685,8.49523065556084,62.15997295261426,63.86018537641272,-16.087896199287357,-16.06899355467561,0.26581367559723224,0.26243039029524495,11.65687008818778,11.49772609218958,3.90625,3.90625,0.9629380783770266,1.0185210998378835,6.136678979004757,5.17374090062773,5.118157879166874,244.49599646291693,258.6088730057126,1549.1037440079608,1304.6077475450438,1290.4948710022481,3.9976811704353983,4.156825166433599,355.46875,355.46875,43,True,True,True
