stage,cue,channel,MAE_before,MAE_after,RMSE_before,RMSE_after,corr_before,corr_after,shape_distance_before,shape_distance_after,baseline_RMS_before,baseline_RMS_after,trial_PTP_median_before,trial_PTP_median_after,SNR_proxy_dB_before,SNR_proxy_dB_after,edge_band_ratio_before,edge_band_ratio_after,amp_error_before,amp_error_after,latency_error_before_ms,latency_error_after_ms,P300_positive_mean_before,P300_positive_mean_after,P300_positive_mean_ref,P300_positive_mean_error_before,P300_positive_mean_error_after,P300_AUC_before_unit_ms,P300_AUC_after_unit_ms,P300_AUC_ref_unit_ms,P300_AUC_error_before_unit_ms,P300_AUC_error_after_unit_ms,P300_amp_before,P300_amp_after,P300_lat_before_ms,P300_lat_after_ms,n_trials,positive_peak_valid,reference_positive_peak_valid,latency_error_valid
预处理,-1,Fz,17.947278520834317,17.947278520834317,18.3903280543867,18.3903280543867,0.7248033487260019,0.7248033487260019,0.6113249129670337,0.6113249129670337,15.642324848503597,15.642324848503597,189.31867385285858,189.31867385285858,-13.474512538281871,-13.474512538281871,0.41462942150257565,0.41462942150257565,17.47062758639882,17.47062758639882,0.0,0.0,22.4732857534632,22.4732857534632,4.955168426622109,17.51811732684109,17.51811732684109,5620.060049416007,5620.060049416007,1223.3485082511777,4396.711541164829,4396.711541164829,35.28808682266995,35.28808682266995,500.0,500.0,53,True,True,True
预处理,-1,F3,21.115440272673407,21.115440272673407,22.14809638550001,22.14809638550001,0.7697339684991937,0.7697339684991937,0.6052246966878805,0.6052246966878805,27.709190709088382,27.709190709088382,236.97626850775188,236.97626850775188,-19.507748509820807,-19.507748509820807,0.6010670330692296,0.6010670330692296,19.2967022323839,19.2967022323839,0.0,0.0,23.28412939915802,23.28412939915802,5.552890046811535,17.731239352346485,17.731239352346485,5820.291750170889,5820.291750170889,1376.087969264467,4444.203780906422,4444.203780906422,36.61536805447644,36.61536805447644,500.0,500.0,53,True,True,True
预处理,-1,F4,26.80332754755946,26.80332754755946,27.394676050308206,27.394676050308206,0.7040922807741968,0.7040922807741968,0.6252738167633964,0.6252738167633964,22.063902438886792,22.063902438886792,254.74243444976833,254.74243444976833,-12.364848890471734,-12.364848890471734,0.5083339580917777,0.5083339580917777,18.740782610055625,18.740782610055625,15.625,15.625,40.242318897579494,40.242318897579494,13.438991350020038,26.803327547559455,26.803327547559455,10061.089822929815,10061.089822929815,3345.820166145116,6715.269656784698,6715.269656784698,54.11522430337565,54.11522430337565,500.0,500.0,53,True,True,True
预处理,1,Fz,47.31822103165687,47.31822103165687,47.52810026587224,47.52810026587224,0.8489253126024967,0.8489253126024967,0.45780611219828365,0.45780611219828365,15.998610401051229,15.998610401051229,227.07592238480788,227.07592238480788,-4.025394513543341,-4.025394513543341,0.4297331351970555,0.4297331351970555,52.31525384655245,52.31525384655245,7.8125,7.8125,53.80453116640994,53.80453116640994,7.039052703466898,46.76547846294304,46.76547846294304,13450.87012737439,13450.87012737439,1756.5858082373975,11694.284319136992,11694.284319136992,70.29353928233476,70.29353928233476,500.0,500.0,42,True,True,True
预处理,1,F3,87.35152841218773,87.35152841218773,87.78414310036287,87.78414310036287,0.8790070039403994,0.8790070039403994,0.4238359795544181,0.4238359795544181,25.107444935052037,25.107444935052037,284.9749541363707,284.9749541363707,-3.825243818207933,-3.825243818207933,0.5148663750883712,0.5148663750883712,98.34436370423941,98.34436370423941,27.34375,27.34375,98.3614203540861,98.3614203540861,11.038317149006682,87.32310320507942,87.32310320507942,24586.558793172368,24586.558793172368,2761.634050586261,21824.924742586107,21824.924742586107,126.48453577022337,126.48453577022337,500.0,500.0,42,True,True,True
预处理,1,F4,64.85665192932893,64.85665192932893,65.74078660298105,65.74078660298105,0.44066358022486923,0.44066358022486923,0.8084612111616462,0.8084612111616462,21.04530345868848,21.04530345868848,334.99000952951434,334.99000952951434,-2.9159377959180866,-2.9159377959180866,0.4974699539557782,0.4974699539557782,72.57134451188978,72.57134451188978,39.0625,39.0625,79.68445966662283,79.68445966662283,14.8278077372939,64.85665192932893,64.85665192932893,19922.938177764263,19922.938177764263,3746.226406226424,16176.711771537839,16176.711771537839,101.51811425791439,101.51811425791439,500.0,500.0,42,True,True,True
V7,-1,Fz,17.947278520834317,15.992114252304576,18.3903280543867,16.45363025087079,0.7248033487260019,0.7231902766923072,0.6113249129670337,0.6129931504380359,15.642324848503597,15.243771336864894,189.31867385285858,189.31867385285858,-13.474512538281871,-13.287829643893428,0.41462942150257565,0.40605423754197606,17.47062758639882,14.777343173229355,0.0,0.0,22.4732857534632,20.51812148493346,4.955168426622109,17.51811732684109,15.56295305831135,5620.060049416007,5131.511480373878,1223.3485082511777,4396.711541164829,3908.1629721227,35.28808682266995,32.59480240950049,500.0,500.0,53,True,True,True
V7,-1,F3,21.115440272673407,18.455329866288583,22.14809638550001,19.644337987205894,0.7697339684991937,0.7785419495382698,0.6052246966878805,0.5909012917352684,27.709190709088382,26.647425324510955,236.97626850775188,236.22072653325347,-19.507748509820807,-19.483900343544224,0.6010670330692296,0.5736639708201964,19.2967022323839,15.561822111099112,0.0,0.0,23.28412939915802,20.6240189927732,5.552890046811535,17.731239352346485,15.071128945961664,5820.291750170889,5155.6908789605295,1376.087969264467,4444.203780906422,3779.602909696063,36.61536805447644,32.88048793319165,500.0,500.0,53,True,True,True
V7,-1,F4,26.80332754755946,23.53987330097717,27.394676050308206,24.220818466388867,0.7040922807741968,0.6964732811259553,0.6252738167633964,0.6396228303207399,22.063902438886792,21.206513692782437,254.74243444976833,248.66437042413494,-12.364848890471734,-11.931548682187794,0.5083339580917777,0.49119768776529377,18.740782610055625,14.214911873606951,15.625,15.625,40.242318897579494,36.97886465099721,13.438991350020038,26.803327547559455,23.53987330097717,10061.089822929815,9245.289794339438,3345.820166145116,6715.269656784698,5899.469628194322,54.11522430337565,49.589353566926974,500.0,500.0,53,True,True,True
V7,1,Fz,47.31822103165687,42.87658020571382,47.52810026587224,43.08624017201486,0.8489253126024967,0.8467852597184838,0.45780611219828365,0.46174430898558094,15.998610401051229,15.38047362555561,227.07592238480788,210.95616841468757,-4.025394513543341,-4.187946803190833,0.4297331351970555,0.41417289311832595,52.31525384655245,47.53365730085895,7.8125,7.8125,53.80453116640994,49.36289034046689,7.039052703466898,46.76547846294304,42.32383763699999,13450.87012737439,12339.851656751205,1756.5858082373975,11694.284319136992,10583.265848513807,70.29353928233476,65.51194273664126,500.0,500.0,42,True,True,True
