stage,cue,channel,MAE_before,MAE_after,RMSE_before,RMSE_after,corr_before,corr_after,shape_distance_before,shape_distance_after,baseline_RMS_before,baseline_RMS_after,trial_PTP_median_before,trial_PTP_median_after,SNR_proxy_dB_before,SNR_proxy_dB_after,edge_band_ratio_before,edge_band_ratio_after,amp_error_before,amp_error_after,latency_error_before_ms,latency_error_after_ms,P300_positive_mean_before,P300_positive_mean_after,P300_positive_mean_ref,P300_positive_mean_error_before,P300_positive_mean_error_after,P300_AUC_before_unit_ms,P300_AUC_after_unit_ms,P300_AUC_ref_unit_ms,P300_AUC_error_before_unit_ms,P300_AUC_error_after_unit_ms,P300_amp_before,P300_amp_after,P300_lat_before_ms,P300_lat_after_ms,n_trials,positive_peak_valid,reference_positive_peak_valid,latency_error_valid
预处理,-1,Fz,8.731994537298469,8.731994537298469,9.076135939027905,9.076135939027905,0.8679729004117717,0.8679729004117717,0.4238424412190858,0.4238424412190858,18.68157036567333,18.68157036567333,157.13831814510368,157.13831814510368,-30.224465708112763,-30.224465708112763,0.3340411949391091,0.3340411949391091,13.315863243732636,13.315863243732636,0.0,0.0,1.003573738157463,1.003573738157463,7.097991925296696,6.094418187139233,6.094418187139233,254.81364445404333,254.81364445404333,1783.8848532128231,1529.07120875878,1529.07120875878,4.700880828037939,4.700880828037939,355.46875,355.46875,46,True,True,True
预处理,-1,F3,6.399960781887919,6.399960781887919,7.157354009395148,7.157354009395148,0.7830458733127756,0.7830458733127756,0.57157163511906,0.57157163511906,22.028942097447093,22.028942097447093,172.46586410151602,172.46586410151602,-25.47726474623492,-25.47726474623492,0.5652404009447999,0.5652404009447999,2.4973047880236408,2.4973047880236408,136.71875,136.71875,9.173229718362187,9.173229718362187,4.2169613172333,4.956268401128887,4.956268401128887,2292.9297444964636,2292.9297444964636,1058.4148923047833,1234.5148521916803,1234.5148521916803,18.036948074723014,18.036948074723014,500.0,500.0,46,True,True,True
预处理,-1,F4,31.213390792179915,31.213390792179915,31.967333530573416,31.967333530573416,-0.2748693685502885,-0.2748693685502885,1.3364452313864474,1.3364452313864474,19.717563938158406,19.717563938158406,155.59356885859216,155.59356885859216,-12.039086070007093,-12.039086070007093,0.45690742543739776,0.45690742543739776,35.91986772722976,35.91986772722976,179.6875,179.6875,41.88392537395796,41.88392537395796,10.670534581778043,31.213390792179915,31.213390792179915,10475.06294007194,10475.06294007194,2668.83922882738,7806.223711244561,7806.223711244561,52.93197712156464,52.93197712156464,500.0,500.0,46,True,True,True
预处理,1,Fz,14.514680194713838,14.514680194713838,14.9788134972433,14.9788134972433,0.6407526026502278,0.6407526026502278,0.673213277624766,0.673213277624766,21.812171748969558,21.812171748969558,165.3663532959017,165.3663532959017,-19.726363333007082,-19.726363333007082,0.3619279584431658,0.3619279584431658,7.139180435924228,7.139180435924228,7.8125,7.8125,18.459606519839472,18.459606519839472,4.33993792582733,14.119668594012142,14.119668594012142,4620.170119277694,4620.170119277694,1086.1614629517287,3534.0086563259647,3534.0086563259647,23.002938018630996,23.002938018630996,328.125,328.125,48,True,True,True
预处理,1,F3,19.578142257878447,19.578142257878447,19.76945228437853,19.76945228437853,0.6438308961060837,0.6438308961060837,0.7253433667761574,0.7253433667761574,19.78454782305008,19.78454782305008,146.17983564265586,146.17983564265586,-21.996144617458878,-21.996144617458878,0.515243323380248,0.515243323380248,,,,,0.0,0.0,8.399518984481444,8.399518984481444,8.399518984481444,0.0,0.0,2112.249871877768,2112.249871877768,2112.249871877768,,,,,48,False,True,False
预处理,1,F4,7.032351836629794,7.032351836629794,7.5731645327942525,7.5731645327942525,0.8460855541826706,0.8460855541826706,0.43196051281149517,0.43196051281149517,20.52475815818411,20.52475815818411,155.07438348548231,155.07438348548231,-26.532640602896215,-26.532640602896215,0.47989255561460525,0.47989255561460525,8.069279721879223,8.069279721879223,11.71875,11.71875,0.07328523320838871,0.07328523320838871,3.0533718834666153,2.9800866502582264,2.9800866502582264,18.607578744317443,18.607578744317443,764.4430460068086,745.8354672624911,745.8354672624911,1.0737475405933548,1.0737475405933548,324.21875,324.21875,48,True,True,True
V7,-1,Fz,8.731994537298469,8.43627492085506,9.076135939027905,8.79846988596652,0.8679729004117717,0.8647711282758024,0.4238424412190858,0.431466258260172,18.68157036567333,18.534934735711303,157.13831814510368,157.03424427744207,-30.224465708112763,-30.455579794861272,0.3340411949391091,0.33519634854215036,13.315863243732636,12.962235916476015,0.0,3.90625,1.003573738157463,1.1208835583583903,7.097991925296696,6.094418187139233,5.977108366938305,254.81364445404333,284.599340989435,1783.8848532128231,1529.07120875878,1499.2855122233882,4.700880828037939,5.0545081552945605,355.46875,351.5625,46,True,True,True
V7,-1,F3,6.399960781887919,5.947690721400664,7.157354009395148,6.677619692073335,0.7830458733127756,0.8091224583593374,0.57157163511906,0.536928340242287,22.028942097447093,20.92358580335844,172.46586410151602,170.68494954079574,-25.47726474623492,-25.34969709015822,0.5652404009447999,0.5402994419919659,2.4973047880236408,1.38469440798141,136.71875,136.71875,9.173229718362187,8.705965241816841,4.2169613172333,4.956268401128887,4.489003924583542,2292.9297444964636,2176.4590495599027,1058.4148923047833,1234.5148521916803,1118.0441572551194,18.036948074723014,16.924337694680784,500.0,500.0,46,True,True,True
V7,-1,F4,31.213390792179915,29.329490547473533,31.967333530573416,30.059284867009232,-0.2748693685502885,-0.2617112451170134,1.3364452313864474,1.3275061957905865,19.717563938158406,18.71160941852591,155.59356885859216,154.49636950732105,-12.039086070007093,-11.688023899906606,0.45690742543739776,0.42906231623967955,35.91986772722976,33.056972877734935,179.6875,179.6875,41.88392537395796,40.000025129251576,10.670534581778043,31.213390792179915,29.329490547473533,10475.06294007194,10004.549652855323,2668.83922882738,7806.223711244561,7335.710424027943,52.93197712156464,50.06908227206982,500.0,500.0,46,True,True,True
V7,1,Fz,14.514680194713838,14.102118269638693,14.9788134972433,14.585467540880007,0.6407526026502278,0.6358699962329848,0.673213277624766,0.6826361764222932,21.812171748969558,21.638823291257697,165.3663532959017,163.23089844876614,-19.726363333007082,-19.871936034563817,0.3619279584431658,0.3678177067069206,7.139180435924228,6.645993568539087,7.8125,7.8125,18.459606519839472,18.047044594764333,4.33993792582733,14.119668594012142,13.707106668937003,4620.170119277694,4516.1271693003755,1086.1614629517287,3534.0086563259647,3429.9657063486466,23.002938018630996,22.509751151245855,328.125,328.125,48,True,True,True
