cue,channel,metric,stage,point,low,high,n_trials,n_boot
-1,Fz,proxy_MAE,预处理,7.409107691129003,6.356447015040438,65.61020097155696,45,400
-1,Fz,proxy_MAE,V7,7.272610060373309,5.96373974436377,57.468356258396426,45,400
-1,Fz,proxy_MAE,V7减预处理,-0.13649763075569332,-7.85249679964509,0.8566945028776024,45,400
-1,Fz,positive_mean,预处理,43.24079155947034,0.0005668963768417454,100.19344709215986,45,400
-1,Fz,positive_mean,V7,43.50546484223496,0.5695704015042679,92.54339095817976,45,400
-1,Fz,positive_mean,V7减预处理,0.264673282764619,-6.02195514462618,4.94645424739253,45,400
-1,F3,proxy_MAE,预处理,28.522965666912174,4.62771456255033,103.6188668891696,45,400
-1,F3,proxy_MAE,V7,28.257679666531768,4.7267400051161195,96.25682932429844,45,400
-1,F3,proxy_MAE,V7减预处理,-0.2652860003804065,-10.833693249961017,2.590549500671264,45,400
-1,F3,positive_mean,预处理,16.00866794540986,0.0,91.10456916766731,45,400
-1,F3,positive_mean,V7,15.743381945029451,0.0,83.74253160279612,45,400
-1,F3,positive_mean,V7减预处理,-0.26528600038041006,-9.177354535273041,1.9817730420731101,45,400
-1,F4,proxy_MAE,预处理,7.936598300251659,3.870647086221662,89.97464956320806,45,400
-1,F4,proxy_MAE,V7,8.736487751126626,4.041687079366031,79.05938101088266,45,400
-1,F4,proxy_MAE,V7减预处理,0.799889450874967,-11.110928772536644,2.3939861850799673,45,400
-1,F4,positive_mean,预处理,38.91592250053029,0.0,117.39749615502438,45,400
-1,F4,positive_mean,V7,39.71581195140526,0.0,107.2709423919012,45,400
-1,F4,positive_mean,V7减预处理,0.7998894508749643,-8.791303305386917,5.305277195498633,45,400
1,Fz,proxy_MAE,预处理,39.50868756626549,7.2334662156799885,69.87850174189887,47,400
1,Fz,proxy_MAE,V7,35.218657029909814,6.8980243802296695,61.3395987239624,47,400
1,Fz,proxy_MAE,V7减预处理,-4.29003053635568,-8.420791659960262,-0.03569084158235687,47,400
1,Fz,positive_mean,预处理,62.58358330814852,27.99751260086224,92.9533974837819,47,400
1,Fz,positive_mean,V7,58.29355277179284,27.25330628901402,84.41449446584544,47,400
1,Fz,positive_mean,V7减预处理,-4.29003053635568,-8.420791659960246,0.21215251923118847,47,400
1,F3,proxy_MAE,预处理,80.66951453671176,21.34675661546243,139.14624420587194,47,400
1,F3,proxy_MAE,V7,73.08744267794835,20.553676501689875,125.37670390652877,47,400
1,F3,proxy_MAE,V7减预处理,-7.582071858763413,-14.785832214259045,-0.6111974260384033,47,400
1,F3,positive_mean,预处理,57.0238637165375,0.747615559255559,115.50059338569768,47,400
1,F3,positive_mean,V7,49.44179185777408,0.3655867115958203,101.73105308635458,47,400
1,F3,positive_mean,V7减预处理,-7.58207185876342,-14.785832214259033,-0.015693123383876535,47,400
1,F4,proxy_MAE,预处理,63.007142575116326,8.038332356777046,111.19832077748622,47,400
1,F4,proxy_MAE,V7,55.99640805998533,7.563561256255212,99.81912256872099,47,400
1,F4,proxy_MAE,V7减预处理,-7.0107345151309985,-13.26322530198011,-0.42842504180951546,47,400
1,F4,positive_mean,预处理,83.26184617470396,25.65000062924084,131.4530243770739,47,400
1,F4,positive_mean,V7,76.25111165957296,24.478232978467037,120.07382616830863,47,400
1,F4,positive_mean,V7减预处理,-7.010734515131006,-13.263225301980125,-0.31230762072981816,47,400
