stage,cue,channel,MAE_before,MAE_after,RMSE_before,RMSE_after,corr_before,corr_after,shape_distance_before,shape_distance_after,baseline_RMS_before,baseline_RMS_after,trial_PTP_median_before,trial_PTP_median_after,SNR_proxy_dB_before,SNR_proxy_dB_after,edge_band_ratio_before,edge_band_ratio_after,amp_error_before,amp_error_after,latency_error_before_ms,latency_error_after_ms,P300_positive_mean_before,P300_positive_mean_after,P300_positive_mean_ref,P300_positive_mean_error_before,P300_positive_mean_error_after,P300_AUC_before_unit_ms,P300_AUC_after_unit_ms,P300_AUC_ref_unit_ms,P300_AUC_error_before_unit_ms,P300_AUC_error_after_unit_ms,P300_amp_before,P300_amp_after,P300_lat_before_ms,P300_lat_after_ms,n_trials,positive_peak_valid,reference_positive_peak_valid,latency_error_valid
预处理,-1,Fz,7.409107691129003,7.409107691129003,9.43199059607416,9.43199059607416,0.6934539088067446,0.6934539088067446,0.6047260188414859,0.6047260188414859,24.11923466889067,24.11923466889067,272.8891012901373,272.8891012901373,-12.878653078429734,-12.878653078429734,0.5002880203078818,0.5002880203078818,13.565541808432897,13.565541808432897,35.15625,35.15625,43.24079155947034,43.24079155947034,37.03655211774134,6.204239441729001,6.204239441729001,10792.31652725671,10792.31652725671,9298.209637218994,1494.1068900377159,1494.1068900377159,64.01711177825302,64.01711177825302,500.0,500.0,45,True,True,True
预处理,-1,F3,28.522965666912174,28.522965666912174,29.752934484751645,29.752934484751645,-0.07628064760715286,-0.07628064760715286,1.059711506859284,1.059711506859284,32.43194519804154,32.43194519804154,262.2013974384313,262.2013974384313,-24.126673394159333,-24.126673394159333,0.5564555193593741,0.5564555193593741,26.469951001769886,26.469951001769886,230.46875,230.46875,16.00866794540986,16.00866794540986,0.03763472080770957,15.971033224602152,15.971033224602152,3984.070750164757,3984.070750164757,9.555690830082508,3974.515059334675,3974.515059334675,27.918198732761482,27.918198732761482,500.0,500.0,45,True,True,True
预处理,-1,F4,7.936598300251659,7.936598300251659,9.367521674177812,9.367521674177812,0.4440993617529616,0.4440993617529616,0.8982226749749422,0.8982226749749422,32.72932892511008,32.72932892511008,322.6265122412493,322.6265122412493,-17.075323915042897,-17.075323915042897,0.5878344043304496,0.5878344043304496,19.581883373447532,19.581883373447532,0.0,0.0,38.91592250053029,38.91592250053029,30.979324200278633,7.93659830025166,7.93659830025166,9708.820478602116,9708.820478602116,7746.848667675829,1961.9718109262867,1961.9718109262867,57.81872992469646,57.81872992469646,500.0,500.0,45,True,True,True
预处理,1,Fz,39.50868756626549,39.50868756626549,41.07174387586077,41.07174387586077,-0.28681967774773454,-0.28681967774773454,1.3415516795168583,1.3415516795168583,19.13667650554152,19.13667650554152,229.1868093693089,229.1868093693089,-5.766978217084809,-5.766978217084809,0.4109828078613983,0.4109828078613983,50.89139268106543,50.89139268106543,0.0,0.0,62.58358330814852,62.58358330814852,23.074895741883026,39.50868756626549,39.50868756626549,15641.275238751856,15641.275238751856,5746.226837377919,9895.048401373937,9895.048401373937,82.53145812268455,82.53145812268455,500.0,500.0,47,True,True,True
预处理,1,F3,80.66951453671176,80.66951453671176,81.41533285376777,81.41533285376777,-0.4124891594717856,-0.4124891594717856,1.4965257587094696,1.4965257587094696,28.57568419980339,28.57568419980339,236.31463383253742,236.31463383253742,-11.274732743700902,-11.274732743700902,0.5391054386080097,0.5391054386080097,,,,,57.0238637165375,57.0238637165375,0.0,57.0238637165375,57.0238637165375,14253.159715015576,14253.159715015576,0.0,14253.159715015576,14253.159715015576,72.99518676045574,72.99518676045574,500.0,500.0,47,True,False,False
预处理,1,F4,63.007142575116326,63.007142575116326,64.67808256923416,64.67808256923416,-0.49132894952715234,-0.49132894952715234,1.4264743584702824,1.4264743584702824,24.86272795257552,24.86272795257552,310.50675478289554,310.50675478289554,-7.363699923913662,-7.363699923913662,0.5347154675061417,0.5347154675061417,86.48639661063768,86.48639661063768,152.34375,152.34375,83.26184617470396,83.26184617470396,20.25470359958764,63.00714257511632,63.00714257511632,20808.742164832358,20808.742164832358,5076.434074039918,15732.30809079244,15732.30809079244,110.98348339407227,110.98348339407227,500.0,500.0,47,True,True,True
V7,-1,Fz,7.409107691129003,7.272610060373309,9.43199059607416,9.25019806704608,0.6934539088067446,0.7499899649843719,0.6047260188414859,0.5338726630520212,24.11923466889067,23.07071863322658,272.8891012901373,255.82422118616088,-12.878653078429734,-11.777240568433838,0.5002880203078818,0.49469809709813894,13.565541808432897,11.88716230581403,35.15625,35.15625,43.24079155947034,43.50546484223496,37.03655211774134,6.204239441729001,6.46891272449362,10792.31652725671,10863.937825079982,9298.209637218994,1494.1068900377159,1565.7281878609883,64.01711177825302,62.33873227563416,500.0,500.0,45,True,True,True
V7,-1,F3,28.522965666912174,28.257679666531768,29.752934484751645,29.35926793164268,-0.07628064760715286,-0.010100707180945115,1.059711506859284,1.0840340168576752,32.43194519804154,31.035831446112834,262.2013974384313,259.80899632175317,-24.126673394159333,-23.218963382750086,0.5564555193593741,0.5314874399945694,26.469951001769886,23.07839453565849,230.46875,230.46875,16.00866794540986,15.743381945029451,0.03763472080770957,15.971033224602152,15.705747224221742,3984.070750164757,3924.244290746664,9.555690830082508,3974.515059334675,3914.6885999165816,27.918198732761482,24.526642266650086,500.0,500.0,45,True,True,True
V7,-1,F4,7.936598300251659,8.736487751126626,9.367521674177812,9.896207762525625,0.4440993617529616,0.4577686472097558,0.8982226749749422,0.8933340112640972,32.72932892511008,31.230961803629906,322.6265122412493,322.1163302994292,-17.075323915042897,-15.82574574812202,0.5878344043304496,0.5729588296123252,19.581883373447532,17.659226578856014,0.0,0.0,38.91592250053029,39.71581195140526,30.979324200278633,7.93659830025166,8.736487751126624,9708.820478602116,9915.970318054347,7746.848667675829,1961.9718109262867,2169.121650378518,57.81872992469646,55.896073130104945,500.0,500.0,45,True,True,True
V7,1,Fz,39.50868756626549,35.218657029909814,41.07174387586077,36.87012156114416,-0.28681967774773454,-0.270572728026079,1.3415516795168583,1.3297227765275674,19.13667650554152,18.395644156132477,229.1868093693089,230.19487133574972,-5.766978217084809,-5.297751767699099,0.4109828078613983,0.4113000843387419,50.89139268106543,46.84689771521774,0.0,0.0,62.58358330814852,58.29355277179284,23.074895741883026,39.50868756626549,35.218657029909814,15641.275238751856,14566.964441187793,5746.226837377919,9895.048401373937,8820.737603809874,82.53145812268455,78.48696315683686,500.0,500.0,47,True,True,True
