dataset,stage,cue,channel,n_trials,late_minus_early,mean_pre_slope
VisualCogA_Task-1,预处理,-1,Fz,47,11.331021832679653,0.01317859601203897
VisualCogA_Task-1,预处理,-1,F3,47,-35.71578679954537,-0.0912434396213704
VisualCogA_Task-1,预处理,-1,F4,47,-16.67614327133432,-0.06691094104161076
VisualCogA_Task-1,预处理,1,Fz,43,2.75549165141688,-0.014809289425869619
VisualCogA_Task-1,预处理,1,F3,43,18.971392875298328,0.055028621150536125
VisualCogA_Task-1,预处理,1,F4,43,10.06649823734896,0.04236735384514008
VisualCogA_Task-1,V7,-1,Fz,47,11.33862611498668,0.012587879370262758
VisualCogA_Task-1,V7,-1,F3,47,-29.673521382259988,-0.08489608858974726
VisualCogA_Task-1,V7,-1,F4,47,-12.158476239389415,-0.060149389101980796
VisualCogA_Task-1,V7,1,Fz,43,3.0178409422114725,-0.014249130124331086
VisualCogA_Task-1,V7,1,F3,43,16.686851655277145,0.04320144058279466
VisualCogA_Task-1,V7,1,F4,43,9.632032883005763,0.034578604341045184
VisualCogA_Task-2,预处理,-1,Fz,53,103.31525289783528,0.03981125072938039
VisualCogA_Task-2,预处理,-1,F3,53,85.04911355586381,0.087741568237782
VisualCogA_Task-2,预处理,-1,F4,53,130.6208542661347,0.08175267309316625
VisualCogA_Task-2,预处理,1,Fz,42,141.64215072295642,0.09032024649196468
VisualCogA_Task-2,预处理,1,F3,42,169.06420197769,0.18222764597029664
VisualCogA_Task-2,预处理,1,F4,42,188.14538152411038,0.1402182745551818
VisualCogA_Task-2,V7,-1,Fz,53,99.77418945429551,0.03744494288564671
VisualCogA_Task-2,V7,-1,F3,53,81.35583119400935,0.08020174835207726
VisualCogA_Task-2,V7,-1,F4,53,125.14517882233832,0.07661590442571482
VisualCogA_Task-2,V7,1,Fz,42,133.05534901067043,0.08456352858877111
VisualCogA_Task-2,V7,1,F3,42,153.46277335792098,0.1734591196200263
VisualCogA_Task-2,V7,1,F4,42,174.29245749319273,0.13236781461066655
VisualCogB_Task-1,预处理,-1,Fz,46,11.028624908531977,0.006738896114610133
VisualCogB_Task-1,预处理,-1,F3,46,52.10251332930884,0.012745330445453167
VisualCogB_Task-1,预处理,-1,F4,46,75.38613320016145,0.06536276384803279
VisualCogB_Task-1,预处理,1,Fz,48,36.76365066924089,0.04493210522982697
VisualCogB_Task-1,预处理,1,F3,48,12.809468360548262,-0.021739066293959042
VisualCogB_Task-1,预处理,1,F4,48,20.412232858442422,-0.005339360050870837
VisualCogB_Task-1,V7,-1,Fz,46,11.388061114783689,0.007457716725911486
VisualCogB_Task-1,V7,-1,F3,46,48.10770959759617,0.00759388789994937
VisualCogB_Task-1,V7,-1,F4,46,70.86652682443075,0.058904232985117974
VisualCogB_Task-1,V7,1,Fz,48,36.745150912114205,0.04397613695454567
VisualCogB_Task-1,V7,1,F3,48,14.831973650778236,-0.01746501470924682
VisualCogB_Task-1,V7,1,F4,48,22.437957847337856,-0.002162990052768867
VisualCogB_Task-2,预处理,-1,Fz,45,119.32167806641229,0.11321874585232554
VisualCogB_Task-2,预处理,-1,F3,45,58.71423097629699,0.08796431983850697
VisualCogB_Task-2,预处理,-1,F4,45,128.9071787754364,0.138032179783996
VisualCogB_Task-2,预处理,1,Fz,47,147.9388316474736,0.1447699318686431
VisualCogB_Task-2,预处理,1,F3,47,115.61285408719577,0.1617738904485971
VisualCogB_Task-2,预处理,1,F4,47,196.33054382218904,0.164889469741566
VisualCogB_Task-2,V7,-1,Fz,45,118.55015260498087,0.11569142826475673
VisualCogB_Task-2,V7,-1,F3,45,55.053042147433025,0.0907993511339693
VisualCogB_Task-2,V7,-1,F4,45,126.19744037473296,0.14238535819746867
VisualCogB_Task-2,V7,1,Fz,47,144.12982786329198,0.13919481829124308
VisualCogB_Task-2,V7,1,F3,47,107.69210001071323,0.15455673012243182
VisualCogB_Task-2,V7,1,F4,47,189.0802561739423,0.15766699926522293
