dataset,stage,channel,first_left_n,first_right_n,second_left_n,second_right_n,contrast_correlation,second_first_norm_ratio
VisualCogA_Task-1,预处理,三通道合并,26,19,21,24,-0.38527738421991575,0.17771497324463478
VisualCogA_Task-1,预处理,Fz,26,19,21,24,-0.5870983307805396,0.20313282920364334
VisualCogA_Task-1,预处理,F3,26,19,21,24,0.6953697886483748,0.0209142753842711
VisualCogA_Task-1,预处理,F4,26,19,21,24,-0.9058960759364311,0.2534814374203009
VisualCogA_Task-1,V7,三通道合并,26,19,21,24,-0.3776175457939445,0.18666944864981266
VisualCogA_Task-1,V7,Fz,26,19,21,24,-0.5887755981860233,0.21014996422054258
VisualCogA_Task-1,V7,F3,26,19,21,24,0.6860071719898485,0.02483708559800579
VisualCogA_Task-1,V7,F4,26,19,21,24,-0.8754801720710093,0.26456227071563015
VisualCogA_Task-2,预处理,三通道合并,27,20,26,22,0.7802627346336394,1.8135348103848064
VisualCogA_Task-2,预处理,Fz,27,20,26,22,-0.4374973413417602,4.900847046808123
VisualCogA_Task-2,预处理,F3,27,20,26,22,0.7837032949090452,1.6786196364607382
VisualCogA_Task-2,预处理,F4,27,20,26,22,0.11454501758515807,1.5579734952705449
VisualCogA_Task-2,V7,三通道合并,27,20,26,22,0.7703007816183116,1.8016137652726707
VisualCogA_Task-2,V7,Fz,27,20,26,22,-0.3884040576284573,4.896366695909688
VisualCogA_Task-2,V7,F3,27,20,26,22,0.8733981336854534,1.6782947177689898
VisualCogA_Task-2,V7,F4,27,20,26,22,0.22290021225187015,1.495425161273399
VisualCogB_Task-1,预处理,三通道合并,21,26,25,22,0.47477000873397457,1.4186825147141615
VisualCogB_Task-1,预处理,Fz,21,26,25,22,-0.887811525349059,3.8868167087262284
VisualCogB_Task-1,预处理,F3,21,26,25,22,0.8150228120060559,2.8918840788925935
VisualCogB_Task-1,预处理,F4,21,26,25,22,0.9126438499599413,0.8028378217563513
VisualCogB_Task-1,V7,三通道合并,21,26,25,22,0.453496642523569,1.4974638749743847
VisualCogB_Task-1,V7,Fz,21,26,25,22,-0.8724179789993479,3.9740359385520736
VisualCogB_Task-1,V7,F3,21,26,25,22,0.8039250848201656,3.2344209289111485
VisualCogB_Task-1,V7,F4,21,26,25,22,0.9061943736900829,0.8532186613160445
VisualCogB_Task-2,预处理,三通道合并,20,26,25,21,-0.22994630754841844,6.3861965629297055
VisualCogB_Task-2,预处理,Fz,20,26,25,21,-0.06610868140624979,4.228403449010997
VisualCogB_Task-2,预处理,F3,20,26,25,21,0.6855014543590752,5.644025974951904
VisualCogB_Task-2,预处理,F4,20,26,25,21,0.562891124439035,8.951579910263971
VisualCogB_Task-2,V7,三通道合并,20,26,25,21,-0.43792624756352705,4.572094493190933
VisualCogB_Task-2,V7,Fz,20,26,25,21,-0.48517438966427756,2.8605812422037546
VisualCogB_Task-2,V7,F3,20,26,25,21,0.5625601746304716,4.170501708891787
VisualCogB_Task-2,V7,F4,20,26,25,21,0.15148628837456687,6.1267132452611435
