dataset,metric,stage,mean,paired_rows,valid_rows,total_rows
VisualCogA_Task-1,MAE,预处理,19.41248564007193,6,6,6
VisualCogA_Task-1,MAE,V7,16.694887027686644,6,6,6
VisualCogA_Task-1,RMSE,预处理,19.82627984265768,6,6,6
VisualCogA_Task-1,RMSE,V7,17.107735594353855,6,6,6
VisualCogA_Task-1,corr,预处理,0.6178317733668713,6,6,6
VisualCogA_Task-1,corr,V7,0.6256653807938456,6,6,6
VisualCogA_Task-1,shape_distance,预处理,0.6523134409959571,6,6,6
VisualCogA_Task-1,shape_distance,V7,0.6493525934290382,6,6,6
VisualCogA_Task-1,baseline_RMS,预处理,14.122958294174225,6,6,6
VisualCogA_Task-1,baseline_RMS,V7,13.371365434990075,6,6,6
VisualCogA_Task-1,trial_PTP_median,预处理,104.41482438942519,6,6,6
VisualCogA_Task-1,trial_PTP_median,V7,101.56093384813614,6,6,6
VisualCogA_Task-1,SNR_proxy_dB,预处理,-14.216732593324435,6,6,6
VisualCogA_Task-1,SNR_proxy_dB,V7,-14.23070789392294,6,6,6
VisualCogA_Task-1,edge_band_ratio,预处理,0.40819341083074895,6,6,6
VisualCogA_Task-1,edge_band_ratio,V7,0.38625687164968786,6,6,6
VisualCogA_Task-1,amp_error,预处理,11.806925662364808,4,4,6
VisualCogA_Task-1,amp_error,V7,10.159498784463342,4,4,6
VisualCogA_Task-1,P300_positive_mean,预处理,8.55947830823529,6,6,6
VisualCogA_Task-1,P300_positive_mean,V7,7.566863324916022,6,6,6
VisualCogA_Task-1,P300_positive_mean_error,预处理,7.543913943944195,6,6,6
VisualCogA_Task-1,P300_positive_mean_error,V7,6.51165115478351,6,6,6
VisualCogA_Task-1,P300_amp,预处理,16.893883149686864,4,4,6
VisualCogA_Task-1,P300_amp,V7,15.381149454503511,4,4,6
VisualCogA_Task-1,latency_error_ms,预处理,10.7421875,4,4,6
VisualCogA_Task-1,latency_error_ms,V7,10.7421875,4,4,6
VisualCogA_Task-1,P300_AUC_unit_ms,预处理,2146.969626466806,6,6,6
VisualCogA_Task-1,P300_AUC_unit_ms,V7,1898.9783006749701,6,6,6
VisualCogA_Task-1,P300_AUC_error_unit_ms,预处理,1892.1410920392739,6,6,6
VisualCogA_Task-1,P300_AUC_error_unit_ms,V7,1633.9908961641402,6,6,6
VisualCogA_Task-1,P300_lat_ms,预处理,349.609375,4,4,6
VisualCogA_Task-1,P300_lat_ms,V7,349.609375,4,4,6
VisualCogA_Task-2,MAE,预处理,44.23207461904011,6,6,6
VisualCogA_Task-2,MAE,V7,39.454442282684376,6,6,6
VisualCogA_Task-2,RMSE,预处理,44.831021743235176,6,6,6
VisualCogA_Task-2,RMSE,V7,40.09075528740825,6,6,6
VisualCogA_Task-2,corr,预处理,0.7278709157945262,6,6,6
VisualCogA_Task-2,corr,V7,0.7304166358807364,6,6,6
VisualCogA_Task-2,shape_distance,预处理,0.5886544548887764,6,6,6
VisualCogA_Task-2,shape_distance,V7,0.5862506307210356,6,6,6
VisualCogA_Task-2,baseline_RMS,预处理,21.26112946521175,6,6,6
VisualCogA_Task-2,baseline_RMS,V7,20.501064245826356,6,6,6
VisualCogA_Task-2,trial_PTP_median,预处理,254.67971047684526,6,6,6
VisualCogA_Task-2,trial_PTP_median,V7,245.6916965969468,6,6,6
VisualCogA_Task-2,SNR_proxy_dB,预处理,-9.35228101104063,6,6,6
VisualCogA_Task-2,SNR_proxy_dB,V7,-9.295321965913041,6,6,6
VisualCogA_Task-2,edge_band_ratio,预处理,0.4943499794841313,6,6,6
VisualCogA_Task-2,edge_band_ratio,V7,0.4802752397699037,6,6,6
VisualCogA_Task-2,amp_error,预处理,46.456512415253336,6,6,6
VisualCogA_Task-2,amp_error,V7,40.83323050132079,6,6,6
VisualCogA_Task-2,P300_positive_mean,预处理,52.97502420621993,6,6,6
VisualCogA_Task-2,P300_positive_mean,V7,48.19739186986419,6,6,6
VisualCogA_Task-2,P300_positive_mean_error,预处理,43.499652970683066,6,6,6
VisualCogA_Task-2,P300_positive_mean_error,V7,38.72202063432733,6,6,6
VisualCogA_Task-2,P300_amp,预处理,70.71914474849909,6,6,6
VisualCogA_Task-2,P300_amp,V7,65.09586283456656,6,6,6
VisualCogA_Task-2,latency_error_ms,预处理,14.973958333333334,6,6,6
VisualCogA_Task-2,latency_error_ms,V7,14.973958333333334,6,6,6
VisualCogA_Task-2,P300_AUC_unit_ms,预处理,13243.634786804623,6,6,6
VisualCogA_Task-2,P300_AUC_unit_ms,V7,12048.848416996834,6,6,6
VisualCogA_Task-2,P300_AUC_error_unit_ms,预处理,10875.350968686149,6,6,6
VisualCogA_Task-2,P300_AUC_error_unit_ms,V7,9680.56459887836,6,6,6
VisualCogA_Task-2,P300_lat_ms,预处理,500.0,6,6,6
VisualCogA_Task-2,P300_lat_ms,V7,500.0,6,6,6
VisualCogB_Task-1,MAE,预处理,14.57842006676473,6,6,6
VisualCogB_Task-1,MAE,V7,13.609480018832066,6,6,6
VisualCogB_Task-1,RMSE,预处理,15.087042298902093,6,6,6
VisualCogB_Task-1,RMSE,V7,14.119736999677256,6,6,6
VisualCogB_Task-1,corr,预处理,0.5844697430188734,6,6,6
VisualCogB_Task-1,corr,V7,0.5904423276457248,6,6,6
VisualCogB_Task-1,shape_distance,预处理,0.6937294108228352,6,6,6
VisualCogB_Task-1,shape_distance,V7,0.6876951734483224,6,6,6
VisualCogB_Task-1,baseline_RMS,预处理,20.42492568858043,6,6,6
VisualCogB_Task-1,baseline_RMS,V7,19.686594270343253,6,6,6
VisualCogB_Task-1,trial_PTP_median,预处理,158.6363872548753,6,6,6
VisualCogB_Task-1,trial_PTP_median,V7,157.691974889811,6,6,6
VisualCogB_Task-1,SNR_proxy_dB,预处理,-22.665994179619492,6,6,6
VisualCogB_Task-1,SNR_proxy_dB,V7,-22.711566028417483,6,6,6
VisualCogB_Task-1,edge_band_ratio,预处理,0.45220880979322103,6,6,6
VisualCogB_Task-1,edge_band_ratio,V7,0.4400334801548742,6,6,6
VisualCogB_Task-1,amp_error,预处理,13.388299183357898,5,5,6
VisualCogB_Task-1,amp_error,V7,12.212612638252796,5,5,6
VisualCogB_Task-1,P300_positive_mean,预处理,11.76560343058758,6,6,6
VisualCogB_Task-1,P300_positive_mean,V7,11.350415060708253,6,6,6
VisualCogB_Task-1,P300_positive_mean_error,预处理,11.293891934866641,6,6,6
VisualCogB_Task-1,P300_positive_mean_error,V7,10.787838089303676,6,6,6
VisualCogB_Task-1,P300_amp,预处理,19.949298316709992,5,5,6
VisualCogB_Task-1,P300_amp,V7,19.337508023046215,5,5,6
VisualCogB_Task-1,latency_error_ms,预处理,67.1875,5,5,6
VisualCogB_Task-1,latency_error_ms,V7,67.1875,5,5,6
VisualCogB_Task-1,P300_AUC_unit_ms,预处理,2943.5973378407434,6,6,6
VisualCogB_Task-1,P300_AUC_unit_ms,V7,2839.96183857831,6,6,6
VisualCogB_Task-1,P300_AUC_error_unit_ms,预处理,2826.983961276874,6,6,6
VisualCogB_Task-1,P300_AUC_error_unit_ms,V7,2700.2771498291418,6,6,6
VisualCogB_Task-1,P300_lat_ms,预处理,401.5625,5,5,6
VisualCogB_Task-1,P300_lat_ms,V7,401.5625,5,5,6
VisualCogB_Task-2,MAE,预处理,37.842336056064404,6,6,6
VisualCogB_Task-2,MAE,V7,34.7615475409792,6,6,6
VisualCogB_Task-2,RMSE,预处理,39.28626767564438,6,6,6
VisualCogB_Task-2,RMSE,V7,36.149706809420515,6,6,6
VisualCogB_Task-2,corr,预处理,-0.021560860632353195,6,6,6
VisualCogB_Task-2,corr,V7,0.006002835886352494,6,6,6
VisualCogB_Task-2,shape_distance,预处理,1.1378686662287205,6,6,6
VisualCogB_Task-2,shape_distance,V7,1.1211517526194206,6,6,6
VisualCogB_Task-2,baseline_RMS,预处理,26.97593290832712,6,6,6
VisualCogB_Task-2,baseline_RMS,V7,25.851790763112195,6,6,6
VisualCogB_Task-2,trial_PTP_median,预处理,272.28753482575996,6,6,6
VisualCogB_Task-2,trial_PTP_median,V7,269.45170738716575,6,6,6
VisualCogB_Task-2,SNR_proxy_dB,预处理,-13.081010212055224,6,6,6
VisualCogB_Task-2,SNR_proxy_dB,V7,-12.447145700122796,6,6,6
VisualCogB_Task-2,edge_band_ratio,预处理,0.5215636096622092,6,6,6
VisualCogB_Task-2,edge_band_ratio,V7,0.5069794414444021,6,6,6
VisualCogB_Task-2,amp_error,预处理,39.399033095070685,5,5,6
VisualCogB_Task-2,amp_error,V7,35.75124204734941,5,5,6
VisualCogB_Task-2,P300_positive_mean,预处理,50.17244586746674,6,6,6
VisualCogB_Task-2,P300_positive_mean,V7,47.1585191713016,6,6,6
VisualCogB_Task-2,P300_positive_mean_error,预处理,31.60859413741702,6,6,6
VisualCogB_Task-2,P300_positive_mean_error,V7,28.594667441251868,6,6,6
