dataset,level,metric,paired_scenarios,improved_scenarios,median_delta,p10_delta,p90_delta
VisualCogA_Task-1,0.0,RMSE,15,9,-0.268993744443776,-77.22602053554816,0.2049961996378613
VisualCogA_Task-1,0.0,contrast_RMSE,15,9,-0.000719767290625839,-46.65241135378466,0.09217048298426
VisualCogA_Task-1,0.0,positive_mean_error,15,15,-0.11651945783130002,-8.481373942255486,-0.010922760279701293
VisualCogA_Task-1,0.5,RMSE,15,9,-0.1329384914250369,-76.16894313541817,0.19731202904895326
VisualCogA_Task-1,0.5,contrast_RMSE,15,11,-0.19039712775297346,-42.65432146419373,0.18259687363973853
VisualCogA_Task-1,0.5,positive_mean_error,15,11,-0.1258967794500907,-7.254864957633367,0.06106273173999028
VisualCogA_Task-1,1.0,RMSE,15,10,-0.23519837489325823,-74.4089320278767,0.18069240768923006
VisualCogA_Task-1,1.0,contrast_RMSE,15,12,-0.33727012241675425,-40.67800715291672,0.4203190795058474
VisualCogA_Task-1,1.0,positive_mean_error,15,12,-0.18468152704874896,-6.45009370283462,0.018346146505538917
VisualCogA_Task-1,2.0,RMSE,15,10,-0.20810107782648402,-66.54107153408623,0.23100339182632296
VisualCogA_Task-1,2.0,contrast_RMSE,15,8,-0.08294912579112079,-21.329837446277935,11.214312912912494
VisualCogA_Task-1,2.0,positive_mean_error,15,9,-0.11312129230194845,-4.6702357458714205,2.3721893895200923
VisualCogA_Task-2,0.0,RMSE,15,9,-55.06845585880207,-89.43548123325104,0.0877004765234517
VisualCogA_Task-2,0.0,contrast_RMSE,15,12,-5.979692665292916,-91.67062919951766,1.0167290384786867
VisualCogA_Task-2,0.0,positive_mean_error,15,9,-12.034096533249487,-29.327374617552287,0.6379409929927391
VisualCogA_Task-2,0.5,RMSE,15,10,-50.8524521031242,-75.03738889144405,0.31635146366717204
VisualCogA_Task-2,0.5,contrast_RMSE,15,10,-0.6684549214548312,-61.50677657501322,4.231480989249338
VisualCogA_Task-2,0.5,positive_mean_error,15,10,-9.685410644696132,-33.53819735509265,0.6843876741460895
VisualCogA_Task-2,1.0,RMSE,15,10,-25.0953398142764,-50.50361044045711,0.47594972594449697
VisualCogA_Task-2,1.0,contrast_RMSE,15,5,2.442775617768163,-30.042310180662582,22.050294606307535
VisualCogA_Task-2,1.0,positive_mean_error,15,8,-0.06323060403607883,-26.936592593893977,1.5254124405101606
VisualCogA_Task-2,2.0,RMSE,15,7,0.07505213961101731,-7.737524108196015,41.797911985849446
VisualCogA_Task-2,2.0,contrast_RMSE,15,5,24.909707372716056,-1.2997185325038743,96.57646810280242
VisualCogA_Task-2,2.0,positive_mean_error,15,6,1.3009871157798898,-23.183955444443484,12.58341695202472
VisualCogB_Task-1,0.0,RMSE,15,12,-70.19039993157298,-74.92627542683036,0.08303864276575723
VisualCogB_Task-1,0.0,contrast_RMSE,15,12,-5.881149602255384,-44.93255285809376,0.9817838067612144
VisualCogB_Task-1,0.0,positive_mean_error,15,15,-9.332102960230975,-16.46815460075007,-0.15011963242549164
VisualCogB_Task-1,0.5,RMSE,15,13,-64.89359710161327,-68.0560307413485,0.02189961235897611
VisualCogB_Task-1,0.5,contrast_RMSE,15,10,-0.5704702011262626,-42.25184951994611,4.248992372037147
VisualCogB_Task-1,0.5,positive_mean_error,15,12,-8.988845825021219,-13.270402253664093,0.1312043566723597
VisualCogB_Task-1,1.0,RMSE,15,11,-53.67065612223308,-57.06418479345056,0.2930934407941066
VisualCogB_Task-1,1.0,contrast_RMSE,15,7,0.003385107820484734,-28.527556196928494,17.61772827695246
VisualCogB_Task-1,1.0,positive_mean_error,15,11,-2.9163643219994917,-10.709971700498357,0.312695394682607
VisualCogB_Task-1,2.0,RMSE,15,11,-22.790746098438333,-29.45435616412662,0.8434364370864214
VisualCogB_Task-1,2.0,contrast_RMSE,15,4,1.8334991456943186,-10.184982146544545,46.24956064178849
VisualCogB_Task-1,2.0,positive_mean_error,15,7,0.1529477962742547,-6.223314053960422,9.543609659550686
VisualCogB_Task-2,0.0,RMSE,15,9,-91.90910440958787,-100.746842877115,0.1436327567967055
VisualCogB_Task-2,0.0,contrast_RMSE,15,9,-21.8148929186185,-25.871227520090194,1.3824865781786286
VisualCogB_Task-2,0.0,positive_mean_error,15,9,-8.312222981906437,-39.735523310600755,0.2361001470290489
VisualCogB_Task-2,0.5,RMSE,15,11,-80.26414171759004,-94.38785909270128,0.3336966891891109
VisualCogB_Task-2,0.5,contrast_RMSE,15,9,-1.4878278436900843,-26.09679555410043,3.6704288991573826
VisualCogB_Task-2,0.5,positive_mean_error,15,10,-5.025335561507934,-37.85755140846126,0.7543615922902346
VisualCogB_Task-2,1.0,RMSE,15,12,-58.638641701596725,-74.75896067372229,0.13745520103105946
VisualCogB_Task-2,1.0,contrast_RMSE,15,7,0.06686731225714482,-11.052916019261021,24.36277078135886
VisualCogB_Task-2,1.0,positive_mean_error,15,11,-1.456634289727429,-38.71446002575903,0.7743025029494355
VisualCogB_Task-2,2.0,RMSE,15,11,-0.9279910590819895,-30.062787724370693,0.43188113163108705
VisualCogB_Task-2,2.0,contrast_RMSE,15,4,25.41720797488793,-1.9865607892693218,78.81940748904728
VisualCogB_Task-2,2.0,positive_mean_error,15,10,-0.8649210090985022,-29.353267104489497,6.4310585791192025
