cue,channel,stage,metric,low,high,n,bootstrap
-1,Fz,预处理,MAE,1.4871377227057299,7.699210231246967,47,300
-1,Fz,预处理,positive_mean,1.3380252156552275,12.905827870833452,47,300
-1,Fz,V3,MAE,1.648336418478474,6.300220477208919,47,300
-1,Fz,V3,positive_mean,2.664661349247933,12.4971320240385,47,300
-1,Fz,V4,MAE,1.6541383496475093,6.293854653828808,47,300
-1,Fz,V4,positive_mean,2.2238856539572676,12.458662284499463,47,300
-1,Fz,V4减V3,MAE,-0.4966103407778697,1.0239904770860448,47,300
-1,Fz,V4减V3,positive_mean,-1.130958932632624,0.7808174342711465,47,300
-1,F3,预处理,MAE,8.831464974750022,72.81184137106379,47,300
-1,F3,预处理,positive_mean,0.0,0.0,47,300
-1,F3,V3,MAE,1.7282077338309885,9.896442078507977,47,300
-1,F3,V3,positive_mean,0.0,0.07852058857092756,47,300
-1,F3,V4,MAE,1.9676453907872884,25.14172304703971,47,300
-1,F3,V4,positive_mean,0.0,0.4691621564738135,47,300
-1,F3,V4减V3,MAE,-2.6237804901490733,17.307872893366348,47,300
-1,F3,V4减V3,positive_mean,-0.01655771183070214,0.4454057241959196,47,300
-1,F4,预处理,MAE,3.1507316472632736,67.85356327387622,47,300
-1,F4,预处理,positive_mean,0.0,19.119073346833353,47,300
-1,F4,V3,MAE,2.1078868598005114,12.15327658204809,47,300
-1,F4,V3,positive_mean,0.0,5.618806571761454,47,300
-1,F4,V4,MAE,2.2302674011040815,27.991577634990644,47,300
-1,F4,V4,positive_mean,0.0,27.62048756692024,47,300
-1,F4,V4减V3,MAE,-4.2224291943895595,24.95065594004812,47,300
-1,F4,V4减V3,positive_mean,-1.2918417071538555,26.013052766690056,47,300
1,Fz,预处理,MAE,2.2560437133519726,15.552405248105599,43,300
1,Fz,预处理,positive_mean,0.0,4.872838801488706,43,300
1,Fz,V3,MAE,1.9597747720699883,14.867641138408061,43,300
1,Fz,V3,positive_mean,0.0,5.266265717078561,43,300
1,Fz,V4,MAE,2.0602554422133355,14.422552805005411,43,300
1,Fz,V4,positive_mean,0.0,5.2512914340842975,43,300
1,Fz,V4减V3,MAE,-0.8211483509673068,0.7801182243368506,43,300
1,Fz,V4减V3,positive_mean,-0.5814569251542645,0.33631614191401693,43,300
1,F3,预处理,MAE,3.0397047137734803,80.50550772320639,43,300
1,F3,预处理,positive_mean,0.0,80.74111574715724,43,300
1,F3,V3,MAE,2.1778191536047244,7.4626503898842405,43,300
1,F3,V3,positive_mean,0.029632832786303326,7.617899333212004,43,300
1,F3,V4,MAE,2.722540076356938,32.20724390498781,43,300
1,F3,V4,positive_mean,0.0,32.442851928938666,43,300
1,F3,V4减V3,MAE,-1.7219627099332457,26.913830505486665,43,300
1,F3,V4减V3,positive_mean,-3.1084646195124614,27.692715076710627,43,300
1,F4,预处理,MAE,2.967342739297729,64.04656130887241,43,300
1,F4,预处理,positive_mean,0.0,68.05986421900307,43,300
1,F4,V3,MAE,2.7119627874548735,9.655782150350834,43,300
1,F4,V3,positive_mean,2.403433494297378,13.615369509384346,43,300
1,F4,V4,MAE,2.6325049721974874,28.072178224289804,43,300
1,F4,V4,positive_mean,0.37579052007127905,32.08548113442046,43,300
1,F4,V4减V3,MAE,-2.7202033081199124,22.73491415145631,43,300
1,F4,V4减V3,positive_mean,-6.080389441530204,23.419121052763213,43,300
