fold,trial_id,role
1,1,训练非参考
1,4,训练非参考
1,6,训练非参考
1,7,训练参考
1,8,训练参考
1,9,训练参考
1,10,训练参考
1,11,训练非参考
1,12,训练参考
1,13,训练参考
1,15,训练参考
1,16,训练非参考
1,17,训练参考
1,18,训练参考
1,21,训练参考
1,26,训练参考
1,28,训练非参考
1,29,训练非参考
1,30,训练参考
1,31,训练参考
1,32,训练参考
1,33,训练参考
1,34,训练参考
1,35,训练参考
1,37,训练非参考
1,41,训练非参考
1,42,训练非参考
1,43,训练参考
1,44,训练参考
1,45,训练非参考
1,47,训练参考
1,48,训练非参考
1,50,训练参考
1,51,训练非参考
1,52,训练非参考
1,53,训练非参考
1,54,训练非参考
1,55,训练参考
1,57,训练非参考
1,58,训练参考
1,59,训练非参考
1,60,训练非参考
1,61,训练参考
1,63,训练非参考
1,64,训练非参考
1,65,训练参考
1,66,训练非参考
1,67,训练参考
1,70,训练参考
1,71,训练非参考
1,72,训练参考
1,73,训练参考
1,74,训练非参考
1,75,训练参考
1,76,训练非参考
1,78,训练非参考
1,79,训练参考
1,80,训练参考
1,81,训练非参考
1,83,训练非参考
1,84,训练非参考
1,86,训练非参考
1,90,训练非参考
1,91,训练非参考
1,92,训练参考
1,94,训练参考
1,95,训练参考
1,96,训练非参考
1,97,训练非参考
1,98,训练非参考
1,99,训练参考
1,100,训练参考
1,2,折外评价
1,5,折外评价
1,19,折外评价
1,22,折外评价
1,23,折外评价
1,24,折外评价
1,25,折外评价
1,38,折外评价
1,49,折外评价
1,56,折外评价
1,62,折外评价
1,68,折外评价
1,69,折外评价
1,82,折外评价
1,85,折外评价
1,87,折外评价
1,89,折外评价
1,93,折外评价
2,1,训练非参考
2,2,训练非参考
2,4,训练非参考
2,5,训练非参考
2,6,训练非参考
2,7,训练参考
2,8,训练参考
2,9,训练参考
2,10,训练参考
2,12,训练参考
2,13,训练参考
2,17,训练参考
2,19,训练非参考
2,21,训练参考
2,22,训练非参考
2,23,训练非参考
2,24,训练参考
2,25,训练非参考
2,26,训练参考
2,28,训练非参考
2,29,训练参考
2,32,训练参考
2,33,训练参考
2,34,训练参考
2,35,训练参考
2,38,训练参考
2,42,训练参考
2,43,训练参考
2,45,训练非参考
2,47,训练参考
2,49,训练参考
2,50,训练参考
2,51,训练非参考
2,52,训练非参考
2,53,训练非参考
2,54,训练非参考
2,55,训练参考
2,56,训练非参考
2,59,训练非参考
2,60,训练非参考
2,61,训练参考
2,62,训练非参考
2,63,训练非参考
2,65,训练参考
2,66,训练非参考
2,67,训练参考
2,68,训练非参考
2,69,训练参考
2,70,训练参考
2,71,训练非参考
2,72,训练参考
2,73,训练参考
2,74,训练非参考
2,75,训练参考
2,76,训练非参考
2,79,训练参考
2,81,训练参考
2,82,训练参考
2,83,训练非参考
2,84,训练非参考
2,85,训练非参考
2,86,训练非参考
2,87,训练非参考
2,89,训练非参考
2,90,训练非参考
2,91,训练非参考
2,92,训练参考
2,93,训练非参考
2,94,训练参考
2,98,训练非参考
2,99,训练参考
2,100,训练参考
2,11,折外评价
2,15,折外评价
2,16,折外评价
2,18,折外评价
2,30,折外评价
2,31,折外评价
2,37,折外评价
2,41,折外评价
2,44,折外评价
2,48,折外评价
2,57,折外评价
2,58,折外评价
2,64,折外评价
2,78,折外评价
2,80,折外评价
2,95,折外评价
2,96,折外评价
2,97,折外评价
3,2,训练非参考
3,4,训练非参考
3,5,训练非参考
3,7,训练参考
3,9,训练参考
3,11,训练非参考
3,12,训练参考
3,13,训练参考
3,15,训练参考
3,16,训练参考
3,18,训练参考
3,19,训练非参考
3,22,训练非参考
3,23,训练非参考
3,24,训练参考
3,25,训练非参考
3,26,训练参考
3,28,训练非参考
3,29,训练参考
3,30,训练参考
3,31,训练参考
3,32,训练参考
3,34,训练参考
3,35,训练参考
3,37,训练非参考
3,38,训练参考
3,41,训练非参考
3,42,训练参考
3,43,训练参考
3,44,训练参考
3,45,训练非参考
3,47,训练参考
3,48,训练非参考
3,49,训练参考
3,50,训练参考
3,51,训练非参考
3,53,训练非参考
3,54,训练非参考
3,55,训练参考
3,56,训练非参考
3,57,训练非参考
3,58,训练参考
3,59,训练非参考
3,60,训练非参考
3,61,训练参考
3,62,训练非参考
3,63,训练非参考
3,64,训练非参考
3,65,训练参考
3,68,训练非参考
3,69,训练参考
3,70,训练参考
3,71,训练非参考
3,72,训练参考
3,74,训练非参考
3,75,训练参考
3,78,训练非参考
3,80,训练参考
3,81,训练非参考
3,82,训练参考
3,85,训练非参考
3,86,训练参考
3,87,训练非参考
3,89,训练非参考
3,90,训练非参考
3,91,训练非参考
3,93,训练非参考
3,94,训练参考
3,95,训练参考
3,96,训练非参考
3,97,训练非参考
3,99,训练参考
3,1,折外评价
3,6,折外评价
3,8,折外评价
3,10,折外评价
3,17,折外评价
3,21,折外评价
3,33,折外评价
3,52,折外评价
3,66,折外评价
3,67,折外评价
3,73,折外评价
3,76,折外评价
3,79,折外评价
3,83,折外评价
3,84,折外评价
3,92,折外评价
3,98,折外评价
3,100,折外评价
4,1,训练非参考
4,2,训练非参考
4,4,训练非参考
4,5,训练非参考
4,6,训练非参考
4,7,训练参考
4,8,训练参考
4,10,训练参考
4,11,训练非参考
4,12,训练参考
4,15,训练参考
4,16,训练参考
4,17,训练参考
4,18,训练参考
4,19,训练非参考
4,21,训练参考
4,22,训练非参考
4,23,训练非参考
4,24,训练参考
4,25,训练非参考
4,28,训练非参考
4,30,训练参考
4,31,训练参考
4,32,训练参考
4,33,训练参考
4,34,训练参考
4,35,训练参考
4,37,训练非参考
4,38,训练参考
4,41,训练非参考
4,44,训练参考
4,47,训练参考
4,48,训练非参考
4,49,训练参考
4,52,训练非参考
4,53,训练非参考
4,55,训练参考
4,56,训练非参考
4,57,训练非参考
4,58,训练参考
4,61,训练参考
4,62,训练非参考
4,64,训练非参考
4,65,训练参考
4,66,训练非参考
4,67,训练参考
4,68,训练非参考
4,69,训练参考
4,70,训练参考
4,73,训练参考
4,74,训练非参考
4,76,训练参考
4,78,训练非参考
4,79,训练参考
4,80,训练参考
4,81,训练非参考
4,82,训练参考
4,83,训练非参考
4,84,训练非参考
4,85,训练非参考
4,86,训练非参考
4,87,训练非参考
4,89,训练非参考
4,91,训练非参考
4,92,训练参考
4,93,训练非参考
4,95,训练参考
4,96,训练非参考
4,97,训练非参考
4,98,训练非参考
4,99,训练参考
4,100,训练参考
4,9,折外评价
4,13,折外评价
4,26,折外评价
4,29,折外评价
4,42,折外评价
4,43,折外评价
4,45,折外评价
4,50,折外评价
4,51,折外评价
4,54,折外评价
4,59,折外评价
4,60,折外评价
4,63,折外评价
4,71,折外评价
4,72,折外评价
4,75,折外评价
4,90,折外评价
4,94,折外评价
5,1,训练非参考
5,2,训练非参考
5,5,训练非参考
5,6,训练非参考
5,8,训练参考
5,9,训练参考
5,10,训练参考
5,11,训练非参考
5,13,训练参考
5,15,训练参考
5,16,训练参考
5,17,训练参考
5,18,训练参考
5,19,训练非参考
5,21,训练参考
5,22,训练非参考
5,23,训练非参考
5,24,训练参考
5,25,训练非参考
5,26,训练参考
5,29,训练参考
5,30,训练参考
5,31,训练参考
5,33,训练参考
5,37,训练非参考
5,38,训练参考
5,41,训练非参考
5,42,训练参考
5,43,训练参考
5,44,训练参考
5,45,训练非参考
5,48,训练参考
5,49,训练参考
5,50,训练参考
5,51,训练非参考
5,52,训练非参考
5,54,训练非参考
5,56,训练非参考
5,57,训练非参考
5,58,训练参考
5,59,训练非参考
5,60,训练非参考
5,62,训练非参考
5,63,训练非参考
5,64,训练非参考
5,66,训练非参考
5,67,训练参考
5,68,训练非参考
5,69,训练参考
5,71,训练非参考
5,72,训练参考
5,73,训练参考
5,75,训练参考
5,76,训练参考
5,78,训练非参考
5,79,训练参考
5,80,训练参考
5,82,训练参考
5,83,训练非参考
5,84,训练非参考
5,85,训练非参考
5,87,训练非参考
5,89,训练非参考
5,90,训练非参考
5,92,训练参考
5,93,训练非参考
5,94,训练参考
5,95,训练参考
5,96,训练非参考
5,97,训练非参考
5,98,训练非参考
5,100,训练参考
5,4,折外评价
5,7,折外评价
5,12,折外评价
5,28,折外评价
5,32,折外评价
5,34,折外评价
5,35,折外评价
5,47,折外评价
5,53,折外评价
5,55,折外评价
5,61,折外评价
5,65,折外评价
5,70,折外评价
5,74,折外评价
5,81,折外评价
5,86,折外评价
5,91,折外评价
5,99,折外评价
