fold,trial_id,role
1,1,训练参考
1,2,训练参考
1,3,训练参考
1,5,训练参考
1,6,训练参考
1,8,训练参考
1,9,训练参考
1,10,训练参考
1,12,训练参考
1,13,训练参考
1,14,训练非参考
1,15,训练非参考
1,17,训练非参考
1,18,训练参考
1,19,训练非参考
1,20,训练参考
1,22,训练非参考
1,23,训练参考
1,24,训练参考
1,25,训练参考
1,27,训练非参考
1,28,训练参考
1,29,训练非参考
1,31,训练非参考
1,32,训练参考
1,34,训练参考
1,35,训练参考
1,36,训练参考
1,37,训练参考
1,38,训练非参考
1,39,训练非参考
1,40,训练非参考
1,41,训练非参考
1,42,训练参考
1,43,训练非参考
1,44,训练参考
1,46,训练非参考
1,48,训练参考
1,49,训练非参考
1,51,训练非参考
1,52,训练非参考
1,54,训练非参考
1,55,训练非参考
1,56,训练非参考
1,57,训练非参考
1,59,训练参考
1,60,训练非参考
1,61,训练参考
1,64,训练非参考
1,65,训练参考
1,66,训练参考
1,67,训练非参考
1,70,训练非参考
1,71,训练参考
1,72,训练非参考
1,73,训练参考
1,74,训练非参考
1,75,训练参考
1,76,训练参考
1,77,训练参考
1,78,训练非参考
1,79,训练参考
1,80,训练非参考
1,81,训练非参考
1,82,训练参考
1,85,训练非参考
1,88,训练非参考
1,89,训练非参考
1,90,训练非参考
1,92,训练非参考
1,93,训练参考
1,94,训练非参考
1,95,训练参考
1,96,训练参考
1,98,训练非参考
1,99,训练参考
1,4,折外评价
1,7,折外评价
1,11,折外评价
1,16,折外评价
1,21,折外评价
1,26,折外评价
1,47,折外评价
1,50,折外评价
1,53,折外评价
1,58,折外评价
1,62,折外评价
1,68,折外评价
1,69,折外评价
1,83,折外评价
1,84,折外评价
1,87,折外评价
1,91,折外评价
1,97,折外评价
1,100,折外评价
2,1,训练参考
2,2,训练参考
2,3,训练参考
2,4,训练参考
2,6,训练参考
2,7,训练参考
2,8,训练参考
2,9,训练参考
2,10,训练非参考
2,11,训练参考
2,12,训练参考
2,13,训练参考
2,14,训练非参考
2,15,训练非参考
2,16,训练参考
2,17,训练非参考
2,18,训练非参考
2,20,训练参考
2,21,训练参考
2,22,训练非参考
2,23,训练非参考
2,26,训练非参考
2,31,训练非参考
2,32,训练参考
2,35,训练参考
2,36,训练参考
2,38,训练非参考
2,39,训练非参考
2,40,训练非参考
2,41,训练非参考
2,44,训练参考
2,46,训练非参考
2,47,训练参考
2,48,训练参考
2,49,训练非参考
2,50,训练非参考
2,52,训练非参考
2,53,训练非参考
2,54,训练非参考
2,55,训练非参考
2,57,训练参考
2,58,训练参考
2,59,训练参考
2,60,训练非参考
2,61,训练参考
2,62,训练非参考
2,64,训练非参考
2,65,训练参考
2,66,训练参考
2,67,训练非参考
2,68,训练参考
2,69,训练参考
2,70,训练非参考
2,71,训练参考
2,72,训练非参考
2,73,训练参考
2,75,训练参考
2,76,训练参考
2,78,训练非参考
2,79,训练参考
2,80,训练非参考
2,81,训练非参考
2,82,训练参考
2,83,训练非参考
2,84,训练非参考
2,87,训练非参考
2,88,训练非参考
2,89,训练非参考
2,91,训练参考
2,92,训练非参考
2,93,训练参考
2,94,训练非参考
2,96,训练参考
2,97,训练参考
2,99,训练参考
2,100,训练非参考
2,5,折外评价
2,19,折外评价
2,24,折外评价
2,25,折外评价
2,27,折外评价
2,28,折外评价
2,29,折外评价
2,34,折外评价
2,37,折外评价
2,42,折外评价
2,43,折外评价
2,51,折外评价
2,56,折外评价
2,74,折外评价
2,77,折外评价
2,85,折外评价
2,90,折外评价
2,95,折外评价
2,98,折外评价
3,3,训练参考
3,4,训练参考
3,5,训练参考
3,6,训练参考
3,7,训练参考
3,8,训练参考
3,9,训练参考
3,10,训练非参考
3,11,训练参考
3,12,训练参考
3,14,训练非参考
3,15,训练非参考
3,16,训练参考
3,17,训练非参考
3,18,训练非参考
3,19,训练非参考
3,20,训练参考
3,21,训练参考
3,23,训练非参考
3,24,训练参考
3,25,训练参考
3,26,训练非参考
3,27,训练非参考
3,28,训练参考
3,29,训练非参考
3,31,训练非参考
3,34,训练参考
3,36,训练参考
3,37,训练参考
3,39,训练非参考
3,41,训练非参考
3,42,训练参考
3,43,训练非参考
3,44,训练参考
3,46,训练非参考
3,47,训练参考
3,48,训练参考
3,49,训练非参考
3,50,训练非参考
3,51,训练非参考
3,53,训练非参考
3,54,训练非参考
3,55,训练非参考
3,56,训练非参考
3,57,训练非参考
3,58,训练参考
3,59,训练参考
3,62,训练非参考
3,65,训练参考
3,66,训练参考
3,67,训练非参考
3,68,训练参考
3,69,训练参考
3,70,训练非参考
3,71,训练参考
3,73,训练参考
3,74,训练非参考
3,75,训练参考
3,76,训练参考
3,77,训练参考
3,79,训练参考
3,81,训练非参考
3,83,训练非参考
3,84,训练非参考
3,85,训练非参考
3,87,训练非参考
3,88,训练非参考
3,90,训练非参考
3,91,训练参考
3,93,训练参考
3,94,训练非参考
3,95,训练非参考
3,97,训练参考
3,98,训练非参考
3,99,训练参考
3,100,训练非参考
3,1,折外评价
3,2,折外评价
3,13,折外评价
3,22,折外评价
3,32,折外评价
3,35,折外评价
3,38,折外评价
3,40,折外评价
3,52,折外评价
3,60,折外评价
3,61,折外评价
3,64,折外评价
3,72,折外评价
