cue,channel,stage,metric,low,high,n,bootstrap
-1,Fz,预处理,MAE,1.9679972010295947,57.53052076015762,46,300
-1,Fz,预处理,positive_mean,0.0,40.62462399014105,46,300
-1,Fz,V3,MAE,2.3372707464554083,46.66469527223911,46,300
-1,Fz,V3,positive_mean,0.0,36.20376178207072,46,300
-1,Fz,V4,MAE,2.0360225620444328,47.52840039574394,46,300
-1,Fz,V4,positive_mean,0.0,37.662211175520795,46,300
-1,Fz,V4减V3,MAE,-5.600841184881181,8.92849410585744,46,300
-1,Fz,V4减V3,positive_mean,-4.266294747797736,8.612349712077629,46,300
-1,F3,预处理,MAE,2.7402725687076686,62.19834120847258,46,300
-1,F3,预处理,positive_mean,0.0,65.21509107653901,46,300
-1,F3,V3,MAE,3.173529919950714,18.558897488462286,46,300
-1,F3,V3,positive_mean,0.0,19.30779557821999,46,300
-1,F3,V4,MAE,2.7713688899500655,47.75337046179883,46,300
-1,F3,V4,positive_mean,0.0,50.770120329865264,46,300
-1,F3,V4减V3,MAE,-4.311014117631456,34.3760929902158,46,300
-1,F3,V4减V3,positive_mean,-4.319014275600675,36.624123537525804,46,300
-1,F4,预处理,MAE,3.1530324694804004,85.37460663950405,46,300
-1,F4,预处理,positive_mean,1.6396312773593005,93.72309418421573,46,300
-1,F4,V3,MAE,2.195326570189359,10.740273291979186,46,300
-1,F4,V3,positive_mean,1.2863743233144862,18.173654471103813,46,300
-1,F4,V4,MAE,3.4195795910175506,54.924477814645876,46,300
-1,F4,V4,positive_mean,9.540386920654818,63.27296535935753,46,300
-1,F4,V4减V3,MAE,-3.7682744951424163,49.58657030204708,46,300
-1,F4,V4减V3,positive_mean,3.78446058871401,51.75531089073399,46,300
1,Fz,预处理,MAE,2.5552494914674204,63.59368039960895,48,300
1,Fz,预处理,positive_mean,0.0,58.91060098687814,48,300
1,Fz,V3,MAE,2.92596079579297,55.32811529381443,48,300
1,Fz,V3,positive_mean,0.0,52.95587100088023,48,300
1,Fz,V4,MAE,2.6217842340083384,59.49661755285634,48,300
1,Fz,V4,positive_mean,0.0,55.39768261279797,48,300
1,Fz,V4减V3,MAE,-4.084209460311389,5.576367578336489,48,300
1,Fz,V4减V3,positive_mean,-4.113914319949233,4.457415689288473,48,300
1,F3,预处理,MAE,2.8499219644685247,53.449130511028024,48,300
1,F3,预处理,positive_mean,0.0,30.679810765370583,48,300
1,F3,V3,MAE,2.1996350805041898,9.744007325160014,48,300
1,F3,V3,positive_mean,0.4417372217535663,5.937967423952491,48,300
1,F3,V4,MAE,2.3516944589605098,22.960702110022112,48,300
1,F3,V4,positive_mean,0.0,19.968987030421253,48,300
1,F3,V4减V3,MAE,-5.836299952115733,18.087100774725698,48,300
1,F3,V4减V3,positive_mean,-4.3377102791931135,17.253265335786324,48,300
1,F4,预处理,MAE,2.18969147123817,50.59383558051919,48,300
1,F4,预处理,positive_mean,0.0,33.02228597314615,48,300
1,F4,V3,MAE,2.0660007544625616,11.930848977251335,48,300
1,F4,V3,positive_mean,0.0,6.628087266918072,48,300
1,F4,V4,MAE,2.2034721448528307,23.62199056989128,48,300
1,F4,V4,positive_mean,0.0,20.06422832729963,48,300
1,F4,V4减V3,MAE,-5.591511957567041,17.37957043691754,48,300
1,F4,V4减V3,positive_mean,-4.581578180144302,15.29965615118518,48,300
