cue,channel,stage,metric,low,high,n,bootstrap
-1,Fz,预处理,MAE,3.9869736851632065,70.89435312196593,45,300
-1,Fz,预处理,positive_mean,0.0,101.65329159292467,45,300
-1,Fz,V3,MAE,3.1620828836158226,21.74362061619811,45,300
-1,Fz,V3,positive_mean,21.594132561421,55.39569561439117,45,300
-1,Fz,V4,MAE,3.9001344362171118,48.85921594076929,45,300
-1,Fz,V4,positive_mean,22.376412861030868,82.51129093896236,45,300
-1,Fz,V4减V3,MAE,-5.659115256229377,33.54930210569381,45,300
-1,Fz,V4减V3,positive_mean,-6.018271151294469,35.66991849903506,45,300
-1,F3,预处理,MAE,5.148776879424252,109.62181783569488,45,300
-1,F3,预处理,positive_mean,0.0,96.41911481745812,45,300
-1,F3,V3,MAE,3.1038366958795582,23.632756383431758,45,300
-1,F3,V3,positive_mean,0.0,10.510131393382878,45,300
-1,F3,V4,MAE,3.887381507499014,66.29199076784255,45,300
-1,F3,V4,positive_mean,0.0,53.089287749605816,45,300
-1,F3,V4减V3,MAE,-5.6718870186032095,50.33892802806515,45,300
-1,F3,V4减V3,positive_mean,-0.06351054472779731,46.452109514622634,45,300
-1,F4,预处理,MAE,4.689637101385308,103.42172245078316,45,300
-1,F4,预处理,positive_mean,0.0,122.34252601526717,45,300
-1,F4,V3,MAE,2.5980724373438138,20.862639113118856,45,300
-1,F4,V3,positive_mean,13.361342187688587,50.15640396040588,45,300
-1,F4,V4,MAE,2.861306979593812,57.64279126625337,45,300
-1,F4,V4,positive_mean,6.5051413523828545,88.16956501011094,45,300
-1,F4,V4减V3,MAE,-9.359339125445079,45.414516073056625,45,300
-1,F4,V4减V3,positive_mean,-16.771980784864137,50.95802788737878,45,300
1,Fz,预处理,MAE,7.645266250670313,73.56797655748609,47,300
1,Fz,预处理,positive_mean,27.858691884930852,95.49335149986683,47,300
1,Fz,V3,MAE,2.1817950430077944,11.884868902696926,47,300
1,Fz,V3,positive_mean,12.05884997764448,32.764921674768594,47,300
1,Fz,V4,MAE,4.110042046305575,27.32655222478856,47,300
1,Fz,V4,positive_mean,16.79385069070803,49.2519271671693,47,300
1,Fz,V4减V3,MAE,-2.9753078566729525,20.923559494153476,47,300
1,Fz,V4减V3,positive_mean,-0.2249250321336893,23.050847295939814,47,300
1,F3,预处理,MAE,23.874269311587064,136.03708636839065,47,300
1,F3,预处理,positive_mean,0.7402646301119394,110.61428767929124,47,300
1,F3,V3,MAE,3.6075447922976123,17.03229808257279,47,300
1,F3,V3,positive_mean,0.0,0.12445648894826768,47,300
1,F3,V4,MAE,4.025482958877696,44.28227046409896,47,300
1,F3,V4,positive_mean,0.0,18.859471774999513,47,300
1,F3,V4减V3,MAE,-2.4770013205489887,32.870477114299426,47,300
1,F3,V4减V3,positive_mean,0.0,18.794485028250175,47,300
1,F4,预处理,MAE,12.175330431865515,110.69097950021349,47,300
1,F4,预处理,positive_mean,28.323841391758176,128.36342043204675,47,300
1,F4,V3,MAE,2.4835024139682087,10.51891373043921,47,300
1,F4,V3,positive_mean,9.752618692747127,26.741652196935274,47,300
1,F4,V4,MAE,5.285378486377135,37.384061881406055,47,300
1,F4,V4,positive_mean,5.305517060646973,55.05650281323933,47,300
1,F4,V4减V3,MAE,-0.8747564393305448,32.37382503856753,47,300
1,F4,V4减V3,positive_mean,-9.621359455980084,36.73797713716832,47,300
