dataset,N100_amp,N100_lat_ms,N100_fwhm_ms,N200_amp,N200_lat_ms,N200_fwhm_ms,P300_amp,P300_lat_ms,P300_fwhm_ms,R2,RMSE,fit_status,cue,channel,reliable,quality_reason
VisualCogA_Task-1,-4.239214302843967e-19,163.2255102170654,116.99287471419166,-1.5725126086113983,245.82450484296777,39.50570098022222,5.869320059833286,327.9468804066132,85.4460466821398,0.6844207700697862,2.480322115294831,gaussian,-1,Fz,True,通过工程筛查
VisualCogA_Task-1,-1.756133824535074,116.89825149342057,25.111960865864994,-5.881235888079262,259.9999999972799,59.693809527444365,4.516325813112851,283.80915405035216,47.1000000010693,0.252463346450304,2.8178694670891753,gaussian,-1,F3,False,R²不足0.5；宽度近边界；无窗内正峰
VisualCogA_Task-1,-1.7684131410029447,127.09869738297067,23.550000000000004,-4.919902913563001,259.9750692951503,103.10317314600823,6.219874924614507,314.7534884709278,76.46432452538846,0.5870854473957667,3.144972240555406,gaussian,-1,F4,True,通过工程筛查
VisualCogA_Task-1,-2.672348340795404,136.23205424851324,34.61433208702752,-0.004899182566351313,255.35595162707335,35.32642002974917,8.729411814629923,346.2993992463053,100.77011327677107,0.5304444786484819,2.5354799780282926,gaussian,1,Fz,True,通过工程筛查
VisualCogA_Task-1,-6.060924829939752,138.21804741602375,57.51361300436469,-9.200926954606661,254.90028854531678,124.48324404235552,13.086522792274211,310.8062460768294,353.24999999999994,0.8408762256793558,1.4815633972457696,gaussian,1,F3,False,宽度近边界
VisualCogA_Task-1,-7.289033123443852,136.80245803807009,54.61030934833682,-23.391681579677048,256.89288908762944,188.3999999985094,37.65289415456684,260.6566839883992,353.2499999995818,0.8471246540699053,1.8074151098630815,gaussian,1,F4,False,宽度近边界
VisualCogA_Task-2,-21.310925825332095,80.00001038044991,130.95621079001032,-38.64050998048139,259.9999999999996,188.39999997007737,1.2222152094041155e-13,519.9999999942593,353.249999319821,0.7263445165925699,15.6409428612882,gaussian,-1,Fz,False,幅度弱；潜伏期近边界；宽度近边界
VisualCogA_Task-2,-16.222441383563446,80.00000000000001,65.06981530919512,-149.99999999999997,259.99999999999994,188.39999999999998,118.18611958794092,258.84410092951015,157.45427562429782,0.848913575275863,10.403810160854684,gaussian,-1,F3,True,通过工程筛查
VisualCogA_Task-2,-34.05009213035381,80.00000000304328,133.05963300205917,-49.579125089477266,259.99999999999767,188.39999999999853,1.455512250605841e-11,519.9999999982687,353.24999916505334,0.7264543390869567,18.723235357302343,gaussian,-1,F4,False,幅度弱；潜伏期近边界；宽度近边界
VisualCogA_Task-2,-37.80986217902491,80.00000000000001,89.07077605202001,-149.99999999999997,259.99999999999994,188.39999999999998,111.90154854400433,262.5250005283008,143.03063324377183,0.6999332569720873,23.33780818124948,gaussian,1,Fz,True,通过工程筛查
VisualCogA_Task-2,-33.36790250862068,80.00000000130794,138.8087184585505,-32.37313147373024,259.9999999979524,188.3999999998924,21.09178496047122,519.9999999999998,353.24999999999994,0.6914545391916977,22.556711619653353,gaussian,1,F3,False,潜伏期近边界；宽度近边界
VisualCogA_Task-2,-32.856068009668945,80.00000000000001,98.4704100939311,-149.99999999999423,259.99999999999983,188.3999999999999,119.71274168156134,263.2741478691912,153.99952550744527,0.5490421453666361,34.388157574511126,gaussian,1,F4,True,通过工程筛查
VisualCogB_Task-1,-1.323144560039368e-13,179.9257158080407,23.77501756426653,-0.9597934001833028,259.99999999777947,35.32506607592939,5.997631225020374,335.08309937073096,52.29685561417832,0.5309578081133121,5.0887829687667825,gaussian,-1,Fz,True,通过工程筛查
