dataset,candidate,MAE,corr,SNR_proxy_dB,baseline_RMS,left_right_retention
VisualCogA_Task-1,不校正,19.66912176275617,0.6663958442810747,-14.216732593324435,14.122958294174225,0.999999999999993
VisualCogA_Task-1,中位数基线,4.001898158222176,0.6936089172145689,-11.935385960854106,9.554404430132495,0.45006760779005567
VisualCogA_Task-1,保守双分量,11.71529326550246,0.6191611845460013,-13.957872309664841,12.20777297959233,0.7321822712318392
VisualCogA_Task-1,仅垂直分量,12.003960792699742,0.6188958675587585,-14.416445391236158,12.332663147971132,0.7142776269425518
VisualCogA_Task-1,时域保护,19.1610859057384,0.30575836078620994,-14.313207439106884,11.380676874220086,0.961386780453824
VisualCogA_Task-1,诊断_仅提高门控,4.357668916795884,0.5084951749249261,-13.079826107783674,10.528381351718823,0.4590120054834593
VisualCogA_Task-1,诊断_仅减弱校正,11.671512271136422,0.7124159514780675,-13.374137594688195,11.51156560976733,0.7262486520464243
VisualCogA_Task-1,诊断_仅限制水平上限,5.093898337596105,0.6899927894593884,-13.521747493424252,10.023912828142427,0.48459231797291286
VisualCogA_Task-1,诊断_关闭水平分量,6.08136262264605,0.6854228942009138,-14.97167955958959,10.370820117567844,0.453029741796849
VisualCogA_Task-1,诊断_关闭垂直分量,17.58500228910007,0.6994118284060528,-13.596571697262833,13.301250866835241,0.9961966015570143
VisualCogA_Task-2,不校正,47.60337115807547,0.6011053901864755,-9.35228101104063,21.26112946521175,0.999999999999997
VisualCogA_Task-2,中位数基线,13.025345966866935,0.4030427897632995,-11.088860986888465,16.59791700843685,0.34063799790387916
VisualCogA_Task-2,保守双分量,36.806671005416995,0.5987464964701557,-9.44414877602238,19.689088159096062,0.9794709291378604
VisualCogA_Task-2,仅垂直分量,37.624965863475026,0.5977549623981517,-9.629274562058855,19.860334686665094,1.038214326612204
VisualCogA_Task-2,时域保护,37.54901572370517,0.5708285330235997,-10.424494852311097,19.150578091327713,0.9704794556033728
VisualCogA_Task-2,诊断_仅提高门控,23.621240056120797,0.5676956047200366,-10.947827693105452,18.69761799332667,0.8431077834118145
VisualCogA_Task-2,诊断_仅减弱校正,30.10993788665739,0.5532157194960211,-9.023453932782063,18.276745291643735,0.6470932808659922
VisualCogA_Task-2,诊断_仅限制水平上限,16.244527470097538,0.38749091425296883,-11.311394864766145,16.987423041431644,0.4485558386694814
VisualCogA_Task-2,诊断_关闭水平分量,18.612421298066288,0.36084852737200895,-11.733639174591952,17.46363952824392,0.5613631869974313
VisualCogA_Task-2,诊断_关闭垂直分量,42.375694249904534,0.6011498763677764,-9.126498618946192,20.391161838860842,0.7579443371724818
VisualCogB_Task-1,不校正,14.973006443053258,0.5952652949321037,-22.665994179619492,20.42492568858043,0.9999999999999951
VisualCogB_Task-1,中位数基线,6.152194373511843,0.6931736382752418,-18.13194152745803,14.48334606418409,0.47908144287206306
VisualCogB_Task-1,保守双分量,11.20754079989566,0.6392163338026825,-22.39491588689927,18.088022904294444,0.7355688514516713
VisualCogB_Task-1,仅垂直分量,11.773034939350744,0.6427511493775897,-22.88948909519861,18.405626903835593,0.745639449757772
VisualCogB_Task-1,时域保护,14.34715844892745,0.7101600398132178,-22.928461725122293,17.144039456859133,0.9384895246011228
VisualCogB_Task-1,诊断_仅提高门控,6.473925297684058,0.721103944323863,-19.09956936304248,16.00731979614776,0.4201219992614463
VisualCogB_Task-1,诊断_仅减弱校正,10.203986330924229,0.6184430720662716,-21.580659375905338,16.911054260080586,0.7102070311544054
VisualCogB_Task-1,诊断_仅限制水平上限,7.626147707281752,0.6565052278992317,-20.228553039987585,15.138944456679942,0.5272120355566424
VisualCogB_Task-1,诊断_关闭水平分量,9.516371813463604,0.6452008370477847,-21.67581499227536,15.820086686148253,0.5796224559097228
VisualCogB_Task-1,诊断_关闭垂直分量,12.602927516784383,0.5586864365119533,-21.10347480374111,19.11418725611946,0.9415073204968026
VisualCogB_Task-2,不校正,39.315888537645094,-0.1389440485546096,-13.081010212055224,26.97593290832712,0.999999999999996
VisualCogB_Task-2,中位数基线,3.757882622872845,0.6152258107921436,-8.514589299852888,17.322310136157544,0.4775678764684486
VisualCogB_Task-2,保守双分量,21.88053294970374,0.05714308932585688,-12.04656124283476,22.967229893606426,0.29507787464049934
VisualCogB_Task-2,仅垂直分量,22.155499876098435,0.07232272244767034,-11.983782385694271,22.992305893465844,0.28588403127599205
VisualCogB_Task-2,时域保护,37.44658339080812,-0.27567300828049296,-12.184860822649883,21.516710262238107,0.8897051526044701
VisualCogB_Task-2,诊断_仅提高门控,5.7603303703603395,0.2011285987957868,-10.95495725300082,20.898947945039335,0.4819208252900604
VisualCogB_Task-2,诊断_仅减弱校正,20.77045764657433,0.2732972106898643,-12.27329456848023,20.99165062338028,0.2841289740438087
VisualCogB_Task-2,诊断_仅限制水平上限,5.490593354158132,0.5731556865202255,-10.087970857718702,17.48527142032282,0.4840497334930364
VisualCogB_Task-2,诊断_关闭水平分量,6.799746313996081,0.5609637551260199,-11.191002885843588,17.63848011906293,0.5279089572428419
VisualCogB_Task-2,诊断_关闭垂直分量,37.0000135948431,-0.13893100830144464,-13.889505436114852,26.674528676509823,1.0494338824528988
