dataset,fold,chosen,candidate,level,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
VisualCogA_Task-1,1,中位数基线,不校正,0.0,2.516221254049967e-15,1.2160792691234095e-16,2.437931638247088e-15,2.278270165116207e-16,0.0,5,1.915308230527476e-16
VisualCogA_Task-1,1,中位数基线,中位数基线,0.0,8.19486028801304,0.3960541901303506,4.2891766464062195,0.44480486589315077,36.71875,5,0.5211984862371024
VisualCogA_Task-1,1,中位数基线,保守双分量,0.0,1.6534889458102089,0.07991243319672657,0.25777274759095486,0.04321519861175466,0.78125,5,0.08823003062783945
VisualCogA_Task-1,1,中位数基线,仅垂直分量,0.0,1.5548364550224003,0.07514459933866077,0.100877982479043,0.008330367046782007,0.0,5,0.07798489798714522
VisualCogA_Task-1,1,中位数基线,时域保护,0.0,2.13796721025247,0.10332706626132046,0.46824577605895296,0.05263903606222956,0.78125,5,0.11718615081124134
VisualCogA_Task-1,1,中位数基线,不校正,1.0,21.672543260231215,1.0474250038833859,14.302195280054155,6.9489160997972705,47.65625,5,1.7288728048570567
VisualCogA_Task-1,1,中位数基线,中位数基线,1.0,17.13414800783421,0.828086248491945,5.151978611854404,1.4987619421885021,23.4375,5,1.0250172819490626
VisualCogA_Task-1,1,中位数基线,保守双分量,1.0,18.912959989829943,0.9140554919156547,11.463335921448584,4.534422487674319,48.4375,5,1.410211374437879
VisualCogA_Task-1,1,中位数基线,仅垂直分量,1.0,19.554390415699974,0.9450555576781567,12.658053928967002,5.032504465529018,48.4375,5,1.4941536473351762
VisualCogA_Task-1,1,中位数基线,时域保护,1.0,20.6934313533832,1.0001049325600349,14.480269388360583,6.235279300214738,48.4375,5,1.6513660875583644
VisualCogA_Task-1,1,中位数基线,不校正,2.0,43.26662942580489,2.0910582090060257,29.226888702130132,16.349123834424933,48.4375,5,3.587466254546153
VisualCogA_Task-1,1,中位数基线,中位数基线,2.0,19.857320723693068,0.9596960534988893,9.304734595788231,2.369190795664237,46.875,5,1.2990450364541235
VisualCogA_Task-1,1,中位数基线,保守双分量,2.0,31.691964593046446,1.5316594706194928,19.580500396217694,8.646268922354599,48.4375,5,2.422688773432453
VisualCogA_Task-1,1,中位数基线,仅垂直分量,2.0,34.56860030810667,1.6706860785648077,25.01875684668491,9.911923125504996,48.4375,5,2.754298259188115
VisualCogA_Task-1,1,中位数基线,时域保护,2.0,36.59620449436283,1.7686793457675731,29.59855447084215,13.746716604964654,64.0625,5,3.1482953580694972
VisualCogA_Task-1,2,中位数基线,不校正,0.0,2.472711736591161e-15,7.460346759357123e-17,2.9226718784980174e-15,4.533410683886056e-16,0.0,6,1.3237063146377946e-16
VisualCogA_Task-1,2,中位数基线,中位数基线,0.0,25.4890264698597,0.7690220142107344,8.24034930994853,3.7663615288022183,83.33333333333333,6,1.006964406728757
VisualCogA_Task-1,2,中位数基线,保守双分量,0.0,8.41100076502602,0.25376586106562043,3.1519260629003822,0.7718373395592115,23.4375,5,0.32460066412933664
VisualCogA_Task-1,2,中位数基线,仅垂直分量,0.0,8.040598371057067,0.24259055802235555,3.447948077993385,0.9897469770689834,23.4375,5,0.3244654465846379
VisualCogA_Task-1,2,中位数基线,时域保护,0.0,10.853086669397966,0.32744532557072725,3.6959131863881622,0.19679946999120623,17.1875,5,0.38913706684377153
VisualCogA_Task-1,2,中位数基线,不校正,1.0,38.74055908343623,1.1688301557230123,43.817242440571256,14.960285248243572,44.270833333333336,6,2.281191224032247
VisualCogA_Task-1,2,中位数基线,中位数基线,1.0,31.082274713756245,0.937774282391248,12.879679829647058,7.487325101555993,48.177083333333336,6,1.3579667328877856
VisualCogA_Task-1,2,中位数基线,保守双分量,1.0,29.56825430163048,0.8920952122915757,30.674009005228577,12.502134953034327,45.572916666666664,6,1.7320218027948289
VisualCogA_Task-1,2,中位数基线,仅垂直分量,1.0,31.5379357555892,0.9515218993354297,33.01293816003067,13.692847887943628,55.989583333333336,6,1.8626567200375892
