cue,channel,metric,stage,low,high,n_trials,n_boot
-1,Fz,proxy_MAE,预处理,2.9239398984242526,45.47598811767178,53,400
-1,Fz,proxy_MAE,V3,1.950309100628095,12.845072420341362,53,400
-1,Fz,proxy_MAE,V4,2.0305165939382936,20.618141659074972,53,400
-1,Fz,proxy_MAE,V5,1.9195348973359263,17.12326742755439,53,400
-1,Fz,proxy_MAE,V5减预处理,-33.245068547651115,2.4239705552110715,53,400
-1,Fz,proxy_MAE,V5减V3,-5.272316497080148,11.088755090879058,53,400
-1,Fz,proxy_MAE,V5减V4,-4.727011522473693,1.6122747469218623,53,400
-1,Fz,positive_mean,预处理,0.2518726465602243,47.572264257192714,53,400
-1,Fz,positive_mean,V3,0.27957696697025053,14.941990854161519,53,400
-1,Fz,positive_mean,V4,0.1486707003042934,22.714417798595893,53,400
-1,Fz,positive_mean,V5,0.10669129529748002,19.219543567075302,53,400
-1,Fz,positive_mean,V5减预处理,-33.24467136299047,0.8123731087346975,53,400
-1,Fz,positive_mean,V5减V3,-5.5510320137763225,11.49110694317632,53,400
-1,Fz,positive_mean,V5减V4,-4.569370697895689,0.3394008311175584,53,400
-1,F3,proxy_MAE,预处理,6.8029370283185076,75.36395117641948,53,400
-1,F3,proxy_MAE,V3,5.033217371862462,24.178943788121632,53,400
-1,F3,proxy_MAE,V4,4.5718383548779515,37.58617676272874,53,400
-1,F3,proxy_MAE,V5,4.414545488241843,31.613992354440636,53,400
-1,F3,proxy_MAE,V5减预处理,-52.91191518627081,6.132176627455737,53,400
-1,F3,proxy_MAE,V5减V3,-11.05322975095958,18.89493125969353,53,400
-1,F3,proxy_MAE,V5减V4,-9.765516600584146,3.048250427399081,53,400
-1,F3,positive_mean,预处理,0.0,75.11148924483342,53,400
-1,F3,positive_mean,V3,0.03809550888558755,23.926481856535563,53,400
-1,F3,positive_mean,V4,0.0,37.333714831142665,53,400
-1,F3,positive_mean,V5,0.0,31.113146604676324,53,400
-1,F3,positive_mean,V5减预处理,-52.9708059200237,4.129197938195632,53,400
-1,F3,positive_mean,V5减V3,-13.11505602961477,15.992499107577231,53,400
-1,F3,positive_mean,V5减V4,-9.761783769815708,0.16848603912120483,53,400
-1,F4,proxy_MAE,预处理,3.309627185000464,70.55566341763569,53,400
-1,F4,proxy_MAE,V3,2.14177377317026,17.958682086895358,53,400
-1,F4,proxy_MAE,V4,2.4483554709039557,32.56858527030617,53,400
-1,F4,proxy_MAE,V5,2.33718999856863,25.955411054831625,53,400
-1,F4,proxy_MAE,V5减预处理,-51.761735926857696,4.91799787622703,53,400
-1,F4,proxy_MAE,V5减V3,-9.623842081513867,16.324454198334816,53,400
-1,F4,proxy_MAE,V5减V4,-8.425784383759098,2.6004712068566365,53,400
-1,F4,positive_mean,预处理,0.44069376979028757,80.63289067774225,53,400
-1,F4,positive_mean,V3,5.737196276366201,28.03590934700191,53,400
-1,F4,positive_mean,V4,1.227985216508811,42.64581253041272,53,400
-1,F4,positive_mean,V5,1.0106762963765163,36.03263831493818,53,400
-1,F4,positive_mean,V5减预处理,-52.83596905524124,7.021962038925123,53,400
-1,F4,positive_mean,V5减V3,-14.456194656440996,18.146606409614805,53,400
-1,F4,positive_mean,V5减V4,-8.604061886920244,0.09849773890794408,53,400
1,Fz,proxy_MAE,预处理,24.339015857360344,73.70197384315165,42,400
1,Fz,proxy_MAE,V3,4.043175619426029,30.773109901508793,42,400
1,Fz,proxy_MAE,V4,7.249445454702362,45.75487839425231,42,400
1,Fz,proxy_MAE,V5,6.245049015412367,39.38001362780147,42,400
1,Fz,proxy_MAE,V5减预处理,-45.022912291341015,-12.650697801032402,42,400
1,Fz,proxy_MAE,V5减V3,-1.3433953976606605,14.879039243277044,42,400
1,Fz,proxy_MAE,V5减V4,-7.553279217375328,-1.083901692241928,42,400
1,Fz,positive_mean,预处理,28.53887600949183,77.90183399528313,42,400
1,Fz,positive_mean,V3,6.2141737084521695,34.97297005364028,42,400
1,Fz,positive_mean,V4,11.39700924844615,49.95473854638376,42,400
1,Fz,positive_mean,V5,9.759409768161944,43.57987377993293,42,400
1,Fz,positive_mean,V5减预处理,-45.02291229134101,-12.650697801032406,42,400
1,Fz,positive_mean,V5减V3,-1.3433953976606783,14.883634386722964,42,400
1,Fz,positive_mean,V5减V4,-7.553279217375332,-1.4098517045857564,42,400
1,F3,proxy_MAE,预处理,46.057694565338245,135.01467932718933,42,400
1,F3,proxy_MAE,V3,7.069872190399617,49.1208518244165,42,400
1,F3,proxy_MAE,V4,16.8505441470838,81.45299606654201,42,400
1,F3,proxy_MAE,V5,9.32396631188327,68.27981763312776,42,400
1,F3,proxy_MAE,V5减预处理,-85.05104997776952,-20.050651046898942,42,400
1,F3,proxy_MAE,V5减V3,-1.6492425119085348,30.189486582561003,42,400
1,F3,proxy_MAE,V5减V4,-14.887197896141666,-2.3757494547509386,42,400
1,F3,positive_mean,预处理,52.43726063875031,141.39424540060133,42,400
1,F3,positive_mean,V3,10.995959983637066,55.50041789782856,42,400
1,F3,positive_mean,V4,23.207865875653255,87.83256213995408,42,400
1,F3,positive_mean,V5,14.546403240487123,74.65938370653983,42,400
1,F3,positive_mean,V5减预处理,-85.05104997776948,-20.050651046898935,42,400
1,F3,positive_mean,V5减V3,-1.0573324527838002,30.18948658256098,42,400
1,F3,positive_mean,V5减V4,-14.887197896141721,-2.9914606084814546,42,400
1,F4,proxy_MAE,预处理,38.0943696067213,99.96505111671127,42,400
1,F4,proxy_MAE,V3,5.294648360644712,29.05992275097527,42,400
1,F4,proxy_MAE,V4,9.145783264122025,52.12557386349775,42,400
1,F4,proxy_MAE,V5,5.968813199624949,44.025062977492134,42,400
1,F4,proxy_MAE,V5减预处理,-74.70366744422452,-21.714106150730714,42,400
1,F4,proxy_MAE,V5减V3,-1.716583419423344,22.358741973658702,42,400
1,F4,proxy_MAE,V5减V4,-11.492863131960782,-1.3391606313673579,42,400
1,F4,positive_mean,预处理,47.82382020200319,109.69450171199311,42,400
1,F4,positive_mean,V3,6.07263683404047,38.64830356904128,42,400
1,F4,positive_mean,V4,18.43609341857044,61.855024458779624,42,400
1,F4,positive_mean,V5,12.22004159814543,53.754513572774016,42,400
1,F4,positive_mean,V5减预处理,-74.70366744422455,-21.71410615073072,42,400
1,F4,positive_mean,V5减V3,-0.5885455879299267,23.108114302403816,42,400
1,F4,positive_mean,V5减V4,-11.493657241990691,-2.1726922876991224,42,400
