stage,cue,channel,MAE_before,MAE_after,RMSE_before,RMSE_after,corr_before,corr_after,shape_distance_before,shape_distance_after,baseline_RMS_before,baseline_RMS_after,trial_PTP_median_before,trial_PTP_median_after,SNR_proxy_dB_before,SNR_proxy_dB_after,edge_band_ratio_before,edge_band_ratio_after,amp_error_before,amp_error_after,latency_error_before_ms,latency_error_after_ms,P300_positive_mean_before,P300_positive_mean_after,P300_positive_mean_ref,P300_positive_mean_error_before,P300_positive_mean_error_after,P300_AUC_before_unit_ms,P300_AUC_after_unit_ms,P300_AUC_ref_unit_ms,P300_AUC_error_before_unit_ms,P300_AUC_error_after_unit_ms,P300_amp_before,P300_amp_after,P300_lat_before_ms,P300_lat_after_ms,n_trials,positive_peak_valid,reference_positive_peak_valid,latency_error_valid
预处理,-1,Fz,20.37700961394228,20.37700961394228,20.67633585406493,20.67633585406493,0.7915923213291489,0.7915923213291489,0.4882361029967578,0.4882361029967578,15.642324848503597,15.642324848503597,189.31867385285858,189.31867385285858,-13.474512538281871,-13.474512538281871,0.41462942150257565,0.41462942150257565,24.29388937486832,24.29388937486832,3.90625,3.90625,22.4732857534632,22.4732857534632,3.087246819610906,19.38603893385229,19.38603893385229,5620.060049416007,5620.060049416007,763.055971805238,4857.004077610769,4857.004077610769,35.28808682266995,35.28808682266995,500.0,500.0,53,True,True,True
预处理,-1,F3,23.536591330744077,23.536591330744077,24.181810737502023,24.181810737502023,0.8531193339909768,0.8531193339909768,0.474295624961875,0.474295624961875,27.709190709088382,27.709190709088382,236.97626850775188,236.97626850775188,-19.507748509820807,-19.507748509820807,0.6010670330692296,0.6010670330692296,21.9417186890259,21.9417186890259,0.0,0.0,23.28412939915802,23.28412939915802,4.054017642913067,19.230111756244952,19.230111756244952,5820.291750170889,5820.291750170889,1000.6809457290003,4819.610804441889,4819.610804441889,36.61536805447644,36.61536805447644,500.0,500.0,53,True,True,True
预处理,-1,F4,30.165091637472944,30.165091637472944,30.397219794135097,30.397219794135097,0.7931765549409626,0.7931765549409626,0.4871820732879894,0.4871820732879894,22.063902438886792,22.063902438886792,254.74243444976833,254.74243444976833,-12.364848890471734,-12.364848890471734,0.5083339580917777,0.5083339580917777,34.89344323005868,34.89344323005868,0.0,0.0,40.242318897579494,40.242318897579494,10.077227260106554,30.16509163747294,30.16509163747294,10061.089822929815,10061.089822929815,2514.4413130206103,7546.648509909204,7546.648509909204,54.11522430337565,54.11522430337565,500.0,500.0,53,True,True,True
预处理,1,Fz,49.604671014278466,49.604671014278466,50.15356153264498,50.15356153264498,0.42712539394738397,0.42712539394738397,0.8963815598531805,0.8963815598531805,15.998610401051229,15.998610401051229,227.07592238480788,227.07592238480788,-4.025394513543341,-4.025394513543341,0.4297331351970555,0.4297331351970555,60.34032860646165,60.34032860646165,42.96875,42.96875,53.80453116640994,53.80453116640994,4.403695808236252,49.40083535817369,49.40083535817369,13450.87012737439,13450.87012737439,1104.348873710485,12346.521253663905,12346.521253663905,70.29353928233476,70.29353928233476,500.0,500.0,42,True,True,True
预处理,1,F3,91.98185428067407,91.98185428067407,92.7675242268175,92.7675242268175,0.7738989032820286,0.7738989032820286,0.543644958852786,0.543644958852786,25.107444935052037,25.107444935052037,284.9749541363707,284.9749541363707,-3.825243818207933,-3.825243818207933,0.5148663750883712,0.5148663750883712,112.63444565379083,112.63444565379083,0.0,0.0,98.3614203540861,98.3614203540861,6.379566073412042,91.98185428067407,91.98185428067407,24586.558793172368,24586.558793172368,1588.137812057702,22998.420981114665,22998.420981114665,126.48453577022337,126.48453577022337,500.0,500.0,42,True,True,True
预处理,1,F4,69.95500907134095,69.95500907134095,71.06172346515427,71.06172346515427,-0.03228016637164829,-0.03228016637164829,1.2175102845101664,1.2175102845101664,21.04530345868848,21.04530345868848,334.99000952951434,334.99000952951434,-2.9159377959180866,-2.9159377959180866,0.4974699539557782,0.4974699539557782,85.06764131325673,85.06764131325673,35.15625,35.15625,79.68445966662283,79.68445966662283,9.729450595281868,69.95500907134095,69.95500907134095,19922.938177764263,19922.938177764263,2441.0197579375945,17481.918419826667,17481.918419826667,101.51811425791439,101.51811425791439,500.0,500.0,42,True,True,True
V3,-1,Fz,20.37700961394228,4.008680205991753,20.67633585406493,4.500370853338,0.7915923213291489,0.8843556794822515,0.4882361029967578,0.3861148819395316,15.642324848503597,12.597175463217273,189.31867385285858,156.0509671012007,-13.474512538281871,-14.880900968606177,0.41462942150257565,0.2799703745084749,24.29388937486832,5.268888911345028,3.90625,3.90625,22.4732857534632,6.338701612369855,3.087246819610906,19.38603893385229,3.2514547927589486,5620.060049416007,1577.6721157205752,763.055971805238,4857.004077610769,814.6161439153373,35.28808682266995,16.26308635914666,500.0,500.0,53,True,True,True
V3,-1,F3,23.536591330744077,9.432639098605442,24.181810737502023,11.484556531966717,0.8531193339909768,0.7632106511017489,0.474295624961875,0.5594184490705582,27.709190709088382,20.218599466577967,236.97626850775188,166.41163908829012,-19.507748509820807,-16.821726399074386,0.6010670330692296,0.2979431981716653,21.9417186890259,1.6365996573538908,0.0,0.0,23.28412939915802,9.09763940298543,4.054017642913067,19.230111756244952,5.043621760072364,5820.291750170889,2278.0915495416048,1000.6809457290003,4819.610804441889,1277.4106038126044,36.61536805447644,16.31024902280443,500.0,500.0,53,True,True,True
V3,-1,F4,30.165091637472944,7.884989360540997,30.397219794135097,8.238354977020064,0.7931765549409626,0.8153617568033118,0.4871820732879894,0.5024064641657714,22.063902438886792,16.151997237106656,254.74243444976833,201.61645579833274,-12.364848890471734,-9.427042183916118,0.5083339580917777,0.30304179863768627,34.89344323005868,8.55931152079463,0.0,0.0,40.242318897579494,17.962216620647553,10.077227260106554,30.16509163747294,7.884989360540999,10061.089822929815,4490.054535204483,2514.4413130206103,7546.648509909204,1975.6132221838725,54.11522430337565,27.781092594111602,500.0,500.0,53,True,True,True
V3,1,Fz,49.604671014278466,16.92554742829403,50.15356153264498,18.020308809463433,0.42712539394738397,0.1450280716130402,0.8963815598531805,1.081442196781312,15.998610401051229,13.016224296672615,227.07592238480788,203.46130611151625,-4.025394513543341,-8.90212571257324,0.4297331351970555,0.2334048764163346,60.34032860646165,20.538265939536252,42.96875,109.375,53.80453116640994,21.125407580425495,4.403695808236252,49.40083535817369,16.721711772189245,13450.87012737439,5285.216515969034,1104.348873710485,12346.521253663905,4180.867642258549,70.29353928233476,30.49147661540937,500.0,347.65625,42,True,True,True
