cue,channel,metric,stage,low,high,n_trials,n_boot
-1,Fz,proxy_MAE,预处理,1.9947105560493112,50.55245747066643,46,400
-1,Fz,proxy_MAE,V3,2.3929130052608123,43.71599225562918,46,400
-1,Fz,proxy_MAE,V4,1.985143360977903,44.75209459125269,46,400
-1,Fz,proxy_MAE,V6,2.0079053486261818,49.84185343303219,46,400
-1,Fz,proxy_MAE,V6减预处理,-1.7294747089094755,0.7045788532359863,46,400
-1,Fz,proxy_MAE,V6减V3,-8.733184582133777,18.371704742521864,46,400
-1,Fz,proxy_MAE,V6减V4,-4.26428062407114,9.800356683820372,46,400
-1,Fz,positive_mean,预处理,0.0,39.96877735305753,46,400
-1,Fz,positive_mean,V3,0.0,33.73516473086744,46,400
-1,Fz,positive_mean,V4,0.0,36.75250592399752,46,400
-1,Fz,positive_mean,V6,0.0,39.281737748017235,46,400
-1,Fz,positive_mean,V6减预处理,-0.728258790622279,0.7577853838470492,46,400
-1,Fz,positive_mean,V6减V3,-10.300016587787109,11.501897786556292,46,400
-1,Fz,positive_mean,V6减V4,-5.341005598230726,4.126799813526245,46,400
-1,F3,proxy_MAE,预处理,2.9403787336935143,56.034061967736726,46,400
-1,F3,proxy_MAE,V3,3.1715935664567434,17.384566738477183,46,400
-1,F3,proxy_MAE,V4,2.882473089148032,39.48104923101745,46,400
-1,F3,proxy_MAE,V6,2.989117925916389,53.80766877757447,46,400
-1,F3,proxy_MAE,V6减预处理,-3.850121436336299,1.2449336562781914,46,400
-1,F3,proxy_MAE,V6减V3,-5.605883461726094,43.01575323736723,46,400
-1,F3,proxy_MAE,V6减V4,-10.321554056024231,21.60725249010121,46,400
-1,F3,positive_mean,预处理,0.0,59.05081183580317,46,400
-1,F3,positive_mean,V3,0.0,17.20927151998483,46,400
-1,F3,positive_mean,V4,0.0,42.141497421119794,46,400
-1,F3,positive_mean,V6,0.0,56.82441864564089,46,400
-1,F3,positive_mean,V6减预处理,-3.846158230167021,1.188120108478108,46,400
-1,F3,positive_mean,V6减V3,-6.242816523906022,43.16779704267408,46,400
-1,F3,positive_mean,V6减V4,-8.115636132949382,21.539630414214074,46,400
-1,F4,proxy_MAE,预处理,2.819128141510382,74.62641324921972,46,400
-1,F4,proxy_MAE,V3,2.1204663279626015,12.5907142102987,46,400
-1,F4,proxy_MAE,V4,3.737554840028562,56.570237512219556,46,400
-1,F4,proxy_MAE,V6,2.774833540665192,70.38026982797699,46,400
-1,F4,proxy_MAE,V6减预处理,-5.701912388404028,1.34083954694509,46,400
-1,F4,proxy_MAE,V6减V3,-2.16261763540284,63.700595494051115,46,400
-1,F4,proxy_MAE,V6减V4,-12.33490139740838,32.31083686762285,46,400
-1,F4,positive_mean,预处理,0.21393976037325213,82.97490079393137,46,400
-1,F4,positive_mean,V3,1.171872649533377,20.939201755010366,46,400
-1,F4,positive_mean,V4,10.718855078932664,64.91872505693124,46,400
-1,F4,positive_mean,V6,0.7736575579517788,78.72875737268865,46,400
-1,F4,positive_mean,V6减预处理,-5.701912388404027,2.358109588299856,46,400
-1,F4,positive_mean,V6减V3,-2.170946722510727,66.87205990818859,46,400
-1,F4,positive_mean,V6减V4,-16.03689949082933,32.31083686762283,46,400
1,Fz,proxy_MAE,预处理,2.622972704184218,62.72268594372622,48,400
1,Fz,proxy_MAE,V3,2.5294009522120877,57.96448175904348,48,400
1,Fz,proxy_MAE,V4,2.479879119300357,61.422388375418066,48,400
1,Fz,proxy_MAE,V6,2.535254159487391,62.538292168135825,48,400
1,Fz,proxy_MAE,V6减预处理,-1.243429495073479,0.7180494838214566,48,400
1,Fz,proxy_MAE,V6减V3,-5.240202878148337,9.446244681521414,48,400
1,Fz,proxy_MAE,V6减V4,-4.44242975211026,6.95525102876702,48,400
1,Fz,positive_mean,预处理,0.0,65.23346590726558,48,400
1,Fz,positive_mean,V3,0.0,58.31509511211019,48,400
1,Fz,positive_mean,V4,0.0,61.35974673818999,48,400
1,Fz,positive_mean,V6,0.0,65.04907213167523,48,400
1,Fz,positive_mean,V6减预处理,-1.2434294950734854,0.040974128008491706,48,400
1,Fz,positive_mean,V6减V3,-2.5998611453444473,9.446244681521403,48,400
1,Fz,positive_mean,V6减V4,-0.2635205605313086,6.9552510287670275,48,400
1,F3,proxy_MAE,预处理,2.3971779131678517,58.329476963086805,48,400
1,F3,proxy_MAE,V3,2.185687769464044,10.27433500803085,48,400
1,F3,proxy_MAE,V4,2.239121810340202,24.469781685591837,48,400
1,F3,proxy_MAE,V6,2.147245017263573,52.36605487865284,48,400
1,F3,proxy_MAE,V6减预处理,-5.320831535938672,0.37117693284910713,48,400
1,F3,proxy_MAE,V6减V3,-3.746844400184393,46.19300061410066,48,400
1,F3,proxy_MAE,V6减V4,-4.461998305635468,30.151378703652487,48,400
1,F3,positive_mean,预处理,0.0,24.090644808150078,48,400
1,F3,positive_mean,V3,0.2693576592480289,5.972824838767207,48,400
1,F3,positive_mean,V4,0.0,18.250352731683027,48,400
1,F3,positive_mean,V6,0.0,22.801901884270162,48,400
1,F3,positive_mean,V6减预处理,-1.4025136873597404,1.0618451452250857,48,400
1,F3,positive_mean,V6减V3,-5.554257422843083,20.5539775536939,48,400
1,F3,positive_mean,V6减V4,-7.219817545243743,7.947577561705212,48,400
1,F4,proxy_MAE,预处理,2.4030085665243206,50.32870993893871,48,400
1,F4,proxy_MAE,V3,2.1853389953457696,12.484805433470278,48,400
