stage,cue,channel,MAE_before,MAE_after,RMSE_before,RMSE_after,corr_before,corr_after,shape_distance_before,shape_distance_after,baseline_RMS_before,baseline_RMS_after,trial_PTP_median_before,trial_PTP_median_after,SNR_proxy_dB_before,SNR_proxy_dB_after,edge_band_ratio_before,edge_band_ratio_after,amp_error_before,amp_error_after,latency_error_before_ms,latency_error_after_ms,P300_positive_mean_before,P300_positive_mean_after,P300_positive_mean_ref,P300_positive_mean_error_before,P300_positive_mean_error_after,P300_AUC_before_unit_ms,P300_AUC_after_unit_ms,P300_AUC_ref_unit_ms,P300_AUC_error_before_unit_ms,P300_AUC_error_after_unit_ms,P300_amp_before,P300_amp_after,P300_lat_before_ms,P300_lat_after_ms,n_trials,positive_peak_valid,reference_positive_peak_valid,latency_error_valid
预处理,-1,Fz,9.588716561277282,9.588716561277282,11.715144603108518,11.715144603108518,0.2725832788982758,0.2725832788982758,0.9032053611370963,0.9032053611370963,24.11923466889067,24.11923466889067,272.8891012901373,272.8891012901373,-12.878653078429734,-12.878653078429734,0.5002880203078818,0.5002880203078818,24.667126619742824,24.667126619742824,148.4375,148.4375,43.24079155947034,43.24079155947034,33.65207499819306,9.58871656127728,9.58871656127728,10792.31652725671,10792.31652725671,8451.048904280775,2341.2676229759345,2341.2676229759345,64.01711177825302,64.01711177825302,500.0,500.0,45,True,True,True
预处理,-1,F3,29.211370963646598,29.211370963646598,30.435374087775024,30.435374087775024,0.003905709938575062,0.003905709938575062,0.9787088816051406,0.9787088816051406,32.43194519804154,32.43194519804154,262.2013974384313,262.2013974384313,-24.126673394159333,-24.126673394159333,0.5564555193593741,0.5564555193593741,26.914135941484176,26.914135941484176,226.5625,226.5625,16.00866794540986,16.00866794540986,0.024546485614638947,15.984121459795222,15.984121459795222,3984.070750164757,3984.070750164757,6.23250611309192,3977.8382440516652,3977.8382440516652,27.918198732761482,27.918198732761482,500.0,500.0,45,True,True,True
预处理,-1,F4,8.40096768667128,8.40096768667128,10.388366631025631,10.388366631025631,0.14756489612922738,0.14756489612922738,1.0455369381980313,1.0455369381980313,32.72932892511008,32.72932892511008,322.6265122412493,322.6265122412493,-17.075323915042897,-17.075323915042897,0.5878344043304496,0.5878344043304496,18.734512020021803,18.734512020021803,152.34375,152.34375,38.91592250053029,38.91592250053029,30.526773743857547,8.389148756672746,8.389148756672746,9708.820478602116,9708.820478602116,7649.940982580261,2058.8794960218547,2058.8794960218547,57.81872992469646,57.81872992469646,500.0,500.0,45,True,True,True
预处理,1,Fz,40.65820836576778,40.65820836576778,42.01332752714255,42.01332752714255,-0.18486710965161873,-0.18486710965161873,1.3395948994365177,1.3395948994365177,19.13667650554152,19.13667650554152,229.1868093693089,229.1868093693089,-5.766978217084809,-5.766978217084809,0.4109828078613983,0.4109828078613983,51.91563023774302,51.91563023774302,0.0,0.0,62.58358330814852,62.58358330814852,21.925374942380742,40.65820836576778,40.65820836576778,15641.275238751856,15641.275238751856,5457.3366041751615,10183.938634576694,10183.938634576694,82.53145812268455,82.53145812268455,500.0,500.0,47,True,True,True
预处理,1,F3,82.44666240563693,82.44666240563693,83.12044097106656,83.12044097106656,-0.31959495082299044,-0.31959495082299044,1.4059161078173052,1.4059161078173052,28.57568419980339,28.57568419980339,236.31463383253742,236.31463383253742,-11.274732743700902,-11.274732743700902,0.5391054386080097,0.5391054386080097,,,,,57.0238637165375,57.0238637165375,0.0,57.0238637165375,57.0238637165375,14253.159715015576,14253.159715015576,0.0,14253.159715015576,14253.159715015576,72.99518676045574,72.99518676045574,500.0,500.0,47,True,False,False
预处理,1,F4,65.58940524287071,65.58940524287071,67.59943216985981,67.59943216985981,-0.7532561158191267,-0.7532561158191267,1.5011286129398553,1.5011286129398553,24.86272795257552,24.86272795257552,310.50675478289554,310.50675478289554,-7.363699923913662,-7.363699923913662,0.5347154675061417,0.5347154675061417,88.2739393125081,88.2739393125081,156.25,156.25,83.26184617470396,83.26184617470396,17.67244093183326,65.5894052428707,65.5894052428707,20808.742164832358,20808.742164832358,4435.682346498391,16373.059818333968,16373.059818333968,110.98348339407227,110.98348339407227,500.0,500.0,47,True,True,True
V7,-1,Fz,9.588716561277282,9.5141527904725,11.715144603108518,11.502332639405909,0.2725832788982758,0.29719610872362434,0.9032053611370963,0.8802740534648053,24.11923466889067,23.04694946525842,272.8891012901373,272.8891012901373,-12.878653078429734,-11.859185181950744,0.5002880203078818,0.48486866639581955,24.667126619742824,23.90929609325331,148.4375,148.4375,43.24079155947034,43.16622778866555,33.65207499819306,9.58871656127728,9.514152790472494,10792.31652725671,10775.271604577636,8451.048904280775,2341.2676229759345,2324.222700296861,64.01711177825302,63.25928125176351,500.0,500.0,45,True,True,True
V7,-1,F3,29.211370963646598,27.449753813058194,30.435374087775024,28.52854100427281,0.003905709938575062,0.20278711247583897,0.9787088816051406,0.8914125239134171,32.43194519804154,31.04486728212227,262.2013974384313,260.20077416175747,-24.126673394159333,-23.885905294896098,0.5564555193593741,0.5153004966120782,26.914135941484176,23.16935147719052,226.5625,226.5625,16.00866794540986,14.247050794821455,0.024546485614638947,15.984121459795222,14.222504309206816,3984.070750164757,3546.091852951465,6.23250611309192,3977.8382440516652,3539.8593468383733,27.918198732761482,24.173414268467827,500.0,500.0,45,True,True,True
V7,-1,F4,8.40096768667128,8.269037655832676,10.388366631025631,9.897860891862644,0.14756489612922738,0.22542778709675892,1.0455369381980313,0.9825375951201424,32.72932892511008,31.27745183073859,322.6265122412493,324.65341196550037,-17.075323915042897,-16.02148694328767,0.5878344043304496,0.5614801169502645,18.734512020021803,16.865218350022417,152.34375,152.34375,38.91592250053029,38.79581139969023,30.526773743857547,8.389148756672746,8.269037655832683,9708.820478602116,9681.876822698016,7649.940982580261,2058.8794960218547,2031.9358401177542,57.81872992469646,55.949436254697076,500.0,500.0,45,True,True,True
V7,1,Fz,40.65820836576778,36.27523004834093,42.01332752714255,37.60078399727813,-0.18486710965161873,-0.17810723798847972,1.3395948994365177,1.334856400621137,19.13667650554152,17.92213186206396,229.1868093693089,224.08516515559646,-5.766978217084809,-5.20200400307846,0.4109828078613983,0.4009502091125742,51.91563023774302,46.46029922713903,0.0,0.0,62.58358330814852,58.20060499072167,21.925374942380742,40.65820836576778,36.27523004834093,15641.275238751856,14544.973016702968,5457.3366041751615,10183.938634576694,9087.636412527807,82.53145812268455,77.07612711208057,500.0,500.0,47,True,True,True
